Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.018662700022105128,-0.0002,16,0
0.06328120001126081,-0.0002,17,0
0.10872530000051484,-0.0002,15,0
0.1535695000202395,-0.0002,16,0
0.19832909997785464,-0.0003,15,0
0.24373600003309548,-0.0001,15,0
0.28842250001616776,-0.0002,16,0
0.3332526999874972,-0.0002,15,0
0.4234303000266664,-0.0002,15,0
0.4683517999947071,-0.0002,16,0
0.5142225000308827,-0.0003,16,0
0.558386699995026,-0.0003,16,0
0.6035075000254437,-0.0002,15,0
0.6485044999863021,-0.0002,15,0
0.6938690000097267,-0.0002,16,0
0.7418444000068121,-0.0002,16,0
0.7890931000001729,-0.0003,16,0
0.8740241000195965,-0.0003,16,0
0.9188988999812864,-0.0001,16,0
0.9638845000299625,-0.0002,15,0
1.0087484000250697,-0.0002,16,0
1.053659700031858,-0.0004,17,0
1.0987520000198856,-0.0002,16,0
1.143482799991034,-0.0003,16,0
1.188591299986001,-0.0002,15,0
1.2332268999889493,-0.0002,16,0
1.3712228999938816,-0.0002,16,0
1.3778771000215784,-0.0001,15,0
1.4131650000344962,-0.0002,16,0
1.4587680000113323,-0.0002,16,0
1.5034116000169888,-0.0002,16,0
1.548420300008729,-0.0003,16,0
1.593323600012809,-0.0002,15,0
1.6386277999845333,-0.0001,15,0
1.6835028000059538,-0.0002,15,0
1.7741053000208922,-0.0003,16,0
1.81861650000792,-0.0003,15,0
1.8637398999999277,-0.0001,16,0
1.9090786000015214,-0.0003,16,0
1.953714500006754,-0.0001,16,0
1.9983534999773838,-0.0003,15,0
2.04336000001058,-0.0001,16,0
2.088478400022723,-0.0002,15,0
2.1334987999871373,-0.0001,16,0
2.223881900019478,-0.0002,16,0
2.268967200012412,-0.0001,16,0
2.313650600030087,-0.0002,15,0
2.3584855999797583,-0.0002,16,0
2.4034653999842703,-0.0002,16,0
2.4486385000054725,-0.0004,15,0
2.4938325000111945,-0.0,16,0
2.538578799983952,-0.0003,15,0
2.583840799983591,-0.0001,15,0
2.6737564000068232,-0.0003,15,0
2.7188286000164226,-0.0002,16,0
2.763471700018272,-0.0003,16,0
2.8083897000178695,-0.0002,15,0
2.8532989000086673,-0.0001,16,0
2.8985263999784365,-0.0003,16,0
2.94367800001055,-0.0001,15,0
2.9884463000344113,-0.0003,15,0
3.033602699986659,-0.0002,16,0
3.1238416000269353,-0.0003,15,0
3.1687949000042863,-0.0002,15,0
3.2136299000121653,-0.0003,16,0
3.2583710000035353,-0.0001,15,0
3.303662299993448,-0.0003,16,0
3.348055700014811,-0.0002,15,0
3.393262900004629,-0.0001,16,0
3.438728599983733,-0.0001,15,0
3.483648199995514,-0.0002,15,0
3.574220400012564,-0.0002,16,0
3.6186391999945045,-0.0002,15,0
3.664049300015904,-0.0002,15,0
3.708794999984093,-0.0001,16,0
3.753162599983625,-0.0003,16,0
3.798365199996624,-0.0003,15,0
3.843668700021226,-0.0003,15,0
3.8886269999784417,-0.0003,16,0
3.9332183999940753,-0.0003,16,0
4.023407900007442,-0.0001,14,0
4.068464100011624,-0.0002,15,0
4.115803299995605,-0.0001,15,0
4.171172600006685,-0.0002,15,0
4.204090400016867,-0.0003,16,0
4.248605799977668,-0.0002,16,0
4.2942349999793805,-0.0002,16,0
4.338153199991211,-0.0002,15,0
4.383267400029581,-0.0003,16,0
4.47317260003183,-0.0002,16,0
4.518601000017952,-0.0002,16,0
4.563343700021505,-0.0001,16,0
4.60844859998906,-0.0002,15,0
4.653383600001689,-0.0002,15,0
4.69805930001894,-0.0001,15,0
4.743190200009849,-0.0002,16,0
4.790739200019743,-0.0001,16,0
4.841592199984007,-0.0001,16,0
4.923952199984342,-0.0001,16,0
4.9682933000149205,-0.0,16,0
5.013491299992893,-0.0002,15,0
5.058152900019195,-0.0002,16,0
5.103144499997143,-0.0003,16,0
5.14821590000065,-0.0004,15,0
5.193755200016312,-0.0002,16,0
5.238496900012251,-0.0002,15,0
5.283230800007004,-0.0002,15,0
5.373205900017638,-0.0002,16,0
5.418587799998932,-0.0003,15,0
5.463544800004456,-0.0001,16,0
5.508317800005898,-0.0001,15,0
5.553803300019354,-0.0001,16,0
5.598740899993572,-0.0001,16,0
5.643473399977665,-0.0002,16,0
5.688296900014393,-0.0002,14,0
5.7783189000329,-0.0002,16,0
5.823483599990141,-0.0002,16,0
5.868457500007935,-0.0002,15,0
5.913437000010163,-0.0002,16,0
5.958650599990506,-0.0002,15,0
6.003760699997656,-0.0002,16,0
6.048748200002592,-0.0002,16,0
6.093637700018007,-0.0001,16,0
6.138603900035378,-0.0002,14,0
6.228570399980526,-0.0002,16,0
6.2731778000015765,-0.0003,15,0
6.318351200025063,-0.0003,16,0
6.363027899991721,-0.0001,15,0
6.40823050000472,-0.0002,15,0
6.4533563000150025,-0.0002,16,0
6.498357500007842,-0.0003,15,0
6.543352800013963,-0.0002,16,0
6.58857890003128,-0.0001,15,0
6.6783839000272565,-0.0002,16,0
6.72359220002545,-0.0002,16,0
6.768227700027637,-0.0002,16,0
6.813368999981321,-0.0002,15,0
6.858352100010961,-0.0002,16,0
6.903674800007138,-0.0003,17,0
6.948460499988869,-0.0003,15,0
6.993212400004268,-0.0001,15,0
7.038278500025626,-0.0003,14,0
7.128295300004538,-0.0001,16,0
7.17368120001629,-0.0001,16,0
7.218736300012097,-0.0002,15,0
7.26380810001865,-0.0001,16,0
7.308419600012712,-0.0002,16,0
7.353641599998809,-0.0003,16,0
7.398339400009718,-0.0001,15,0
7.443299799982924,-0.0001,15,0
7.487958999990951,-0.0,16,0
7.578464800026268,-0.0002,15,0
7.623777300002985,-0.0001,16,0
7.668095400033053,-0.0001,15,0
7.713029199978337,-0.0002,15,0
7.758101199986413,-0.0001,16,0
7.8030672000022605,-0.0001,15,0
7.8511827000183985,-0.0003,16,0
7.911362599988934,-0.0001,15,0
7.939190600009169,-0.0001,15,0
8.028544300002977,-0.0002,16,0
8.073408500000369,-0.0,15,0
8.118058299995027,-0.0003,15,0
8.163255600025877,-0.0001,16,0
8.208104900026228,-0.0001,16,0
8.253357000008691,-0.0003,15,0
8.298797800031025,-0.0002,16,0
8.34348989999853,-0.0003,16,0
8.388692000007723,-0.0002,16,0
8.484551000001375,-0.0002,15,0
8.526007100008428,-0.0001,16,0
8.576373799995054,-0.0001,15,0
8.615971999999601,-0.0002,16,0
8.659030999988317,-0.0001,15,0
8.703409900015686,-0.0002,16,0
8.748125999991316,-0.0002,16,0
8.793132100021467,-0.0001,15,0
8.838790700014215,-0.0001,15,0
8.928582900029141,-0.0002,14,0
8.973686999990605,-0.0002,15,0
9.01865420001559,-0.0001,15,0
9.063778100011405,-0.0002,15,0
9.108635000011418,-0.0001,16,0
9.153433899977244,-0.0003,16,0
9.198611600033473,-0.0002,15,0
9.243656200007536,-0.0002,15,0
9.288383900013287,-0.0002,15,0
9.379246000025887,-0.0003,16,0
9.423256499983836,-0.0002,15,0
9.468411699985154,-0.0002,16,0
9.513638300006278,-0.0002,15,0
9.558590000029653,-0.0001,15,0
9.60345779999625,-0.0003,15,0
9.648440500022843,-0.0002,16,0
9.6939767000149,-0.0002,15,0
9.738872700021602,-0.0002,15,0
9.829593900009058,-0.0002,15,0
9.873669799999334,-0.0001,16,0
9.91867420001654,-0.0002,16,0
9.963794199982658,-0.0003,15,0
10.008392399991862,-0.0002,15,0
10.053828000032809,-0.0003,16,0
10.098553900024854,-0.0003,15,0
10.143696799990721,-0.0001,15,0
10.188467800035141,-0.0002,16,0
10.27863499999512,-0.0002,15,0
10.323740000021644,-0.0001,16,0
10.368943699984811,-0.0002,15,0
10.413931299990509,-0.0002,15,0
10.458800200023688,-0.0001,15,0
10.503384799987543,-0.0002,16,0
10.548730299982708,-0.0001,16,0
10.593577000021469,-0.0001,15,0
10.638279900013003,-0.0002,16,0
10.729618099983782,-0.0003,15,0
10.77344100002665,-0.0002,16,0
10.81890240003122,-0.0002,15,0
10.863457800005563,-0.0002,15,0
10.90872649999801,-0.0002,16,0
10.953538800007664,-0.0003,14,0
10.998644099978264,-0.0003,15,0
11.043104299984407,-0.0003,16,0
11.088628700003028,-0.0002,15,0
11.178432199987583,-0.0001,15,0
11.223605300008785,-0.0002,15,0
11.268372000020463,-0.0002,16,0
11.313604400027543,-0.0001,15,0
11.358590300020296,-0.0003,15,0
11.403378400020301,-0.0001,16,0
11.448255700001027,-0.0004,16,0
11.49379969999427,-0.0002,16,0
11.538887900009286,-0.0002,15,0
11.630365199991502,-0.0002,15,0
11.678756700013764,-0.0003,15,0
11.718690000008792,-0.0002,16,0
11.763373000023421,-0.0001,15,0
11.80844039999647,-0.0002,16,0
11.85318139998708,-0.0002,16,0
11.898706200008746,-0.0002,16,0
11.94351650000317,-0.0003,15,0
11.988818900019396,-0.0003,15,0
12.084791700006463,-0.0002,16,0
12.124431899981573,-0.0001,15,0
12.168659100017976,-0.0002,15,0
12.213327299978118,-0.0002,16,0
12.25827739998931,-0.0001,15,0
12.303545400034636,-0.0002,15,0
12.348602299985941,-0.0003,16,0
12.393550599983428,-0.0001,16,0
12.438684799999464,-0.0002,16,0
12.528935900016222,-0.0001,16,0
12.573368999990635,-0.0001,16,0
12.618332499987446,-0.0002,15,0
12.663889500021469,-0.0001,16,0
12.708585800020956,-0.0,15,0
12.75374820001889,-0.0002,15,0
12.798580700007733,-0.0003,15,0
12.843352900003083,-0.0002,16,0
12.889124599983916,-0.0002,15,0
12.979420899995603,-0.0002,15,0
13.023566799995024,-0.0002,15,0
13.068328400026076,-0.0001,16,0
13.113822899991646,-0.0001,15,0
13.158602199982852,-0.0002,15,0
13.203519400034565,-0.0002,16,0
13.248553499986883,-0.0001,16,0
13.293635300011374,-0.0001,16,0
13.338391900004353,-0.0002,16,0
13.43572830001358,-0.0001,15,0
13.474830600025598,-0.0001,15,0
13.520062500028871,-0.0001,16,0
13.575502699997742,-0.0001,15,0
13.613217299978714,-0.0002,15,0
13.653382799995597,-0.0002,15,0
13.70106809999561,-0.0002,15,0
13.743282400013413,-0.0002,15,0
13.801623500010464,-0.0003,15,0
13.883706099994015,-0.0004,15,0
13.929134499980137,-0.0001,15,0
13.974713500007056,-0.0002,16,0
14.0285889999941,-0.0003,15,0
14.059515600034501,-0.0002,15,0
14.10609379998641,-0.0003,15,0
14.148184899997432,-0.0001,15,0
14.195413500012364,-0.0002,15,0
14.243759499979205,-0.0001,16,0
14.330312100006267,-0.0001,15,0
14.380872800014913,-0.0002,15,0
14.418614700029138,-0.0001,15,0
14.46691680001095,-0.0002,15,0
14.508401600003708,-0.0002,15,0
14.560423700022511,-0.0002,16,0
14.602664100006223,-0.0002,16,0
14.643721200001892,-0.0003,16,0
14.688404900021851,-0.0002,16,0
14.77983299997868,-0.0001,15,0
14.823331699997652,-0.0,15,0
14.869513800018467,-0.0002,15,0
14.913675500021782,-0.0001,16,0
14.958404100034386,-0.0002,15,0
15.003404100018088,-0.0001,16,0
15.048671600001398,-0.0002,15,0
15.093933500000276,-0.0002,15,0
15.138485400006175,-0.0001,16,0
15.229641499987338,-0.0003,16,0
15.273844700015616,-0.0002,16,0
15.318325000000186,-0.0004,15,0
15.36366969998926,-0.0001,16,0
15.408755299984477,-0.0001,16,0
15.453532300016377,-0.0003,15,0
15.498725900019053,-0.0003,15,0
15.54339780000737,-0.0002,16,0
15.589153299981263,-0.0002,15,0
15.678676499985158,-0.0002,15,0
15.723304599989206,-0.0001,16,0
15.768539600016084,-0.0002,16,0
15.813712899980601,-0.0002,16,0
15.858815599989612,-0.0002,15,0
15.907128799997736,-0.0003,15,0
15.955289200006519,-0.0003,15,0
15.99319499998819,-0.0001,16,0
16.038531700032763,-0.0002,16,0
16.129213900014292,-0.0002,15,0
16.173499700031243,-0.0002,15,0
16.219169799995143,-0.0003,16,0
16.26360140001634,-0.0001,15,0
16.308358900016174,-0.0002,16,0
16.353414200013503,-0.0002,16,0
16.398508300015237,-0.0004,15,0
16.44327109999722,-0.0001,15,0
16.488279499986675,-0.0,15,0
16.57908579998184,-0.0002,16,0
16.62366360001033,-0.0002,15,0
16.668586699990556,-0.0001,15,0
16.71354169998085,-0.0002,15,0
16.758445099985693,-0.0002,17,0
16.803584899986163,-0.0002,15,0
16.84883680002531,-0.0002,16,0
16.893837700015865,-0.0002,16,0
16.938328600022942,-0.0001,16,0
17.028854300035164,-0.0002,16,0
17.073586500016972,-0.0001,15,0
17.124440199986566,-0.0001,16,0
17.16319819999626,-0.0002,16,0
17.208471100020688,-0.0004,16,0
17.25377730000764,-0.0002,16,0
17.298382400011178,-0.0002,15,0
17.34353260003263,-0.0002,16,0
17.388282100029755,-0.0001,16,0
17.478577200032305,-0.0001,16,0
17.523779599985573,-0.0003,16,0
17.56859550002264,-0.0002,16,0
17.613623799989,-0.0002,15,0
17.658332200022414,-0.0003,16,0
17.70371710002655,-0.0002,15,0
17.748704200028442,-0.0002,15,0
17.793525199987926,-0.0002,15,0
17.838678700034507,-0.0002,16,0
17.92890240001725,-0.0002,16,0
17.973381499992684,-0.0002,15,0
18.01831349998247,-0.0001,16,0
18.063776800001506,-0.0001,15,0
18.108373299997766,-0.0002,15,0
18.153710199985653,-0.0002,16,0
18.198287800012622,-0.0002,15,0
18.24364850000711,-0.0002,15,0
18.333856699988246,-0.0001,16,0
18.37868540000636,-0.0002,14,0
18.42390150000574,-0.0002,16,0
18.468853000027593,-0.0001,15,0
18.513642299978528,-0.0001,16,0
18.558256099990103,-0.0003,15,0
18.60355509998044,-0.0002,15,0
18.64834090002114,-0.0002,16,0
18.6934414000134,-0.0,15,0
18.738543200015556,-0.0003,16,0
18.828734299982898,-0.0002,15,0
18.873227500007488,-0.0001,15,0
18.91871080000419,-0.0,16,0
18.963567099999636,-0.0001,16,0
19.00860170001397,-0.0003,16,0
19.053328300011344,-0.0002,15,0
19.098298400000203,-0.0002,16,0
19.143562200013548,-0.0001,15,0
19.188608700002078,-0.0002,16,0
19.278983600030188,-0.0001,16,0
19.323675099993125,-0.0001,16,0
19.368512200016994,-0.0003,16,0
19.458750399993733,-0.0002,15,0
19.48857779998798,-0.0001,16,0
19.516681400011294,-0.0002,15,0
19.548549600003753,-0.0002,15,0
19.593831399979535,-0.0002,16,0
19.63892019999912,-0.0002,15,0
19.73195059999125,-0.0002,16,0
19.78229730000021,-0.0002,15,0
19.823623900010716,-0.0003,16,0
19.863297100004274,-0.0002,16,0
19.917335200007074,-0.0003,15,0
19.95775170001434,-0.0002,16,0
20.005407900025602,-0.0002,15,0
20.04490859998623,-0.0001,16,0
20.093379600031767,-0.0002,16,0
20.182972199982032,-0.0002,15,0
20.22599629999604,-0.0002,16,0
20.26811780000571,-0.0001,15,0
20.316675400012173,-0.0002,15,0
20.3635881000082,-0.0004,15,0
20.412271399982274,-0.0002,15,0
20.453391399991233,-0.0003,16,0
20.498181200004183,-0.0001,15,0
20.538392400019802,-0.0003,15,0
20.63590709998971,-0.0003,15,0
20.67472710000584,-0.0002,15,0
20.718274499988183,-0.0002,15,0
20.765953699999955,-0.0001,16,0
20.818093999987468,-0.0002,15,0
20.85432270000456,-0.0001,15,0
20.899374300031923,-0.0002,16,0
20.94575920002535,-0.0001,16,0
20.988403299998026,-0.0001,16,0
21.08112099999562,-0.0002,16,0
21.123706899990793,-0.0001,15,0
21.171390799980145,-0.0002,16,0
21.221250400005374,-0.0001,15,0
21.26020860002609,-0.0002,16,0
21.303370699984953,-0.0004,16,0
21.350418100017123,-0.0001,16,0
21.394632300012745,-0.0002,16,0
21.44052850001026,-0.0002,16,0
21.531639699998777,-0.0003,15,0
21.577095500018913,-0.0001,15,0
21.618516099988483,-0.0001,16,0
21.663558900007047,-0.0003,16,0
21.708226100017782,-0.0003,16,0
21.75367730000289,-0.0002,15,0
21.798356499988586,-0.0001,15,0
