Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.022629199957009405,-0.0002,12,0
0.06728019996080548,-0.0003,12,0
0.11200039996765554,-0.0003,12,0
0.15665630000876263,-0.0003,11,0
0.20178239996312186,-0.0003,12,0
0.26239069999428466,-0.0002,12,0
0.30696289998013526,-0.0003,11,0
0.35163140000076964,-0.0004,12,0
0.412109499971848,-0.0003,11,0
0.45668790000490844,-0.0002,11,0
0.5021693999879062,-0.0003,12,0
0.5618377999635413,-0.0002,12,0
0.6069541999604553,-0.0002,11,0
0.6517306999885477,-0.0003,12,0
0.7120702999527566,-0.0002,12,0
0.7567358000087552,-0.0002,12,0
0.801822200010065,-0.0003,12,0
0.8621354000060819,-0.0002,11,0
0.9071042999858037,-0.0003,12,0
0.9519590999698266,-0.0004,11,0
1.0117197000072338,-0.0003,11,0
1.0567843999597244,-0.0002,12,0
1.1020242999657057,-0.0003,12,0
1.1620910000056028,-0.0005,12,0
1.2071999000036158,-0.0003,12,0
1.2523352999705821,-0.0003,11,0
1.3124271999695338,-0.0002,11,0
1.3723667999729514,-0.0002,12,0
1.4018375999876298,-0.0002,12,0
1.462213699996937,-0.0003,11,0
1.506968899979256,-0.0002,12,0
1.5521010999800637,-0.0002,13,0
1.6424796999781393,-0.0002,12,0
1.6869270000024699,-0.0002,12,0
1.7317296999972314,-0.0002,11,0
1.776992800005246,-0.0003,11,0
1.8218813999556005,-0.0003,12,0
1.867417600005865,-0.0004,12,0
1.9122029999853112,-0.0003,12,0
1.9568851999938488,-0.0002,11,0
2.001927400007844,-0.0003,12,0
2.0927629999932833,-0.0002,11,0
2.1370536999893375,-0.0003,12,0
2.1822184000047855,-0.0002,13,0
2.227352899964899,-0.0002,12,0
2.271750899963081,0.003,510,0
2.3166560999816284,0.0031,511,0
2.362444099970162,0.003,510,0
2.406840799958445,0.003,511,0
2.4519512999686413,0.003,510,0
2.542253299965523,0.003,510,0
2.5867846999899484,0.003,511,0
2.631832899991423,0.003,511,0
2.6768718999810517,0.0031,510,0
2.7224759999662638,0.0031,510,0
2.7669820999726653,0.003,512,0
2.812418599962257,0.003,510,0
2.8572082999744453,0.0031,510,0
2.902046800008975,0.0032,511,0
3.0375504999537952,0.003,511,0
3.0399680999689735,0.0031,510,0
3.082478899974376,0.003,510,0
3.1273271999671124,0.0031,509,0
3.1721397999790497,0.003,510,0
3.216708199994173,0.003,511,0
3.2622599999886006,0.003,512,0
3.3077511999872513,0.0031,505,0
3.351749299967196,0.0032,507,0
3.4433075999841094,0.0031,507,0
3.487210599996615,0.003,506,0
3.5321877999813296,0.003,506,0
3.5768530999775976,0.003,508,0
3.621934399998281,0.0031,506,0
3.667027899995446,0.003,508,0
3.7119029999594204,0.0031,506,0
3.7574236000073142,0.0031,507,0
3.8021736000082456,0.0031,506,0
3.8919148999848403,0.003,506,0
3.9371018999954686,0.003,507,0
3.9817732999799773,0.0031,507,0
4.027174599992577,0.0029,506,0
4.0722842999966815,0.003,506,0
4.116829500009771,0.003,507,0
4.1624165999819525,0.0029,507,0
4.20740889996523,0.0031,507,0
4.25222029996803,0.0029,506,0
4.341898899991065,0.0031,506,0
4.387443599989638,0.003,506,0
4.432041599997319,0.0031,503,0
4.477258800005075,0.003,503,0
4.523769699968398,0.0029,503,0
4.567274999979418,0.0029,502,0
4.611882900004275,0.0029,503,0
4.657550700008869,0.0029,502,0
4.702648299979046,0.003,503,0
4.79265449999366,0.003,503,0
4.837115400005132,0.0031,503,0
4.881682400009595,0.003,502,0
4.926659399992786,0.003,503,0
4.971648000006098,0.0029,503,0
5.0171427999739535,0.003,502,0
5.061841599992476,0.0029,503,0
5.106948399974499,0.003,503,0
5.152173299982678,0.003,503,0
5.2418840999598615,0.0029,503,0
5.28699409996625,0.003,503,0
5.3317342000082135,0.0029,503,0
5.377399899996817,0.0029,503,0
5.42243989999406,0.0031,503,0
5.467887999955565,0.0029,502,0
5.511727899953257,0.0028,499,0
5.556647899968084,0.0029,497,0
5.601861400005873,0.003,499,0
5.692223699996248,0.0028,499,0
5.737158300005831,0.003,498,0
5.782116899965331,0.0029,499,0
5.826827899960335,0.0028,498,0
5.872211200010497,0.0029,498,0
5.91685849998612,0.0028,498,0
6.007526499975938,0.0028,499,0
6.03713539999444,0.003,498,0
6.064944799989462,0.0029,498,0
6.142250899982173,0.0029,499,0
6.187088899954688,0.003,498,0
6.2318164999596775,0.0029,499,0
6.277311399986502,0.003,498,0
6.32227539998712,0.003,499,0
