Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.01983140001539141,-0.0003,2,0
0.0644849999807775,-0.0003,2,0
0.10929360002046451,-0.0004,2,0
0.1544331000186503,-0.0004,2,0
0.1995681999833323,-0.0003,2,0
0.24460129998624325,-0.0004,2,0
0.2897557999822311,-0.0003,1,0
0.3795699999900535,-0.0003,2,0
0.42433180002262816,-0.0002,2,0
0.46956599998520687,-0.0003,2,0
0.5144383999868296,-0.0004,2,0
0.5593431000015698,-0.0004,2,0
0.6045529000111856,-0.0004,3,0
0.6496373999980278,-0.0003,2,0
0.6946695999940857,-0.0004,2,0
0.7397275000112131,-0.0003,2,0
0.8291736000101082,-0.0002,2,0
0.874062100017909,-0.0004,2,0
0.9196033999905922,-0.0002,2,0
0.9643207999761216,-0.0004,2,0
1.009772300021723,-0.0003,2,0
1.0545483999885619,-0.0003,2,0
1.0996575999888591,-0.0003,2,0
1.1444743999745697,-0.0002,1,0
1.1893729000003077,-0.0003,1,0
1.279637300001923,-0.0003,2,0
1.324854000005871,-0.0002,2,0
1.369824299996253,-0.0002,2,0
1.4144174000248313,-0.0002,3,0
1.4596549000125378,-0.0003,2,0
1.504584199981764,-0.0003,2,0
1.5497011999832466,-0.0003,2,0
1.5944714000215754,-0.0003,2,0
1.6395528999855742,-0.0004,2,0
1.7295005000196397,-0.0002,2,0
1.7748249000287615,-0.0002,2,0
1.8195817000232637,-0.0003,2,0
1.864194999972824,-0.0004,2,0
1.909401400014758,-0.0003,2,0
1.9545080999960192,-0.0004,2,0
2.0001500999787822,-0.0002,2,0
2.0445995000191033,-0.0002,2,0
2.0894379999954253,-0.0002,2,0
2.18176940002013,-0.0003,1,0
2.2337876000092365,-0.0003,2,0
2.269356200005859,-0.0003,2,0
2.3145355000160635,-0.0003,2,0
2.3596286000101827,-0.0003,2,0
2.40459579997696,-0.0003,2,0
2.449564200011082,-0.0002,2,0
2.4946133000194095,-0.0002,2,0
2.539891999971587,-0.0003,2,0
2.630564699997194,-0.0003,2,0
2.674803600006271,-0.0002,2,0
2.7206092000124045,-0.0003,2,0
2.764617500011809,-0.0003,5,0
2.809319799998775,-0.0002,4,0
2.85453160002362,-0.0004,4,0
2.8992925999918953,-0.0003,5,0
2.9446268000174314,-0.0003,5,0
2.989361200015992,-0.0003,5,0
3.079690499987919,-0.0004,4,0
3.124419300002046,-0.0003,4,0
3.169793499982916,-0.0003,4,0
3.2145043999771588,-0.0003,4,0
3.2593826000229456,-0.0003,4,0
3.350640000018757,-0.0003,4,0
3.3541242000064813,-0.0002,12,0
3.397210000024643,-0.0002,12,0
3.484706200018991,-0.0002,12,0
3.529866299999412,-0.0003,12,0
3.5745234999922104,-0.0002,11,0
3.619258799997624,-0.0003,11,0
3.664242699975148,-0.0003,12,0
3.709463900013361,-0.0003,12,0
3.754449100000784,-0.0003,12,0
3.7996176999877207,-0.0003,11,0
3.8445506999851204,-0.0002,12,0
3.936232600011863,-0.0002,11,0
3.979784000024665,-0.0003,12,0
4.024615400005132,-0.0001,20,0
4.069761499995366,-0.0001,19,0
4.114588900003582,-0.0003,19,0
4.159435499983374,-0.0003,19,0
4.20493309997255,-0.0002,19,0
4.249259900010657,-0.0002,19,0
4.29491749999579,-0.0001,19,0
4.385029099998064,-0.0,19,0
4.429444000008516,-0.0002,19,0
4.47463070001686,-0.0001,18,0
4.519864399975631,-0.0001,19,0
4.566081100027077,-0.0002,20,0
4.609834900009446,-0.0002,27,0
4.654317900014576,-0.0002,27,0
4.699652299983427,-0.0001,27,0
4.744696800014935,-0.0001,27,0
4.835416699992493,-0.0002,27,0
4.8795472999918275,-0.0002,27,0
4.924251299991738,-0.0001,27,0
4.969362300005741,-0.0002,27,0
5.01423650002107,-0.0002,27,0
5.059571399993729,-0.0004,28,0
5.104688599996734,-0.0003,28,0
5.15012070001103,-0.0002,34,0
5.194498599972576,-0.0001,34,0
5.2850788999930955,-0.0001,35,0
5.329344499972649,-0.0002,34,0
5.374325899989344,-0.0001,34,0
5.419638400024269,-0.0002,34,0
5.464478400012013,-0.0001,34,0
5.509645999991335,-0.0002,34,0
5.554367600008845,-0.0001,34,0
5.599742099992,-0.0001,35,0
5.644614599994384,-0.0002,34,0
5.735319699975662,-0.0,35,0
5.77933980000671,-0.0001,41,0
5.824588700023014,-0.0001,42,0
5.869663899997249,-0.0,42,0
5.9142861000145786,-0.0002,42,0
5.959704899985809,-0.0001,42,0
