Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.005961199989542365,-0.0003,5.4282,95.218
0.049393099965527654,-0.0004,5.4282,95.218
0.09450339997420087,-0.0004,5.4282,95.218
0.18525609996868297,-0.0003,6.4218,94.226
0.22942069999407977,-0.0003,6.4218,94.226
0.2742661999654956,-0.0004,5.4282,95.218
0.31963589997030795,-0.0003,5.4282,94.226
0.4098008999717422,-0.0004,5.4282,95.218
0.41192109999246895,-0.0003,5.4282,95.218
0.4542393999872729,-0.0003,5.4282,95.218
0.4993296000175178,-0.0003,5.4282,94.226
0.5448482999927364,-0.0004,5.4282,95.218
0.6349004000076093,-0.0004,5.4282,95.218
0.679186999972444,-0.0005,5.4282,95.218
0.7242788000148721,-0.0002,4.4346,95.218
0.7692264000070281,-0.0003,5.4282,95.218
0.8140679000061937,-0.0003,5.4282,94.226
0.8595610000193119,-0.0003,5.4282,94.226
0.9046032999758609,-0.0003,5.4282,94.226
0.9497455999953672,-0.0003,5.4282,95.218
1.0400807000114582,-0.0003,5.4282,95.218
1.0848361999960616,-0.0004,5.4282,96.21
1.12973869999405,-0.0002,5.4282,95.218
1.1742607000051066,-0.0003,5.4282,95.218
1.2191681999829598,-0.0002,5.4282,96.21
1.266834900015965,-0.0003,5.4282,94.226
1.3176413999754004,-0.0003,5.4282,95.218
1.354472499981057,-0.0005,5.4282,94.226
1.40197269996861,-0.0003,5.4282,95.218
1.4922620999859646,-0.0003,5.4282,95.218
1.5370676000020467,-0.0004,5.4282,95.218
1.5793713000020944,-0.0004,5.4282,95.218
1.6272063999786042,-0.0003,5.4282,95.218
1.6783024999895133,-0.0004,5.4282,94.226
1.7143594999797642,-0.0004,5.4282,94.226
1.7626153000164777,-0.0003,5.4282,95.218
1.8073452999815345,-0.0004,5.4282,95.218
1.8522185999900103,-0.0004,5.4282,95.218
1.9413736999849789,-0.0003,5.4282,94.226
1.9842492999741808,-0.0003,6.4218,94.226
2.0314872000017203,-0.0004,5.4282,95.218
2.0745026000076905,-0.0004,6.4218,94.226
2.1202312000095844,-0.0003,5.4282,94.226
2.164212299976498,-0.0003,5.4282,95.218
2.209307599987369,-0.0004,5.4282,95.218
2.2565189999877475,-0.0003,5.4282,95.218
2.3032335999887437,-0.0003,5.4282,94.226
2.391773800016381,-0.0003,5.4282,94.226
2.4341419999836944,-0.0003,6.4218,95.218
2.4799080999800935,-0.0003,5.4282,94.226
2.5262355000013486,-0.0003,4.4346,94.226
2.5722989999921992,-0.0003,5.4282,94.226
2.6154278999892995,-0.0005,5.4282,95.218
2.6595753000001423,-0.0004,6.4218,94.226
2.7045712000108324,-0.0005,5.4282,95.218
2.749442700005602,-0.0004,5.4282,95.218
2.840398499974981,-0.0004,5.4282,94.226
2.884780399966985,-0.0003,5.4282,94.226
2.929372099984903,-0.0003,5.4282,94.226
2.974789800005965,-0.0003,6.4218,95.218
3.0197759000002407,-0.0004,6.4218,95.218
3.064468999975361,-0.0004,5.4282,95.218
3.10942629998317,-0.0004,5.4282,95.218
3.154844900011085,-0.0003,6.4218,96.21
3.199744899990037,-0.0003,5.4282,95.218
3.2905848000082187,-0.0003,5.4282,95.218
3.3345808999729343,-0.0003,5.4282,94.226
3.425231300003361,-0.0003,5.4282,95.218
3.4414401999674737,-0.0003,5.4282,95.218
3.469560500001535,-0.0002,5.4282,94.226
3.514409199997317,-0.0004,5.4282,94.226
3.5596057000220753,-0.0004,5.4282,94.226
3.604420099989511,-0.0004,5.4282,94.226
3.6496972999884747,-0.0003,5.4282,95.218
3.7396561999921687,-0.0003,5.4282,95.218
3.7843257000204176,-0.0002,4.4346,94.226
3.8298342999769375,-0.0004,5.4282,94.226
3.8742606000159867,-0.0003,5.4282,93.234
3.919287799973972,-0.0005,6.4218,95.218
3.964257500017993,-0.0004,5.4282,93.234
4.009629699983634,-0.0004,5.4282,95.218
4.054473700001836,-0.0003,5.4282,94.226
4.099423300009221,-0.0003,5.4282,94.226
4.189089399995282,-0.0003,5.4282,95.218
4.234174799988978,-0.0004,6.4218,94.226
4.279675400000997,-0.0003,5.4282,94.226
4.32425589999184,-0.0003,5.4282,94.226
4.369235199992545,-0.0003,5.4282,95.218
4.41443339997204,-0.0002,5.4282,104.146
4.459367599978577,-0.0002,5.4282,115.058
4.504226199991535,-0.0002,5.4282,114.066
4.549292900017463,-0.0003,5.4282,115.058
4.639433900010772,-0.0002,5.4282,115.058
4.684408799977973,-0.0003,5.4282,114.066
4.729432200023439,-0.0003,5.4282,113.074
4.7751800999976695,-0.0004,5.4282,113.074
4.819305100012571,-0.0004,4.4346,114.066
4.864247799967416,-0.0004,6.4218,114.066
4.9094167000148445,-0.0002,5.4282,114.066
4.9543320999946445,-0.0003,6.4218,114.066
4.9993545999750495,-0.0001,6.4218,115.058
5.089959200005978,-0.0003,6.4218,114.066
5.134648600011133,-0.0003,5.4282,114.066
5.179477699974086,-0.0003,5.4282,114.066
5.224492400011513,-0.0004,5.4282,114.066
5.269893200020306,-0.0004,5.4282,114.066
5.314355499984231,-0.0004,5.4282,115.058
5.359450299991295,-0.0002,5.4282,115.058
5.404664499976207,-0.0003,5.4282,114.066
5.449659099976998,-0.0003,6.4218,135.89
5.540229799982626,-0.0004,5.4282,134.898
5.584361799992621,-0.0003,5.4282,135.89
5.6299432999803685,-0.0003,5.4282,135.89
5.674638399970718,-0.0003,5.4282,134.898
5.720019100001082,-0.0003,5.4282,134.898
5.764576799992938,-0.0004,5.4282,134.898
5.8098846999928355,-0.0005,5.4282,133.906
5.854340999969281,-0.0003,5.4282,134.898
5.899626599973999,-0.0004,5.4282,134.898
5.99015570001211,-0.0003,5.4282,134.898
6.0355583999771625,-0.0004,5.4282,133.906
6.079538399993908,-0.0004,5.4282,134.898
6.124955800012685,-0.0005,5.4282,133.906
6.169590100005735,-0.0003,5.4282,134.898
6.214620799990371,-0.0004,4.4346,134.898
6.259763400012162,-0.0004,5.4282,134.898
6.304355599975679,-0.0003,5.4282,134.898
6.349929999967571,-0.0003,5.4282,133.906
6.440190900000744,-0.0004,5.4282,133.906
6.484417699975893,-0.0004,5.4282,153.74599999999998
6.52932289999444,-0.0004,5.4282,156.72199999999998
6.574761399999261,-0.0005,5.4282,155.73000000000002
6.61960919998819,-0.0004,5.4282,154.738
6.664340100018308,-0.0003,5.4282,154.738
6.709337499982212,-0.0004,5.4282,154.738
6.754472100001294,-0.0005,5.4282,155.73000000000002
6.799760699970648,-0.0003,5.4282,154.738
6.89000189997023,-0.0004,5.4282,154.738
6.9347199000185356,-0.0003,5.4282,154.738
6.979646399966441,-0.0003,5.4282,153.74599999999998
7.024878999975044,-0.0003,5.4282,154.738
7.069502900005318,-0.0004,5.4282,153.74599999999998
7.114383100008126,-0.0005,5.4282,154.738
7.159292800002731,-0.0003,5.4282,153.74599999999998
7.20445339998696,-0.0004,5.4282,153.74599999999998
7.249707999988459,-0.0004,5.4282,153.74599999999998
7.339813900005538,-0.0004,5.4282,154.738
7.3846261000144295,-0.0003,5.4282,154.738
7.429548499989323,-0.0002,5.4282,154.738
7.474258399975952,-0.0004,5.4282,154.738
7.5197332999669015,-0.0003,5.4282,174.57799999999997
7.564453499973752,-0.0003,5.4282,173.586
7.609473299991805,-0.0002,5.4282,173.586
7.654492100002244,-0.0003,5.4282,174.57799999999997
7.699811499973293,-0.0004,4.4346,174.57799999999997
7.789750800002366,-0.0003,5.4282,174.57799999999997
7.834602500020992,-0.0003,5.4282,175.57
7.879355199984275,-0.0003,5.4282,174.57799999999997
7.925052399979904,-0.0004,6.4218,173.586
7.969636699999683,-0.0003,5.4282,174.57799999999997
8.014523099991493,-0.0003,5.4282,173.586
8.059757000009995,-0.0005,5.4282,174.57799999999997
8.104359799996018,-0.0003,6.4218,173.586
8.151664300006814,-0.0003,6.4218,173.586
8.241350399970543,-0.0002,5.4282,173.586
8.290806100005284,-0.0003,5.4282,173.586
8.331462299975101,-0.0004,5.4282,174.57799999999997
8.375166499987245,-0.0004,5.4282,174.57799999999997
8.419159099983517,-0.0005,5.4282,174.57799999999997
8.466517399996519,-0.0004,5.4282,173.586
8.5186772000161,-0.0004,5.4282,193.426
8.55554079997819,-0.0003,5.4282,194.418
8.600197799969465,-0.0004,5.4282,194.418
8.689621999976225,-0.0003,5.4282,195.41000000000003
8.734653000021353,-0.0004,5.4282,194.418
8.779348000010941,-0.0003,5.4282,195.41000000000003
8.82441140001174,-0.0003,6.4218,194.418
8.86925450002309,-0.0003,5.4282,194.418
8.914694499981124,-0.0004,4.4346,194.418
8.959582099982072,-0.0003,5.4282,195.41000000000003
9.0047867000103,-0.0003,5.4282,194.418
9.049643900012597,-0.0003,5.4282,194.418
9.140297000005376,-0.0004,5.4282,194.418
9.184693599992897,-0.0003,6.4218,194.418
9.22940790001303,-0.0003,5.4282,194.418
9.2745565000223,-0.0002,5.4282,194.418
9.319501299993135,-0.0004,7.4154,194.418
9.364408499968704,-0.0003,5.4282,193.426
9.40993859997252,-0.0004,5.4282,194.418
9.454776800004765,-0.0005,5.4282,194.418
9.49949319998268,-0.0004,5.4282,194.418
9.590007499966305,-0.0002,5.4282,215.25
9.634363799996208,-0.0003,5.4282,215.25
9.68007459997898,-0.0003,5.4282,214.25799999999998
9.724610899982508,-0.0003,5.4282,215.25
9.769603999971878,-0.0003,5.4282,214.25799999999998
9.814564200001769,-0.0004,5.4282,214.25799999999998
9.859452500008047,-0.0006,4.4346,216.24200000000002
9.904459199984558,-0.0004,6.4218,214.25799999999998
9.949603900022339,-0.0003,6.4218,214.25799999999998
10.04018830001587,-0.0003,5.4282,215.25
10.084611199970823,-0.0004,5.4282,215.25
10.129600999993272,-0.0003,5.4282,215.25
10.174709299986716,-0.0003,5.4282,214.25799999999998
10.219215799996164,-0.0004,5.4282,214.25799999999998
10.264621599984821,-0.0004,5.4282,215.25
10.309325099980924,-0.0004,6.4218,214.25799999999998
10.354345600004308,-0.0003,5.4282,214.25799999999998
10.399739900021814,-0.0004,5.4282,214.25799999999998
10.490051599976141,-0.0004,5.4282,214.25799999999998
10.534724799974356,-0.0004,5.4282,214.25799999999998
10.579575299983844,-0.0002,5.4282,235.08999999999997
10.624708399991505,-0.0003,5.4282,234.098
10.66960740002105,-0.0002,5.4282,234.098
10.714534399972763,-0.0003,5.4282,235.08999999999997
10.759629999985918,-0.0004,5.4282,235.08999999999997
10.804498500016052,-0.0003,5.4282,234.098
10.849644400004763,-0.0003,6.4218,234.098
10.940393899974879,-0.0002,4.4346,235.08999999999997
10.984826600004453,-0.0002,5.4282,235.08999999999997
11.029654600017238,-0.0003,6.4218,235.08999999999997
11.074513699975796,-0.0002,6.4218,235.08999999999997
11.119362999976147,-0.0003,5.4282,235.08999999999997
11.164662599971052,-0.0002,5.4282,234.098
11.209357000014279,-0.0002,5.4282,235.08999999999997
11.25465349998558,-0.0003,5.4282,235.08999999999997
11.29968260001624,-0.0004,5.4282,235.08999999999997
11.390130900021177,-0.0003,5.4282,234.098
11.434568799973931,-0.0003,5.4282,235.08999999999997
11.479289399983827,-0.0004,5.4282,235.08999999999997
11.524834399984684,-0.0003,5.4282,235.08999999999997
11.56960440002149,-0.0004,5.4282,235.08999999999997
11.614591100020334,-0.0003,5.4282,254.93
11.65949950000504,-0.0003,5.4282,254.93
11.70483930001501,-0.0002,5.4282,254.93
11.749727400019765,-0.0002,6.4218,253.938
11.839849899988621,-0.0004,5.4282,254.93
11.884352499968372,-0.0004,6.4218,253.938
11.92980639997404,-0.0003,5.4282,254.93
11.974600100016687,-0.0003,5.4282,254.93
12.01972039998509,-0.0004,5.4282,253.938
12.064626800012775,-0.0003,5.4282,253.938
12.109316999965813,-0.0003,5.4282,254.93
12.154361599998083,-0.0003,5.4282,254.93
12.199672899965663,-0.0003,6.4218,254.93
12.289912000007462,-0.0004,5.4282,253.938
12.334752099995967,-0.0002,5.4282,253.938
12.379550000012387,-0.0004,5.4282,254.93
12.424684599973261,-0.0004,5.4282,253.938
12.469946399971377,-0.0003,5.4282,253.938
12.514685300004203,-0.0003,4.4346,254.93
12.559552799968515,-0.0004,5.4282,253.938
12.604768699966371,-0.0003,5.4282,274.77
12.649346899997909,-0.0003,5.4282,274.77
12.740066499973182,-0.0003,6.4218,274.77
12.784343199979048,-0.0004,5.4282,274.77
12.829691799997818,-0.0003,5.4282,274.77
12.874707599985413,-0.0004,5.4282,274.77
12.919145199994091,-0.0004,5.4282,273.77799999999996
12.9644227999961,-0.0004,5.4282,274.77
13.009404800017364,-0.0002,5.4282,273.77799999999996
13.05455910001183,-0.0003,5.4282,274.77
13.099405699991621,-0.0003,5.4282,274.77
13.18924729997525,-0.0004,4.4346,274.77
13.23439050000161,-0.0003,5.4282,273.77799999999996
13.279508300009184,-0.0003,5.4282,272.786
13.32443370000692,-0.0003,5.4282,274.77
13.369485999981407,-0.0004,5.4282,273.77799999999996
13.414541299978737,-0.0005,4.4346,274.77
13.459743599989451,-0.0004,5.4282,274.77
13.50461850001011,-0.0003,5.4282,273.77799999999996
13.549796500010416,-0.0004,5.4282,273.77799999999996
13.64016020001145,-0.0003,6.4218,277.746
13.68987040000502,-0.0003,5.4282,295.602
13.73000649997266,-0.0004,5.4282,294.60999999999996
13.774340400006622,-0.0002,5.4282,295.602
13.81948010000633,-0.0003,5.4282,294.60999999999996
13.864643700013403,-0.0003,5.4282,294.60999999999996
13.909439200011548,-0.0002,5.4282,293.618
13.954519899969455,-0.0004,5.4282,295.602
13.999611700011883,-0.0003,5.4282,295.602
14.09006329998374,-0.0004,5.4282,294.60999999999996
14.134641400014516,-0.0003,6.4218,295.602
14.179585199977737,-0.0003,6.4218,295.602
14.224493200017605,-0.0004,5.4282,294.60999999999996
14.26965360000031,-0.0003,5.4282,293.618
14.314715899992734,-0.0005,5.4282,293.618
14.359760599967558,-0.0002,5.4282,295.602
14.404679899977054,-0.0003,6.4218,294.60999999999996
