Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.014463800005614758,-0.0004,4.4346,11.89
0.05864639999344945,-0.0004,4.4346,11.89
0.10416770004667342,-0.0003,5.4282,11.89
0.14859090000391006,-0.0003,4.4346,11.89
0.23941130004823208,-0.0004,4.4346,11.89
0.2836894000065513,-0.0002,5.4282,11.89
0.33015510003315285,-0.0004,5.4282,11.89
0.3740710000274703,-0.0003,4.4346,11.89
0.4189619999960996,-0.0002,4.4346,11.89
0.46428660000674427,-0.0004,5.4282,11.89
0.5087150000035763,-0.0003,4.4346,11.89
0.5536820000270382,-0.0003,157.449,11.89
0.5990568000124767,-0.0002,200.1738,11.89
0.6894090000423603,-0.0003,200.1738,11.89
0.7405380000127479,-0.0002,199.1802,11.89
0.7789162000408396,-0.0002,201.16740000000001,11.89
0.8269193000160158,-0.0002,199.1802,11.89
0.8759996000444517,-0.0003,200.1738,11.89
0.9137799000018276,-0.0003,200.1738,11.89
0.9587583999964409,-0.0003,199.1802,11.89
1.0038946000277065,-0.0002,200.1738,11.89
1.0484721999964677,-0.0002,200.1738,11.89
1.1385023000184447,-0.0003,198.1866,11.89
1.1835939000011422,-0.0003,200.1738,11.89
1.2285350000020117,-0.0003,201.16740000000001,11.89
1.2738848000299186,-0.0002,199.1802,11.89
1.319193500035908,-0.0004,200.1738,11.89
1.363615500042215,-0.0005,199.1802,11.89
1.4085996000212617,-0.0003,201.16740000000001,11.89
1.453826300043147,-0.0004,200.1738,11.89
1.4984836000367068,-0.0004,199.1802,11.89
1.588652100006584,-0.0003,200.1738,11.89
1.6338089000200853,-0.0004,200.1738,11.89
1.6790801000315696,-0.0003,201.16740000000001,11.89
1.7237290000193752,-0.0002,199.1802,11.89
1.769149900006596,-0.0004,200.1738,11.89
1.8136044000275433,-0.0003,201.16740000000001,11.89
1.858974200033117,-0.0002,200.1738,11.89
1.9038268000003882,-0.0004,200.1738,11.89
1.9492568999994546,-0.0004,199.1802,11.89
2.039423700014595,-0.0002,201.16740000000001,11.89
2.084071799996309,-0.0003,200.1738,11.89
2.129187400045339,-0.0003,199.1802,11.89
2.1738266000174917,-0.0003,200.1738,11.89
2.218839500041213,-0.0004,200.1738,11.89
2.2638194000464864,-0.0004,200.1738,11.89
2.308658900030423,-0.0004,199.1802,11.89
2.3537318000453524,-0.0003,200.1738,11.89
2.399071499996353,-0.0003,200.1738,11.89
2.489151799993124,-0.0003,199.1802,11.89
2.5804573000059463,-0.0003,200.1738,11.89
2.5942849999992177,-0.0002,199.1802,11.89
2.623446900048293,-0.0002,201.16740000000001,11.89
2.668687900004443,-0.0004,200.1738,11.89
2.7135815999936312,-0.0003,200.1738,11.89
2.7587983999983408,-0.0002,200.1738,11.89
2.803805200033821,-0.0002,200.1738,11.89
2.8502148000407033,-0.0003,199.1802,11.89
2.9396336000063457,-0.0001,199.1802,11.89
2.9838949000113644,-0.0002,199.1802,11.89
3.0291245999978855,-0.0003,201.16740000000001,11.89
3.0740995000232942,-0.0002,200.1738,11.89
3.1188470000051893,-0.0005,200.1738,11.89
3.1642050000373274,-0.0004,200.1738,11.89
3.2086970999953337,-0.0001,200.1738,11.89
3.2536249000113457,-0.0002,200.1738,11.89
3.2988856000010855,-0.0003,198.1866,11.89
3.391334200045094,-0.0004,200.1738,11.89
3.4340868000290357,-0.0002,199.1802,11.89
3.478690000018105,-0.0002,198.1866,11.89
3.523657500045374,-0.0002,199.1802,11.89
3.5688056999933906,-0.0004,200.1738,11.89
3.6138691999949515,-0.0002,200.1738,11.89
3.659328700043261,-0.0002,199.1802,11.89
3.703943700005766,0.0004,199.1802,11.89
3.748624900006689,0.0003,199.1802,11.89
3.839005100016948,0.0002,199.1802,11.89
3.884140300040599,0.0002,199.1802,11.89
3.929074300045613,0.0002,200.1738,11.89
3.9741416000179015,0.0003,200.1738,11.89
4.018603200034704,0.0002,199.1802,11.89
4.063730099995155,0.0002,200.1738,11.89
4.108770299993921,0.0003,200.1738,11.89
4.154288900026586,0.0002,200.1738,11.89
4.198923900024965,0.0002,199.1802,11.89
4.289479000028223,0.0002,200.1738,11.89
4.333526300033554,0.0001,200.1738,11.89
4.3786370000452735,0.0003,199.1802,11.89
4.424007699999493,0.0004,200.1738,11.89
4.4690904000308365,0.0002,200.1738,11.89
4.513641500030644,0.0002,200.1738,11.89
4.558637700043619,0.0002,199.1802,11.89
4.604494600032922,0.0002,200.1738,11.89
4.648790600011125,0.0002,199.1802,11.89
4.740619100048207,-0.0,200.1738,11.89
4.783672000048682,0.0007,200.1738,11.89
4.828851300000679,0.0007,200.1738,11.89
4.873578800004907,0.0007,199.1802,11.89
4.919136700045783,0.0007,200.1738,11.89
4.963650999998208,0.0008,199.1802,11.89
5.009229800023604,0.0007,200.1738,11.89
5.054128000047058,0.0007,200.1738,11.89
5.098886799998581,0.0006,199.1802,11.89
5.188866900047287,0.0007,200.1738,11.89
5.233803800016176,0.0007,200.1738,11.89
5.278874700015876,0.0008,199.1802,11.89
5.323840100027155,0.0007,199.1802,11.89
5.368889800040051,0.0007,200.1738,11.89
5.415487500024028,0.0007,200.1738,11.89
5.4587440000032075,0.0007,199.1802,11.89
5.503586900013033,0.0007,200.1738,11.89
5.548486600047909,0.0008,200.1738,11.89
5.639432199997827,0.0006,200.1738,11.89
5.683707100048196,0.0006,198.1866,11.89
5.7289306000457145,0.0008,199.1802,11.89
5.7737303000176325,0.0008,199.1802,11.89
5.819694900012109,0.0007,200.1738,11.89
5.8637529000407085,0.0013,200.1738,11.89
5.9085621000267565,0.0013,199.1802,11.89
5.954418100009207,0.0013,200.1738,11.89
6.04380810004659,0.0013,200.1738,11.89
6.088882600015495,0.0012,199.1802,11.89
6.133998500008602,0.0011,199.1802,11.89
6.178831199998967,0.0013,201.16740000000001,11.89
6.224253799999133,0.0012,200.1738,11.89
6.268970100034494,0.0012,200.1738,11.89
6.313963600026909,0.0012,200.1738,11.89
6.3594873000402,0.0013,200.1738,11.89
6.404161400045268,0.0012,199.1802,11.89
6.494157400040422,0.0013,200.1738,11.89
6.538862200046424,0.0013,200.1738,11.89
6.584135000011884,0.0013,199.1802,11.89
6.628906800004188,0.0013,198.1866,11.89
6.673571399995126,0.0013,198.1866,11.89
6.7211899000103585,0.0012,200.1738,11.89
6.768759300000966,0.0011,200.1738,11.89
6.809095300035551,0.0013,201.16740000000001,11.89
6.854062800004613,0.0013,199.1802,11.89
6.944165199995041,0.0017,200.1738,11.89
6.988888300023973,0.0016,200.1738,11.89
7.033541000040714,0.0017,199.1802,11.89
7.078740100027062,0.0017,201.16740000000001,11.89
7.123741300019901,0.0017,200.1738,11.89
7.170006200030912,0.0018,199.1802,11.89
7.213853800029028,0.0016,199.1802,11.89
7.2591250000405125,0.0016,199.1802,11.89
7.3036834000376984,0.0017,200.1738,11.89
7.394047700043302,0.0018,199.1802,11.89
7.438604700029828,0.0017,199.1802,11.89
7.4836997000384144,0.0016,199.1802,11.89
7.52883990004193,0.0019,200.1738,11.89
7.574145500024315,0.0017,200.1738,11.89
7.61858760000905,0.0016,201.16740000000001,11.89
7.663829600031022,0.0016,200.1738,11.89
7.709176400036085,0.0016,200.1738,11.89
7.754201300034765,0.0017,199.1802,11.89
7.844080400012899,0.0018,199.1802,11.89
7.889143400010653,0.0017,200.1738,11.89
7.934854999999516,0.0018,200.1738,11.89
8.024225500004832,0.0017,199.1802,11.89
8.068971500033513,0.0023,200.1738,11.89
8.071467800007667,0.0021,201.16740000000001,11.89
8.114024500013329,0.0022,199.1802,11.89
8.15919890004443,0.0022,198.1866,11.89
8.2038704000297,0.0024,200.1738,11.89
8.294588499993552,0.0022,200.1738,11.89
8.339233900012914,0.0023,199.1802,11.89
8.384401499992236,0.0022,200.1738,11.89
8.428922899998724,0.0023,199.1802,11.89
8.47445850004442,0.0022,200.1738,11.89
8.518775700009428,0.0022,200.1738,11.89
8.5640873000375,0.0021,200.1738,11.89
8.608612000010908,0.0022,200.1738,11.89
8.653940200048964,0.0023,200.1738,11.89
8.74418350000633,0.0022,200.1738,11.89
8.78909030003706,0.0022,198.1866,11.89
8.833810900046956,0.0022,199.1802,11.89
8.878737399994861,0.0022,199.1802,11.89
8.924221499997657,0.0023,200.1738,11.89
8.968766700010747,0.0022,199.1802,11.89
9.013944400008768,0.0022,200.1738,11.89
9.059542800008785,0.0026,200.1738,11.89
9.103668000025209,0.0028,200.1738,11.89
9.194576700043399,0.0027,199.1802,11.89
9.238662699994165,0.0027,200.1738,11.89
9.283902600000147,0.0028,200.1738,11.89
9.32910150004318,0.0028,200.1738,11.89
9.373529300035443,0.0026,200.1738,11.89
9.418774400022812,0.0027,200.1738,11.89
9.464533100021072,0.0026,200.1738,11.89
9.508916400023736,0.0027,199.1802,11.89
