Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
0,-0.000162966,916.5594,20.430693,36000
36000,-0.000162966,908.6106,20.430693,33000
69000,1.48E-05,909.6042,22.4195538,34000
103000,1.48E-05,917.553,18.4418322,33000
136000,-0.000162966,904.6362,22.4195538,34000
170000,-0.000340752,910.5978,22.4195538,33000
203000,-0.000340752,914.5722,20.430693,34000
237000,-0.000162966,908.6106,22.4195538,33000
270000,-0.000162966,912.585,20.430693,34000
304000,-0.000162966,914.5722,22.4195538,33000
337000,-0.000162966,909.6042,22.4195538,34000
371000,-0.000340752,905.6298,24.4084146,33000
404000,-0.000162966,915.5658,20.430693,34000
438000,-0.000340752,908.6106,20.430693,33000
471000,-0.000162966,903.6426,20.430693,34000
505000,-0.000696324,916.5594,20.430693,33000
538000,1.48E-05,908.6106,18.4418322,34000
572000,-0.000340752,906.6234,20.430693,33000
605000,-0.000162966,913.5786,20.430693,34000
639000,-0.000340752,909.6042,20.430693,33000
672000,-0.000340752,907.617,22.4195538,34000
706000,-0.000162966,913.5786,20.430693,33000
739000,-0.000696324,912.585,18.4418322,34000
773000,-0.000518538,905.6298,22.4195538,33000
806000,-0.000162966,914.5722,22.4195538,34000
840000,-0.000162966,911.5914,18.4418322,33000
873000,-0.000340752,904.6362,20.430693,33000
906000,-0.000162966,909.6042,22.4195538,34000
940000,-0.001051896,912.585,22.4195538,33000
973000,1.48E-05,907.617,22.4195538,34000
1007000,-0.000162966,910.5978,22.4195538,33000
1040000,-0.000340752,914.5722,18.4418322,34000
1074000,-0.000518538,903.6426,20.430693,33000
1107000,-0.000518538,911.5914,22.4195538,34000
1141000,-0.000340752,912.585,20.430693,33000
1174000,-0.000518538,901.6554,20.430693,34000
1208000,-0.000340752,910.5978,20.430693,33000
1241000,-0.000340752,915.5658,20.430693,34000
1275000,-0.000162966,905.6298,16.4529714,33000
1308000,1.48E-05,909.6042,18.4418322,34000
1342000,-0.000340752,913.5786,20.430693,33000
1375000,-0.000340752,906.6234,22.4195538,34000
1409000,-0.000162966,911.5914,22.4195538,33000
1442000,-0.000162966,916.5594,20.430693,34000
1476000,-0.000340752,904.6362,20.430693,33000
1509000,-0.000518538,908.6106,22.4195538,34000
1543000,-0.000340752,916.5594,18.4418322,33000
1576000,-0.000162966,907.617,18.4418322,34000
1610000,-0.000162966,907.617,20.430693,33000
1643000,-0.000162966,913.5786,20.430693,34000
1677000,1.48E-05,907.617,22.4195538,33000
1710000,-0.000162966,905.6298,20.430693,34000
1744000,-0.000162966,913.5786,22.4195538,33000
1777000,-0.000340752,909.6042,18.4418322,34000
1811000,-0.000162966,30.2682,20.430693,34000
1845000,-0.000340752,32.2554,20.430693,33000
1878000,-0.000340752,175.3338,18.4418322,33000
1911000,-0.000340752,222.033,16.4529714,34000
1945000,-0.000162966,243.8922,18.4418322,34000
1979000,-0.000340752,255.8154,14.4641106,33000
2012000,-0.000340752,264.7578,16.4529714,34000
2046000,1.48E-05,273.7002,18.4418322,33000
2079000,-0.000518538,277.6746,16.4529714,34000
2113000,-0.000162966,279.6618,16.4529714,33000
2146000,1.48E-05,286.617,16.4529714,34000
2180000,-0.000162966,287.6106,14.4641106,33000
2213000,-0.000162966,291.585,20.430693,34000
2247000,1.48E-05,295.5594,18.4418322,34000
2281000,-0.000162966,297.5466,16.4529714,33000
2314000,-0.000162966,297.5466,16.4529714,33000
2347000,-0.000162966,303.5082,18.4418322,34000
2381000,1.48E-05,304.5018,16.4529714,34000
2415000,-0.000340752,304.5018,12.4752498,33000
2448000,-0.000340752,307.4826,14.4641106,34000
