Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV)
0,-0.002296398,725.7882,54.2413266
0.01,0.003926112,753.609,-3.4356366
0.02,-0.001051896,697.9674,32.3638578
0.03,-0.004252044,746.6538,24.4084146
0.04,-0.0035409,701.9418,46.2858834
0.05,-0.003007542,781.4298,54.2413266
0.06,-0.003007542,708.897,54.2413266
0.07,0.00268161,760.5642,18.4418322
0.08,0.003926112,697.9674,4.5198066
0.09,0.00268161,760.5642,18.4418322
0.1,0.003214968,701.9418,4.5198066
0.11,0.00268161,767.5194,4.5198066
0.12,-0.003007542,694.9866,24.4084146
0.13,-0.003007542,725.7882,-3.4356366
0.14,-0.0035409,697.9674,32.3638578
0.15,0.00268161,750.6282,10.486389
0.16,-0.003007542,694.9866,32.3638578
0.17,-0.003007542,792.3594,46.2858834
0.18,-0.003007542,708.897,54.2413266
0.19,0.001437108,760.5642,32.3638578
0.2,-0.001051896,697.9674,24.4084146
0.21,-0.0035409,753.609,10.486389
0.221,-0.00176304,697.9674,24.4084146
0.231,-0.0035409,746.6538,46.2858834
0.241,0.000192606,697.9674,18.4418322
0.251,-0.00176304,743.673,32.3638578
0.261,-0.001051896,691.0122,18.4418322
0.271,-0.002296398,746.6538,24.4084146
0.281,0.001970466,688.0314,4.5198066
0.291,-0.0035409,746.6538,32.3638578
0.301,0.001970466,694.9866,4.5198066
0.311,-0.004252044,757.5834,68.1633522
0.321,-0.003007542,694.9866,38.3304402
0.331,0.00268161,750.6282,10.486389
0.341,-0.003007542,694.9866,38.3304402
0.351,0.001970466,729.7626,4.5198066
0.361,0.001970466,715.8522,18.4418322
0.371,-0.004785402,718.833,18.4418322
0.381,-0.003007542,691.0122,38.3304402
0.391,0.001970466,753.609,18.4418322
0.401,-0.00176304,694.9866,24.4084146
0.411,0.001437108,750.6282,18.4418322
0.421,-0.0035409,701.9418,54.2413266
0.431,-0.0035409,746.6538,24.4084146
0.441,0.001437108,711.8778,18.4418322
0.451,-0.001051896,757.5834,46.2858834
0.461,-0.000518538,697.9674,24.4084146
0.471,-0.003007542,743.673,46.2858834
0.481,0.000192606,694.9866,18.4418322
0.491,-0.001051896,764.5386,32.3638578
0.501,-0.004252044,681.0762,4.5198066
0.511,-0.002296398,778.449,38.3304402
0.521,0.000725964,725.7882,18.4418322
0.531,-0.0035409,743.673,18.4418322
0.541,-0.003007542,697.9674,4.5198066
0.551,-0.003007542,736.7178,4.5198066
0.561,0.000725964,722.8074,24.4084146
0.571,-0.003007542,736.7178,18.4418322
0.581,0.003214968,708.897,4.5198066
0.591,-0.0035409,739.6986,32.3638578
0.601,-0.004252044,691.0122,18.4418322
0.611,-0.002296398,736.7178,24.4084146
0.621,-0.00176304,691.0122,32.3638578
0.631,0.001437108,757.5834,10.486389
0.641,-0.0035409,684.057,10.486389
0.651,-0.003007542,739.6986,10.486389
0.661,-0.0035409,673.1274,-3.4356366
0.671,-0.002296398,764.5386,46.2858834
0.681,0.001970466,718.833,18.4418322
0.691,-0.002296398,732.7434,24.4084146
0.701,-0.003007542,697.9674,46.2858834
0.711,-0.003007542,774.4746,46.2858834
0.721,-0.004785402,677.1018,18.4418322
0.731,-0.003007542,743.673,38.3304402
0.741,0.001970466,711.8778,18.4418322
0.751,-0.003007542,767.5194,46.2858834
0.761,0.001970466,691.0122,10.486389
0.771,-0.0035409,743.673,54.2413266
0.781,0.00268161,704.9226,10.486389
0.791,-0.0035409,760.5642,54.2413266
0.801,0.001970466,701.9418,10.486389
0.811,-0.003007542,736.7178,46.2858834
0.821,-0.004785402,708.897,38.3304402
0.831,0.001437108,760.5642,24.4084146
0.842,-0.004252044,673.1274,4.5198066
0.851,0.001970466,753.609,10.486389
0.862,-0.0035409,697.9674,18.4418322
0.872,-0.002296398,743.673,32.3638578
0.882,-0.0035409,701.9418,38.3304402
0.892,0.003214968,743.673,4.5198066
