Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
0,-0.000518538,885.7578,22.4195538,50
50,-0.00087411,893.7066,22.4195538,50
100,-0.000518538,886.7514,20.430693,50
150,-0.000518538,892.713,20.430693,50
200,-0.000696324,887.745,24.4084146,50
250,-0.000518538,892.713,22.4195538,50
300,-0.000518538,887.745,20.430693,50
350,-0.000162966,892.713,22.4195538,50
400,-0.000696324,889.7322,22.4195538,50
450,-0.000518538,892.713,20.430693,50
500,-0.00087411,888.7386,24.4084146,50
550,-0.000696324,894.7002,18.4418322,50
600,-0.000696324,886.7514,24.4084146,50
650,-0.000518538,894.7002,24.4084146,50
700,-0.000696324,890.7258,24.4084146,50
750,-0.000696324,896.6874,24.4084146,50
800,-0.00087411,890.7258,20.430693,50
850,-0.00087411,891.7194,20.430693,50
900,-0.000696324,887.745,18.4418322,50
950,-0.000518538,893.7066,20.430693,50
1000,-0.000518538,891.7194,20.430693,50
1050,-0.000518538,895.6938,22.4195538,50
1100,-0.00087411,889.7322,20.430693,50
1150,-0.000696324,898.6746,22.4195538,50
1200,-0.000518538,889.7322,20.430693,50
1250,-0.000696324,898.6746,22.4195538,50
1300,-0.000696324,890.7258,20.430693,50
1350,-0.000518538,893.7066,20.430693,50
1400,-0.00087411,891.7194,22.4195538,50
1450,-0.000518538,897.681,18.4418322,50
1500,-0.000518538,891.7194,22.4195538,50
1550,-0.000696324,898.6746,22.4195538,50
1600,-0.000696324,891.7194,20.430693,50
1650,-0.000696324,897.681,20.430693,50
1700,-0.000518538,892.713,20.430693,50
1750,-0.000518538,897.681,20.430693,50
1800,-0.00087411,891.7194,22.4195538,50
1850,-0.000696324,898.6746,22.4195538,50
1900,-0.001051896,896.6874,22.4195538,50
1950,-0.000696324,898.6746,22.4195538,50
2000,-0.000696324,896.6874,20.430693,50
2050,-0.000696324,900.6618,22.4195538,50
2100,-0.000518538,893.7066,22.4195538,50
2150,-0.00087411,898.6746,22.4195538,50
2200,-0.000696324,898.6746,22.4195538,50
2250,-0.000696324,901.6554,20.430693,50
2300,-0.000518538,893.7066,22.4195538,50
2350,-0.000696324,903.6426,22.4195538,51
2401,-0.000518538,895.6938,22.4195538,50
2451,-0.000696324,902.649,22.4195538,50
2501,-0.000696324,898.6746,20.430693,50
2551,-0.000340752,901.6554,24.4084146,50
2601,-0.000696324,897.681,22.4195538,50
2651,-0.000696324,901.6554,20.430693,50
2701,-0.000518538,897.681,22.4195538,50
2751,-0.000518538,902.649,22.4195538,50
2801,-0.00087411,898.6746,22.4195538,50
2851,-0.000518538,906.6234,22.4195538,50
2901,-0.000518538,896.6874,22.4195538,50
2951,-0.000340752,903.6426,20.430693,50
3001,-0.000696324,899.6682,20.430693,50
3051,-0.000340752,905.6298,22.4195538,50
3101,-0.000696324,897.681,20.430693,50
3151,-0.000696324,905.6298,22.4195538,50
3201,-0.00087411,900.6618,20.430693,50
