Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
0.0144361,1.48E-05,895.6938,22.4195538,0.0441967,22.62612365
0.0586328,-0.000162966,911.5914,20.430693,0.0310835,32.17140932
0.0897163,-0.000340752,921.5274,20.430693,0.0326019,30.67305889
0.1223182,-0.000162966,882.777,18.4418322,0.0301826,33.13167193
0.1525008,-0.000518538,906.6234,22.4195538,0.0298004,33.55659653
0.1823012,-0.000518538,922.521,20.430693,0.0272341,36.71867257
0.2095353,-0.000162966,889.7322,18.4418322,0.0444077,22.51861726
0.253943,-0.000340752,900.6618,18.4418322,0.0301958,33.11718848
0.2841388,-0.000162966,924.5082,22.4195538,0.0454179,22.0177507
0.3295567,-0.000340752,892.713,20.430693,0.0210837,47.43000529
0.3506404,-0.000162966,895.6938,16.4529714,0.0388829,25.7182463
0.3895233,-0.000340752,924.5082,20.430693,0.0298664,33.48244181
0.4193897,-0.000340752,903.6426,22.4195538,0.0300116,33.32044943
0.4494013,-0.000340752,888.7386,22.4195538,0.0298216,33.53274136
0.4792229,-0.000340752,919.5402,20.430693,0.0448393,22.30186467
0.5240622,-0.000518538,908.6106,20.430693,0.0453146,22.06794279
0.5693768,-0.000340752,885.7578,20.430693,0.0259222,38.57697263
0.595299,-0.000518538,915.5658,22.4195538,0.026768,37.35803939
0.622067,-0.000162966,914.5722,20.430693,0.0374086,26.73182104
0.6594756,-0.000340752,883.7706,20.430693,0.0296201,33.76085835
0.6890957,-0.000162966,911.5914,20.430693,0.0303928,32.90252956
0.7194885,-0.000162966,922.521,18.4418322,0.0296822,33.69022512
0.7491707,-0.000518538,888.7386,20.430693,0.045211,22.11851097
0.7943817,-0.000162966,904.6362,20.430693,0.0299637,33.37371555
0.8243454,-0.000340752,921.5274,20.430693,0.0299976,33.3360002
0.854343,-0.000518538,887.745,18.4418322,0.029987,33.34778405
0.88433,-0.000162966,904.6362,18.4418322,0.0448273,22.30783473
0.9291573,-0.000162966,925.5018,18.4418322,0.0303473,32.95186063
0.9595046,-0.000162966,891.7194,20.430693,0.0296814,33.69113318
0.989186,-0.000340752,894.7002,20.430693,0.0302681,33.03808296
1.0194541,-0.000162966,923.5146,20.430693,0.0447297,22.35651032
1.0641838,-0.000162966,900.6618,18.4418322,0.029981,33.35445782
1.0941648,-0.000340752,888.7386,18.4418322,0.0300317,33.29814831
1.1241965,-0.000340752,918.5466,18.4418322,0.0300087,33.32366949
1.1542052,1.48E-05,908.6106,18.4418322,0.0452344,22.10706895
1.1994396,-0.000696324,886.7514,18.4418322,0.0296077,33.77499771
1.2290473,1.48E-05,916.5594,20.430693,0.0302165,33.09450136
1.2592638,-0.000518538,916.5594,20.430693,0.0308367,32.42889155
1.2901005,-0.000162966,885.7578,18.4418322,0.0292537,34.1837101
1.3193542,-0.000696324,911.5914,20.430693,0.0448709,22.28615874
1.3642251,-0.000162966,921.5274,18.4418322,0.0298552,33.49500251
1.3940803,-0.000518538,888.7386,18.4418322,0.0306666,32.60876656
1.4247469,-0.000340752,906.6234,22.4195538,0.0293946,34.01985397
1.4541415,-0.000162966,926.4954,22.4195538,0.0453686,22.0416764
1.4995101,-0.000340752,891.7194,18.4418322,0.0298299,33.52341106
1.52934,-0.000340752,903.6426,20.430693,0.0451991,22.12433434
1.5745391,-0.000162966,922.521,22.4195538,0.044734,22.35436134
1.6192731,-0.000340752,891.7194,18.4418322,0.0450277,22.20855162
1.6643008,1.48E-05,897.681,20.430693,0.0173608,57.6010322
1.6816616,-0.000162966,922.521,20.430693,0.0277403,36.04863683
1.7094019,-0.000162966,895.6938,22.4195538,0.0450567,22.19425745
1.7544586,-0.000340752,892.713,20.430693,0.0450028,22.22083962
1.7994614,-0.000518538,921.5274,18.4418322,0.0447869,22.32795748
1.8442483,-0.000340752,900.6618,20.430693,0.0448773,22.28298049
1.8891256,-0.000162966,887.745,18.4418322,0.0181839,54.99370327
1.9073095,1.48E-05,919.5402,20.430693,0.0018322,545.7919323
1.9091417,-0.000162966,904.6362,18.4418322,0.0252297,39.63582608
1.9343714,-0.000162966,884.7642,20.430693,0.0450009,22.22177779
1.9793723,-0.000340752,919.5402,20.430693,0.0453259,22.06244111
2.0246982,-0.000340752,911.5914,20.430693,0.0173797,57.53839258
2.0420779,1.48E-05,884.7642,20.430693,0.027054,36.96311081
2.0691319,1.48E-05,916.5594,18.4418322,0.0450098,22.21738377
2.1141417,-0.000340752,917.553,20.430693,0.0453341,22.05845047
2.1594758,-0.000162966,881.7834,20.430693,0.0019808,504.8465249
2.1614566,-0.000162966,912.585,18.4418322,0.0427534,23.38995262
2.20421,-0.000340752,920.5338,18.4418322,0.0448658,22.28869205
2.2490758,-0.000340752,884.7642,18.4418322,0.045394,22.02934311
2.2944698,1.48E-05,910.5978,20.430693,0.0190713,52.43481029
2.3135411,1.48E-05,920.5338,16.4529714,0.0309104,32.35157102
2.3444515,-0.000340752,886.7514,22.4195538,0.0398155,25.11584683
2.384267,-0.000340752,905.6298,18.4418322,0.0450916,22.17707955
2.4293586,-0.000162966,922.521,18.4418322,0.0194055,51.5317823
2.4487641,-0.000340752,887.745,20.430693,0.0254051,39.36217528
2.4741692,-0.000518538,902.649,18.4418322,0.0450735,22.1859851
2.5192427,-0.000162966,926.4954,22.4195538,0.0454055,22.02376365
2.5646482,-0.000162966,891.7194,22.4195538,0.01663,60.13229115
2.5812782,-0.000518538,896.6874,20.430693,0.0277659,36.01540017
2.6090441,-0.000340752,924.5082,18.4418322,0.0451873,22.13011177
2.6542314,-0.000162966,895.6938,18.4418322,0.0451307,22.15786594
2.6993621,-0.000340752,893.7066,24.4084146,0.0182625,54.75701574
2.7176246,-0.000162966,920.5338,18.4418322,0.0263436,37.95988398
2.7439682,-0.000162966,896.6874,18.4418322,0.0457773,21.8448882
2.7897455,-0.000518538,892.713,24.4084146,0.0446691,22.38684011
2.8344146,-0.000162966,921.5274,20.430693,0.0176939,56.5166527
2.8521085,-0.000162966,907.617,20.430693,0.0271425,36.84258998
2.879251,-0.000340752,883.7706,20.430693,0.0449581,22.24293289
2.9242091,-0.000340752,915.5658,20.430693,0.0451053,22.1703436
2.9693144,-0.000340752,909.6042,18.4418322,0.0167964,59.53656731
2.9861108,-0.000162966,883.7706,18.4418322,0.028381,35.23484023
3.0144918,-0.000518538,916.5594,20.430693,0.0446622,22.39029872
3.059154,-0.000340752,914.5722,20.430693,0.0452765,22.08651287
3.1044305,-0.000340752,883.7706,22.4195538,0.0167285,59.77822293
3.121159,-0.000340752,915.5658,20.430693,0.0282775,35.36380513
3.1494365,0.000192606,919.5402,20.430693,0.0446661,22.38834373
3.1941026,-0.000162966,884.7642,18.4418322,0.0450918,22.17698119
3.2391944,-0.000162966,913.5786,20.430693,0.0455027,21.97671785
3.2846971,-0.000162966,920.5338,20.430693,0.0179515,55.70565128
3.3026486,-0.000340752,885.7578,22.4195538,0.0281985,35.46287924
3.3308471,1.48E-05,904.6362,18.4418322,0.04353,22.97266255
3.3743771,-0.000340752,921.5274,18.4418322,0.0176911,56.52559757
3.3920682,-0.000162966,885.7578,18.4418322,0.0272829,36.6529951
3.4193511,-0.000340752,900.6618,20.430693,0.044957,22.2434771
3.4643081,-0.000340752,925.5018,20.430693,0.0450642,22.19056368
3.5093723,-0.000162966,890.7258,18.4418322,0.0175588,56.95150011
3.5269311,1.48E-05,895.6938,18.4418322,0.0275284,36.32612138
3.5544595,-0.000162966,926.4954,20.430693,0.0448499,22.29659375
3.5993094,-0.000162966,893.7066,18.4418322,0.0463014,21.59761908
3.6456108,-0.000162966,893.7066,20.430693,0.0320497,31.20154013
3.6776605,1.48E-05,922.521,20.430693,0.0229875,43.50190319
3.700648,-0.000518538,900.6618,18.4418322,0.0335944,29.76686592
3.7342424,-0.000518538,890.7258,20.430693,0.045217,22.115576
3.7794594,-0.000162966,923.5146,20.430693,0.0180502,55.40104814
3.7975096,-0.000162966,904.6362,20.430693,0.0265982,37.59652913
3.8241078,1.48E-05,883.7706,18.4418322,0.0451857,22.13089539
3.8692935,-0.000162966,917.553,18.4418322,0.0172072,58.11520759
3.8865007,-0.000518538,905.6298,20.430693,0.0293224,34.10362038
3.9158231,1.48E-05,882.777,16.4529714,0.0435134,22.98142643
3.9593365,-0.000518538,915.5658,18.4418322,0.0454265,22.01358237
4.004763,-0.000340752,914.5722,18.4418322,0.0023245,430.2000421
4.0070875,-0.000340752,880.7898,18.4418322,0.0434587,23.01035235
4.0505462,-0.000162966,913.5786,22.4195538,0.0437577,22.85312073
4.0943039,-0.000162966,919.5402,18.4418322,0.0451463,22.15020941
4.1394502,-0.000162966,883.7706,18.4418322,0.0197801,50.55586177
4.1592303,-0.000340752,910.5978,18.4418322,0.0285261,35.05561576
4.1877564,-0.000162966,924.5082,18.4418322,0.0419079,23.86184943
4.2296643,-0.000340752,886.7514,18.4418322,0.0447231,22.35980957
4.2743874,-0.000162966,905.6298,22.4195538,0.0197057,50.74673828
4.2940931,1.48E-05,923.5146,16.4529714,0.0285607,35.01314742
4.3226538,-0.000340752,887.745,22.4195538,0.0415391,24.07370405
4.3641929,-0.000162966,900.6618,18.4418322,0.045322,22.06433962
4.4095149,-0.000162966,923.5146,22.4195538,0.0020277,493.1696116
4.4115426,-0.000162966,890.7258,18.4418322,0.0427707,23.38049178
4.4543133,-0.000518538,898.6746,18.4418322,0.0450695,22.18795414
4.4993828,1.48E-05,922.521,22.4195538,0.0448697,22.28675477
4.5442525,-0.000162966,894.7002,18.4418322,0.0191015,52.35190957
4.563354,-0.000340752,892.713,18.4418322,0.0278356,35.92521804
4.5911896,1.48E-05,922.521,18.4418322,0.0430628,23.2218992
4.6342524,-0.000340752,896.6874,18.4418322,0.0450761,22.1847054
4.6793285,-0.000518538,891.7194,18.4418322,0.0174529,57.29706809
4.6967814,-0.000340752,920.5338,18.4418322,0.0274446,36.4370405
4.724226,-0.000340752,904.6362,16.4529714,0.0450476,22.19874086
4.7692736,-0.000162966,887.745,20.430693,0.0450891,22.17830919
4.8143627,1.48E-05,918.5466,20.430693,0.0185423,53.93074203
4.832905,-0.000162966,907.617,22.4195538,0.026264,38.07493149
4.859169,-0.000518538,883.7706,20.430693,0.0449911,22.22661817
4.9041601,1.48E-05,916.5594,20.430693,0.0451719,22.13765637
4.949332,-0.000340752,912.585,18.4418322,0.0201976,49.51083295
4.9695296,-0.000162966,884.7642,18.4418322,0.028146,35.52902722
4.9976756,1.48E-05,915.5658,16.4529714,0.0418493,23.8952623
5.0395249,-0.000518538,918.5466,20.430693,0.0448047,22.31908706
5.0843296,-0.000162966,883.7706,20.430693,0.0450206,22.21205403
5.1293502,-0.000162966,911.5914,18.4418322,0.0173716,57.5652215
5.1467218,-0.000162966,919.5402,22.4195538,0.027828,35.93502944
5.1745498,-0.000162966,882.777,20.430693,0.0448097,22.31659663
5.2193595,-0.000162966,907.617,20.430693,0.0181841,54.99309841
5.2375436,-0.000162966,923.5146,22.4195538,0.0268033,37.30883881
5.2643469,-0.000518538,884.7642,18.4418322,0.0447428,22.34996468
5.3090897,-0.000340752,902.649,22.4195538,0.0453188,22.06589758
5.3544085,-0.000518538,924.5082,18.4418322,0.0196508,50.8885135
5.3740593,-0.000162966,886.7514,20.430693,0.0256641,38.96493543
