Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,1.48E-05,298.5402,6.5086674,1.48E-05
0.01,-0.000340752,297.5466,8.4975282,-0.000340752
0.02,-0.000340752,296.553,6.5086674,-0.000340752
0.03,-0.000162966,299.5338,8.4975282,-0.000162966
0.04,-0.000162966,299.5338,8.4975282,-0.000162966
0.05,-0.000162966,298.5402,8.4975282,-0.000162966
0.06,-0.000162966,296.553,4.5198066,-0.000162966
0.07,-0.000162966,299.5338,8.4975282,-0.000162966
0.08,-0.000162966,296.553,10.486389,-0.000162966
0.09,1.48E-05,300.5274,8.4975282,1.48E-05
0.1,0.000192606,298.5402,6.5086674,0.000192606
0.11,1.48E-05,298.5402,8.4975282,1.48E-05
0.12,0.000192606,299.5338,6.5086674,0.000192606
0.13,1.48E-05,299.5338,10.486389,1.48E-05
0.14,-0.000162966,299.5338,10.486389,-0.000162966
0.15,-0.000162966,297.5466,6.5086674,-0.000162966
0.16,1.48E-05,300.5274,8.4975282,1.48E-05
0.17,1.48E-05,298.5402,8.4975282,1.48E-05
0.18,-0.000162966,297.5466,10.486389,-0.000162966
0.19,1.48E-05,298.5402,8.4975282,1.48E-05
0.2,-0.000162966,298.5402,8.4975282,-0.000162966
0.21,1.48E-05,300.5274,8.4975282,1.48E-05
0.22,1.48E-05,299.5338,6.5086674,1.48E-05
0.23,1.48E-05,298.5402,8.4975282,1.48E-05
0.24,1.48E-05,295.5594,4.5198066,1.48E-05
0.25,1.48E-05,297.5466,8.4975282,1.48E-05
0.26,-0.000162966,297.5466,8.4975282,-0.000162966
0.27,-0.000162966,300.5274,10.486389,-0.000162966
0.28,-0.000162966,297.5466,8.4975282,-0.000162966
0.29,1.48E-05,297.5466,6.5086674,1.48E-05
0.3,1.48E-05,298.5402,8.4975282,1.48E-05
0.31,-0.000340752,297.5466,8.4975282,-0.000340752
0.32,-0.000162966,297.5466,6.5086674,-0.000162966
0.331,0.000192606,296.553,6.5086674,0.000192606
0.34,1.48E-05,298.5402,8.4975282,1.48E-05
0.35,-0.000162966,299.5338,8.4975282,-0.000162966
0.36,1.48E-05,299.5338,8.4975282,1.48E-05
0.37,1.48E-05,296.553,6.5086674,1.48E-05
0.38,1.48E-05,298.5402,8.4975282,1.48E-05
0.39,1.48E-05,300.5274,8.4975282,1.48E-05
0.4,1.48E-05,299.5338,8.4975282,1.48E-05
0.41,1.48E-05,299.5338,8.4975282,1.48E-05
0.421,-0.000162966,297.5466,6.5086674,-0.000162966
0.43,1.48E-05,298.5402,6.5086674,1.48E-05
0.44,0.000192606,299.5338,8.4975282,0.000192606
0.45,-0.000162966,299.5338,8.4975282,-0.000162966
0.461,0.000370392,296.553,4.5198066,0.000370392
0.471,-0.000518538,297.5466,10.486389,-0.000518538
0.48,-0.000162966,298.5402,8.4975282,-0.000162966
0.491,0.000192606,298.5402,6.5086674,0.000192606
0.501,0.000192606,298.5402,6.5086674,0.000192606
0.511,0.000192606,296.553,6.5086674,0.000192606
0.521,-0.000162966,298.5402,8.4975282,-0.000162966
0.531,1.48E-05,298.5402,8.4975282,1.48E-05
0.541,-0.000162966,298.5402,10.486389,-0.000162966
0.551,-0.000340752,296.553,6.5086674,-0.000340752
0.561,1.48E-05,299.5338,8.4975282,1.48E-05
0.571,-0.000340752,300.5274,10.486389,-0.000340752
0.604,-0.000162966,299.5338,8.4975282,-0.000162966
0.649,-0.000162966,296.553,6.5086674,-0.000162966
0.659,-0.000162966,295.5594,6.5086674,-0.000162966
0.668,-0.000162966,298.5402,8.4975282,-0.000162966
0.678,1.48E-05,298.5402,6.5086674,1.48E-05
0.688,1.48E-05,298.5402,4.5198066,1.48E-05
0.697,-0.000340752,298.5402,10.486389,-0.000340752
0.707,-0.000162966,299.5338,8.4975282,-0.000162966
0.716,-0.000340752,299.5338,10.486389,-0.000340752
0.785,1.48E-05,295.5594,4.5198066,1.48E-05
0.794,-0.000162966,297.5466,6.5086674,-0.000162966
0.804,-0.000162966,296.553,8.4975282,-0.000162966
0.813,-0.000340752,299.5338,10.486389,-0.000340752
0.823,-0.000162966,296.553,4.5198066,-0.000162966
0.833,0.000192606,299.5338,8.4975282,0.000192606
0.842,-0.000340752,297.5466,8.4975282,-0.000340752
0.861,-0.000162966,298.5402,10.486389,-0.000162966
0.871,-0.000162966,297.5466,6.5086674,-0.000162966
0.881,-0.000340752,297.5466,10.486389,-0.000340752
0.891,-0.000340752,297.5466,10.486389,-0.000340752
0.901,-0.000340752,299.5338,10.486389,-0.000340752
0.911,1.48E-05,296.553,4.5198066,1.48E-05
0.921,-0.000162966,299.5338,10.486389,-0.000162966
0.931,-0.000162966,298.5402,8.4975282,-0.000162966
0.941,1.48E-05,298.5402,6.5086674,1.48E-05
