Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.04492060001939535,0.0001,0,0
0.10155110000050627,-0.0001,0,0
0.13214780000271276,-0.0,0,0
0.1623416000220459,0.0001,0,0
0.20773400002508424,0.0001,0,0
0.2520620000141207,-0.0,0,0
0.3119578000041656,0.0001,0,0
0.3571656000276562,-0.0,0,0
0.40220350000890903,-0.0001,0,0
0.4625753000145778,0.0001,0,0
0.5077128000266384,0.0001,0,0
0.5523594000260346,-0.0,0,0
0.6121696000045631,-0.0001,0,0
0.6574194000277203,0.0001,0,0
0.7022601000207942,-0.0002,0,0
0.7628219000180252,0.0001,0,0
0.8079661000228953,-0.0,0,0
0.8520508000219706,-0.0,0,0
0.9127346000168473,0.0001,0,0
0.9569743000029121,-0.0,0,0
1.0020203000167385,0.0002,0,0
1.0621682000055443,-0.0,0,0
1.1072674000170082,0.0001,0,0
1.1524648000195157,-0.0,0,0
1.2125371000147425,-0.0004,0,0
1.2568430000101216,-0.0002,0,0
1.3020394000050146,-0.0001,0,0
1.3648786000267137,-0.0001,0,0
1.422618800017517,-0.0,0,0
1.482148800016148,-0.0002,0,0
1.5271940000238828,-0.0002,0,0
1.57218460002332,-0.0,0,0
1.6175999000261072,-0.0,0,0
1.6619585000153165,-0.0,0,0
1.7071071000245865,-0.0001,0,0
1.7526061000244226,-0.0001,0,0
1.842510400019819,0.0001,0,0
1.8873191000020597,-0.0,0,0
1.9319197000004351,0.0001,0,0
1.9774544000101741,0.0002,0,0
2.022291600005701,-0.0,0,0
2.067706800007727,-0.0002,0,0
2.1121393000066746,0.0001,0,0
2.157473100000061,-0.0001,0,0
2.202511500014225,-0.0,0,0
2.295989300007932,-0.0001,0,0
2.3486451000208035,0.0001,0,0
2.3821374000108335,0.0002,0,0
2.4272408000251744,-0.0,0,0
2.4720564000017475,-0.0003,0,0
2.5170119000249542,-0.0,0,0
2.565014100022381,-0.0,0,0
2.61150009999983,0.0002,0,0
2.651998300018022,0.0001,0,0
2.742160000023432,-0.0,0,0
2.7871813000238035,0.0001,0,0
2.8324011000222526,-0.0,0,0
2.8769639000238385,-0.0001,0,0
2.921979500009911,0.0002,0,0
2.9674391000007745,-0.0,0,0
3.012397900020005,0.0003,0,0
3.057449500018265,0.0001,0,0
3.10204870000598,0.0001,0,0
3.192270900006406,-0.0,0,0
3.237189900013618,0.0001,0,0
3.282689100014977,-0.0001,0,0
3.32719530002214,0.0001,0,0
3.3720422000042163,-0.0002,0,0
3.4175252999993972,0.0001,0,0
