Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.04398300001048483,-0.0003,6,0
0.046286199998576194,-0.0003,6,0
0.09077519999118522,-0.0005,5,0
0.1332131999952253,-0.0003,6,0
0.1783024999895133,-0.0004,6,0
0.22344510001130402,-0.0004,6,0
0.26818010001443326,-0.0004,5,0
0.3283471000031568,-0.0004,6,0
0.37318019999656826,-0.0004,6,0
0.41855890001170337,-0.0005,6,0
0.4780923000071198,-0.0002,6,0
0.5233664000115823,-0.0002,6,0
0.5683227000117768,-0.0005,6,0
0.6284141000069212,-0.0004,6,0
0.6734427000046708,-0.0004,5,0
0.7189625000173692,-0.0002,6,0
0.7784812999889255,-0.0004,6,0
0.8233737999980804,-0.0004,6,0
0.8684893999889027,-0.0003,6,0
0.928058699995745,-0.0005,7,0
0.9736342999967746,-0.0003,6,0
1.0182892000011634,-0.0003,5,0
1.0787707999988925,-0.0003,5,0
1.123462899995502,-0.0003,7,0
1.1684911999909673,-0.0006,5,0
1.22835039999336,-0.0004,6,0
1.2734078000066802,-0.0003,6,0
1.318228199990699,-0.0003,6,0
1.3785103000118397,-0.0003,5,0
1.423479999997653,-0.0003,6,0
1.4836833000008482,-0.0003,6,0
1.5281089000054635,-0.0003,6,0
1.5734620000002906,-0.0003,6,0
1.6181917999929283,-0.0002,6,0
1.709343099995749,-0.0003,6,0
1.7534916000149678,-0.0003,5,0
1.7984342999989167,-0.0003,5,0
1.8431057000125293,-0.0004,6,0
1.8885812000080477,-0.0004,6,0
1.9336164999986067,-0.0005,6,0
1.9781979999970645,-0.0003,6,0
2.02311420001206,-0.0004,6,0
2.068006100016646,-0.0003,6,0
2.158597700006794,-0.0004,6,0
2.2034478000132367,-0.0002,5,0
2.248657199990703,-0.0003,6,0
2.293570300011197,-0.0005,6,0
2.3385020999994595,-0.0005,6,0
2.385555100016063,-0.0006,6,0
2.4279927000170574,-0.0003,7,0
2.4739957000128925,-0.0005,5,0
2.5182939000078477,-0.0003,6,0
2.6081805000139866,-0.0004,6,0
2.6534811000165064,-0.0003,6,0
2.698405900009675,-0.0005,6,0
2.7434647000045516,-0.0004,7,0
2.7882069000042975,-0.0004,5,0
2.8334407999936957,-0.0004,6,0
2.8785437000042293,-0.0003,6,0
2.9232427999959327,-0.0003,5,0
2.96845780001604,-0.0003,5,0
3.0583800000022165,-0.0003,6,0
3.1034259000152815,-0.0005,6,0
3.1482432000047993,-0.0003,6,0
3.1934059000050183,-0.0005,5,0
3.238235099997837,-0.0003,5,0
3.286052000010386,-0.0005,6,0
3.332289400015725,-0.0003,6,0
3.3734201999905054,-0.0003,6,0
3.4181322999938857,-0.0004,6,0
3.508568799996283,-0.0004,5,0
3.553381800011266,-0.0003,5,0
3.5981510000128765,-0.0003,5,0
3.643441199994413,-0.0004,6,0
3.6882922000077087,-0.0004,5,0
3.7355083000147715,-0.0003,6,0
3.788972600013949,-0.0005,6,0
3.82319809999899,-0.0004,5,0
3.868284700001823,-0.0004,5,0
3.9581913000147324,-0.0005,5,0
4.003471400006674,-0.0003,5,0
4.0512110000126995,-0.0003,5,0
4.09873840000364,-0.0004,5,0
4.138314999989234,-0.0002,6,0
4.183458699990297,-0.0005,5,0
4.22833760001231,-0.0003,6,0
4.275734099996043,-0.0002,4,0
4.325639000016963,-0.0002,5,0
4.407956000010017,-0.0004,6,0
4.45345269999234,-0.0004,6,0
4.498654900002293,-0.0003,5,0
4.5430461000069045,-0.0005,7,0
4.588155500008725,-0.0004,6,0
4.635638300009305,-0.0002,6,0
4.6786349000176415,-0.0005,6,0
4.722926599992206,-0.0003,6,0
4.768592000007629,-0.0003,5,0
4.858122900011949,-0.0003,6,0
4.90316439999151,-0.0005,6,0
4.948483699990902,-0.0005,6,0
4.993459699995583,-0.0002,5,0
5.038106299994979,-0.0004,6,0
5.0831712000072,-0.0004,6,0
5.128403500013519,-0.0003,5,0
5.173398500017356,-0.0005,5,0
5.2184330000018235,-0.0001,6,0
5.3080687999899965,-0.0002,5,0
5.35317240000586,-0.0003,5,0
5.398537400003988,-0.0003,5,0
5.443910000001779,-0.0004,7,0
5.48826710000867,-0.0003,6,0
5.533405399997719,-0.0005,6,0
5.578521299990825,-0.0004,5,0
5.6258967999892775,-0.0005,5,0
5.6782012000039686,-0.0004,5,0
5.758155199990142,-0.0003,5,0
5.803078800003277,-0.0004,5,0
5.848118900001282,-0.0003,5,0
5.893785199994454,-0.0003,6,0
5.938278200017521,-0.0003,6,0
5.983367200009525,-0.0002,5,0
6.0281229999964125,-0.0002,6,0
6.072907399997348,-0.0002,5,0
6.118574899999658,-0.0003,6,0
6.210949800006347,-0.0002,5,0
6.268462400010321,-0.0003,6,0
6.298197500000242,-0.0003,6,0
6.343840799992904,-0.0003,5,0
6.388443700008793,-0.0002,6,0
6.433366400015075,-0.0003,6,0
6.478214000002481,-0.0003,6,0
6.523407300002873,-0.0004,5,0
6.568480799993267,-0.0003,5,0
6.657993300003,-0.0003,5,0
6.703033300000243,-0.0003,5,0
6.748140500014415,-0.0003,6,0
6.795135499996832,-0.0003,6,0
6.8382826000161,-0.0004,5,0
6.883349800016731,-0.0004,5,0
6.9282760999922175,-0.0004,6,0
6.973013100010576,-0.0004,5,0
7.018473800009815,-0.0004,5,0
7.111129199998686,-0.0002,5,0
7.1535060000023805,-0.0004,6,0
7.19860420000623,-0.0003,5,0
7.243122499989113,-0.0002,6,0
7.288365000014892,-0.0003,5,0
7.333222999994177,-0.0003,6,0
7.378368900011992,-0.0005,6,0
7.422954500012565,-0.0003,5,0
7.468442200013669,-0.0003,5,0
7.558221999992384,-0.0003,5,0
7.6034054000047036,-0.0003,5,0
7.648086200002581,-0.0004,6,0
7.693440300005022,-0.0004,6,0
7.738499600003706,-0.0004,6,0
7.783413199998904,-0.0003,5,0
7.828428200009512,-0.0004,6,0
7.873336099990411,-0.0003,6,0
7.918128999997862,-0.0004,6,0
8.008474300004309,-0.0003,5,0
8.053363200015156,-0.0003,5,0
8.09799780001049,-0.0003,6,0
8.14295310000307,-0.0004,6,0
8.188650900003267,-0.0006,5,0
8.23341350001283,-0.0004,6,0
8.278010500012897,-0.0004,5,0
8.322854300000472,-0.0004,5,0
8.368070800002897,-0.0004,5,0
8.458405000012135,-0.0002,6,0
8.50366740001482,-0.0002,5,0
8.547909300017636,-0.0003,5,0
8.593232799990801,-0.0002,6,0
8.638742800016189,-0.0004,5,0
8.683131800004048,-0.0004,5,0
8.728202500002226,-0.0003,5,0
8.773572100006277,-0.0002,5,0
8.818130400002701,-0.0003,6,0
8.908492799993837,-0.0003,5,0
8.953160700009903,-0.0003,6,0
8.998611499991966,-0.0003,5,0
9.043604200007394,-0.0004,5,0
9.088416400016285,-0.0003,6,0
9.133394200005569,-0.0005,5,0
9.178470799990464,-0.0003,5,0
9.223878099990543,-0.0002,5,0
9.268317900015973,-0.0003,6,0
9.358615600009216,-0.0003,5,0
9.403392700012773,-0.0004,6,0
9.448549199994886,-0.0004,5,0
9.492969000013545,-0.0003,6,0
9.53854050001246,-0.0003,5,0
9.583354000002146,-0.0004,5,0
9.627951300004497,-0.0002,5,0
9.673352300014812,-0.0003,4,0
9.718491300009191,-0.0003,5,0
9.808418400003575,-0.0002,5,0
9.853241100005107,-0.0004,5,0
9.898059700004524,-0.0003,6,0
9.943559100007406,-0.0003,5,0
9.988438900007168,-0.0004,6,0
10.03336390000186,-0.0004,5,0
10.077960099995835,-0.0004,5,0
10.123306499997852,-0.0003,5,0
10.168488800001796,-0.0003,5,0
10.26114950000192,-0.0002,5,0
10.307781600015005,-0.0004,6,0
10.34831370000029,-0.0004,7,0
10.393432000011671,-0.0004,5,0
10.43832939999993,-0.0003,6,0
10.483161100011785,-0.0003,5,0
10.52826439999626,-0.0003,5,0
10.572995800001081,-0.0004,6,0
10.618091500014998,-0.0004,5,0
10.708467599994037,-0.0004,6,0
10.753482400003122,-0.0003,5,0
10.798230300017167,-0.0003,6,0
10.843416899995646,-0.0003,5,0
10.888570500013884,-0.0004,5,0
10.93334399999003,-0.0004,5,0
10.978254000016022,-0.0003,5,0
11.023038999992423,-0.0003,5,0
11.067975699988892,-0.0003,6,0
11.161652900016634,-0.0005,6,0
11.209152399998857,-0.0004,5,0
11.248522800015053,-0.0003,5,0
11.29323499999009,-0.0002,5,0
11.338223300001118,-0.0003,5,0
11.3830777000112,-0.0002,5,0
11.4281486000109,-0.0003,5,0
11.473221599997487,-0.0002,6,0
11.51840380000067,-0.0004,5,0
11.608210700011114,-0.0002,5,0
11.653433400002541,-0.0003,5,0
11.698230400012108,-0.0004,5,0
11.743605299998308,-0.0004,5,0
11.788388200016925,-0.0004,4,0
11.833394699991914,-0.0003,6,0
11.87839269998949,-0.0003,6,0
11.92349089999334,-0.0004,6,0
11.968131400004495,-0.0003,5,0
12.058167600014713,-0.0003,6,0
12.103650600009132,-0.0003,5,0
12.148661500017624,-0.0004,5,0
12.193611700000474,-0.0003,5,0
12.238809900009073,-0.0004,5,0
12.28349500001059,-0.0004,5,0
12.328388499998255,-0.0003,5,0
12.37309509998886,-0.0004,5,0
12.418085100012831,-0.0004,6,0
12.511134200001834,-0.0004,5,0
12.553110400011064,-0.0004,6,0
12.598083099990617,-0.0003,5,0
12.643103000009432,-0.0003,6,0
12.688620900007663,-0.0002,6,0
12.733339900005376,-0.0003,5,0
12.777942399989115,-0.0002,6,0
12.823036799993133,-0.0004,6,0
12.868431600014446,-0.0003,5,0
12.957973800017498,-0.0002,6,0
13.003042199998163,-0.0004,6,0
