Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
0.0262294,-0.009,302.5146,11.89,-0.009
0.0709165,-0.009,302.5146,11.89,-0.009
0.115903,-0.0091,302.5146,11.89,-0.0091
0.1606274,-0.009,301.521,11.89,-0.009
0.206148,-0.0089,302.5146,11.89,-0.0089
0.250784,-0.009,301.521,11.89,-0.009
0.342385,-0.009,301.521,11.89,-0.009
0.3867653,-0.009,301.521,11.89,-0.009
0.4307655,-0.0091,302.5146,11.89,-0.0091
0.47608,-0.0091,302.5146,11.89,-0.0091
0.5209436,-0.009,301.521,11.89,-0.009
0.5661881,-0.0092,302.5146,11.89,-0.0092
0.6111817,-0.009,302.5146,11.89,-0.009
0.6561608,-0.0091,301.521,11.89,-0.0091
0.7011242,-0.009,302.5146,11.89,-0.009
0.7919908,-0.009,302.5146,11.89,-0.009
0.8369929,-0.009,302.5146,11.89,-0.009
0.8814618,-0.009,303.5082,11.89,-0.009
0.9255845,-0.0091,302.5146,11.89,-0.0091
0.9710456,-0.0091,302.5146,11.89,-0.0091
1.0163256,-0.0091,301.521,11.89,-0.0091
1.0608546,-0.0091,302.5146,15.858,-0.0091
1.1066486,-0.0091,301.521,16.85,-0.0091
1.1972763,-0.0089,302.5146,22.802,-0.0089
1.2412756,-0.009,303.5082,22.802,-0.009
1.2871548,-0.009,302.5146,22.802,-0.009
1.3317737,-0.0089,301.521,30.738,-0.0089
1.3767443,-0.0089,302.5146,29.746,-0.0089
1.4216757,-0.009,301.521,30.738,-0.009
1.466007,-0.0089,301.521,38.674,-0.0089
1.5113671,-0.0089,302.5146,38.674,-0.0089
1.5573154,-0.0088,301.521,45.618,-0.0088
1.6007797,-0.0088,302.5146,45.618,-0.0088
1.6930778,-0.0088,302.5146,46.61,-0.0088
1.7366543,-0.0088,302.5146,52.562,-0.0088
1.7816247,-0.0088,302.5146,53.554,-0.0088
1.8269706,-0.0087,301.521,52.562,-0.0087
1.8713466,-0.0088,302.5146,60.498,-0.0088
1.9163913,-0.0087,302.5146,59.506,-0.0087
1.9614416,-0.0086,302.5146,61.49,-0.0086
2.0059522,-0.0086,302.5146,68.434,-0.0086
2.0514636,-0.0086,302.5146,69.426,-0.0086
2.141889,-0.0086,302.5146,77.362,-0.0086
2.186321,-0.0085,302.5146,75.378,-0.0085
2.2313669,-0.0084,302.5146,76.37,-0.0084
2.2761599,-0.0086,301.521,84.306,-0.0086
2.320867,-0.0084,302.5146,84.306,-0.0084
2.3664955,-0.0085,301.521,83.314,-0.0085
2.4113513,-0.0084,302.5146,84.306,-0.0084
2.4561879,-0.0085,302.5146,90.258,-0.0085
2.5015502,-0.0085,302.5146,91.25,-0.0085
2.591774,-0.0085,302.5146,99.186,-0.0085
2.6359908,-0.0084,302.5146,99.186,-0.0084
2.6817693,-0.0084,302.5146,99.186,-0.0084
2.7267285,-0.0085,302.5146,106.13,-0.0085
2.7717813,-0.0085,301.521,105.138,-0.0085
2.8172431,-0.0083,302.5146,106.13,-0.0083
2.9072185,-0.0083,302.5146,113.074,-0.0083
2.9233691,-0.0082,302.5146,113.074,-0.0082
2.9965675,-0.0083,302.5146,122.994,-0.0083
3.0413833,-0.0082,302.5146,121.01,-0.0082
3.0870524,-0.0083,302.5146,122.002,-0.0083
3.131667,-0.0082,302.5146,129.938,-0.0082
3.1768186,-0.0081,301.521,129.938,-0.0081
3.2212229,-0.0082,302.5146,129.938,-0.0082
3.2659478,-0.0082,303.5082,137.874,-0.0082
3.3111856,-0.0082,302.5146,136.882,-0.0082
3.356444,-0.0081,302.5146,142.834,-0.0081
3.4011896,-0.0081,301.521,144.818,-0.0081
3.4932623,-0.0081,302.5146,144.818,-0.0081
3.5360873,-0.0081,302.5146,152.754,-0.0081
3.5812336,-0.008,302.5146,152.754,-0.008
3.626558,-0.0081,303.5082,151.762,-0.0081
3.6715734,-0.0082,302.5146,158.706,-0.0082
3.7162935,-0.0081,302.5146,158.706,-0.0081
3.761567,-0.0079,302.5146,166.642,-0.0079
3.8058449,-0.0079,302.5146,166.642,-0.0079
3.8512858,-0.0079,302.5146,166.642,-0.0079
3.9416629,-0.008,302.5146,174.578,-0.008
3.9862817,-0.0078,302.5146,173.586,-0.0078
4.0311631,-0.0077,302.5146,174.578,-0.0077
4.075979,-0.0079,302.5146,182.514,-0.0079
4.1209441,-0.0079,302.5146,182.514,-0.0079
4.166548,-0.0079,302.5146,182.514,-0.0079
4.2111418,-0.008,303.5082,189.458,-0.008
4.2565392,-0.0078,303.5082,189.458,-0.0078
4.3458882,-0.008,302.5146,197.394,-0.008
4.3911589,-0.0077,303.5082,197.394,-0.0077
4.4363841,-0.0078,303.5082,197.394,-0.0078
4.4813801,-0.0078,302.5146,205.33,-0.0078
4.5266245,-0.0077,302.5146,204.338,-0.0077
4.5720479,-0.0075,302.5146,204.338,-0.0075
4.6164559,-0.0077,302.5146,213.266,-0.0077
4.6607931,-0.0075,302.5146,212.274,-0.0075
4.7062841,-0.0076,302.5146,219.218,-0.0076
4.7512902,-0.0075,302.5146,219.218,-0.0075
4.887331,-0.0075,302.5146,220.21,-0.0075
4.9310305,-0.0075,302.5146,227.154,-0.0075
4.9448919,-0.0073,302.5146,227.154,-0.0073
4.9767104,-0.0075,302.5146,228.146,-0.0075
5.021056,-0.0075,301.521,235.09,-0.0075
5.0662788,-0.0072,302.5146,235.09,-0.0072
5.1121873,-0.0072,302.5146,243.026,-0.0072
5.1565731,-0.0071,301.521,243.026,-0.0071
5.2017443,-0.0073,303.5082,242.034,-0.0073
5.2924742,-0.0071,302.5146,249.97,-0.0071
5.3365879,-0.007,301.521,249.97,-0.007
5.3815749,-0.0071,302.5146,250.962,-0.0071
5.4269647,-0.007,302.5146,257.906,-0.007
5.4717635,-0.007,302.5146,257.906,-0.007
5.5168247,-0.007,303.5082,257.906,-0.007
5.5612635,-0.0068,301.521,265.842,-0.0068
5.6061166,-0.0067,301.521,265.842,-0.0067
5.6969929,-0.0067,302.5146,272.786,-0.0067
5.7413404,-0.0065,302.5146,272.786,-0.0065
5.7871595,-0.0064,301.521,272.786,-0.0064
5.8315225,-0.0064,303.5082,279.73,-0.0064
5.876539,-0.0062,302.5146,279.73,-0.0062
5.9216906,-0.0062,301.521,279.73,-0.0062
5.966584,-0.0061,302.5146,288.658,-0.0061
6.0117037,-0.0059,302.5146,287.666,-0.0059
6.0569149,-0.0059,302.5146,295.602,-0.0059
6.1015277,-0.0058,301.521,295.602,-0.0058
6.1930932,-0.0056,302.5146,296.594,-0.0056
6.2364545,-0.0054,302.5146,303.538,-0.0054
6.2815203,-0.0052,302.5146,303.538,-0.0052
6.3263094,-0.005,302.5146,303.538,-0.005
6.3707786,-0.005,302.5146,310.482,-0.005
6.4160005,-0.0047,302.5146,310.482,-0.0047
6.4616212,-0.0045,302.5146,319.41,-0.0045
6.5059401,-0.0041,302.5146,318.418,-0.0041
6.5516446,-0.004,303.5082,317.426,-0.004
6.6419883,-0.0037,302.5146,326.354,-0.0037
6.6868348,-0.0034,302.5146,326.354,-0.0034
6.7322732,-0.0033,303.5082,326.354,-0.0033
6.7761993,-0.0029,302.5146,332.306,-0.0029
6.8209377,-0.0025,302.5146,334.29,-0.0025
6.8663794,-0.0023,302.5146,334.29,-0.0023
6.9108077,-0.0018,302.5146,341.234,-0.0018
6.9560286,-0.0015,301.521,341.234,-0.0015
7.0468777,-0.0011,302.5146,349.17,-0.0011
7.0914817,-0.0005,302.5146,349.17,-0.0005
7.1371051,-0.0003,301.521,349.17,-0.0003
7.1809292,0.0002,302.5146,357.106,0.0002
7.2261716,0.0008,302.5146,357.106,0.0008
7.2712389,0.0011,302.5146,357.106,0.0011
7.3202354,0.0016,302.5146,363.058,0.0016
7.3605947,0.0023,302.5146,364.05,0.0023
7.4061967,0.0025,302.5146,365.042,0.0025
7.497063,0.0032,302.5146,371.986,0.0032
7.5410822,0.0039,303.5082,372.978,0.0039
7.5865341,0.0042,302.5146,371.986,0.0042
7.6310304,0.0048,303.5082,379.922,0.0048
7.6759553,0.0056,302.5146,379.922,0.0056
7.7212243,0.0059,302.5146,379.922,0.0059
7.7665083,0.0067,301.521,386.866,0.0067
7.8114957,0.0074,302.5146,387.858,0.0074
7.8560995,0.0081,302.5146,393.81,0.0081
7.9462472,0.0091,302.5146,393.81,0.0091
7.9917155,0.0094,303.5082,393.81,0.0094
8.0360794,0.0104,302.5146,402.738,0.0104
8.0809519,0.0112,302.5146,402.738,0.0112
8.1263093,0.0117,303.5082,402.738,0.0117
8.171082,0.0125,303.5082,408.69,0.0125
8.2163668,0.0133,302.5146,409.682,0.0133
8.262198,0.0144,302.5146,416.626,0.0144
8.3064033,0.0154,302.5146,418.61,0.0154
8.3981884,0.0159,302.5146,415.634,0.0159
8.4409761,0.0169,302.5146,425.554,0.0169
8.4862855,0.0179,301.521,423.57,0.0179
8.531193,0.0184,302.5146,423.57,0.0184
8.5757905,0.0194,302.5146,432.498,0.0194
8.6209546,0.0205,302.5146,432.498,0.0205
8.6665549,0.0211,301.521,433.49,0.0211
8.7109027,0.022,302.5146,438.45,0.022
8.7561207,0.0232,303.5082,441.426,0.0232
8.8469857,0.0244,302.5146,447.378,0.0244
8.8909799,0.0256,302.5146,447.378,0.0256
8.9370834,0.0261,302.5146,448.37,0.0261
8.9811762,0.0271,302.5146,456.306,0.0271
9.0263099,0.0283,302.5146,455.314,0.0283
9.0712512,0.0288,302.5146,456.306,0.0288
9.1158146,0.03,302.5146,463.25,0.03
9.161048,0.0311,303.5082,465.234,0.0311
9.2518521,0.0324,302.5146,470.194,0.0324
9.296731,0.0337,303.5082,470.194,0.0337
9.3415524,0.0341,302.5146,470.194,0.0341
9.386785,0.0353,302.5146,477.138,0.0353
9.4309558,0.0367,302.5146,478.13,0.0367
9.4769159,0.0371,303.5082,478.13,0.0371
9.5208849,0.0393,304.5018,487.058,0.0393
9.5662627,0.042,304.5018,486.066,0.042
9.6112555,0.0433,304.5018,494.002,0.0433
9.6557182,0.0443,303.5082,494.002,0.0443
9.7479651,0.0447,303.5082,493.01,0.0447
9.7908838,0.0458,304.5018,500.946,0.0458
9.8399954,0.0469,303.5082,500.946,0.0469
9.9270361,0.0472,303.5082,501.938,0.0472
9.9711129,0.0482,304.5018,507.89,0.0482
9.9843283,0.0493,304.5018,509.874,0.0493
10.0164465,0.0495,303.5082,509.874,0.0495
10.0610496,0.0504,304.5018,517.81,0.0504
10.1059446,0.0515,304.5018,515.826,0.0515
10.1966897,0.0526,304.5018,524.754,0.0526
10.2409845,0.0535,302.5146,524.754,0.0535
10.2864526,0.0537,304.5018,524.754,0.0537
10.3312323,0.0546,303.5082,531.698,0.0546
10.376369,0.0556,304.5018,531.698,0.0556
10.4211344,0.0557,303.5082,530.706,0.0557
10.4659995,0.0565,304.5018,540.626,0.0565
10.5115958,0.0574,305.4954,537.65,0.0574
10.5562545,0.0581,304.5018,546.578,0.0581
10.6473888,0.0589,303.5082,545.586,0.0589
10.6913832,0.0589,304.5018,546.578,0.0589
10.7357146,0.0595,304.5018,554.514,0.0595
10.7814098,0.0604,303.5082,554.514,0.0604
10.8261963,0.0603,304.5018,553.522,0.0603
10.8707221,0.0609,304.5018,562.45,0.0609
10.9163304,0.0615,303.5082,561.458,0.0615
10.9610717,0.062,303.5082,569.394,0.062
11.0062422,0.0626,304.5018,569.394,0.0626
11.0980698,0.0624,304.5018,570.386,0.0624
11.141051,0.0628,304.5018,577.33,0.0628
11.1860316,0.0634,303.5082,577.33,0.0634
11.2315767,0.063,302.5146,578.322,0.063
11.2765217,0.0633,304.5018,585.266,0.0633
11.321223,0.0637,303.5082,585.266,0.0637
11.3665314,0.0633,303.5082,585.266,0.0633
11.4110191,0.0635,303.5082,593.202,0.0635
11.4559152,0.0639,304.5018,592.21,0.0639
11.5470408,0.064,302.5146,601.138,0.064
11.5909634,0.0642,305.4954,601.138,0.0642
11.6368982,0.0636,303.5082,599.154,0.0636
11.6815924,0.0636,304.5018,607.09,0.0636
11.7264971,0.0637,304.5018,606.098,0.0637
11.771968,0.063,304.5018,608.082,0.063
11.816072,0.063,303.5082,615.026,0.063
11.8615046,0.0631,304.5018,616.018,0.0631
11.9064689,0.0628,304.5018,622.962,0.0628
11.9975306,0.0627,303.5082,621.97,0.0627
12.0412,0.0619,304.5018,622.962,0.0619
12.0864248,0.0615,303.5082,628.914,0.0615
12.1308544,0.0613,303.5082,629.906,0.0613
12.176402,0.0605,303.5082,630.898,0.0605
12.2254509,0.06,302.5146,637.842,0.06
12.2661176,0.0597,304.5018,637.842,0.0597
12.3112627,0.059,305.4954,645.778,0.059
12.3561426,0.0587,304.5018,645.778,0.0587
12.4481948,0.0576,304.5018,644.786,0.0576
12.4915602,0.0569,304.5018,652.722,0.0569
12.5368849,0.0565,304.5018,654.706,0.0565
12.5815483,0.0554,303.5082,653.714,0.0554
12.6258392,0.0545,304.5018,660.658,0.0545
12.6710463,0.0539,304.5018,660.658,0.0539
12.7161837,0.0527,304.5018,660.658,0.0527
12.7610174,0.052,304.5018,667.602,0.052
12.8061176,0.0513,304.5018,668.594,0.0513
12.8969726,0.0503,303.5082,676.53,0.0503
12.9418151,0.0497,304.5018,675.538,0.0497
12.9869553,0.0485,304.5018,676.53,0.0485
13.031393,0.0475,304.5018,684.466,0.0475
13.0763938,0.0469,304.5018,682.482,0.0469
13.1215841,0.0459,304.5018,683.474,0.0459
13.1666146,0.0448,303.5082,690.418,0.0448
13.2113449,0.0444,302.5146,691.41,0.0444
13.2566073,0.0433,304.5018,699.346,0.0433
13.3470304,0.0429,304.5018,698.354,0.0429
13.3932084,0.0422,304.5018,697.362,0.0422
13.4368862,0.0414,303.5082,706.29,0.0414
13.4811937,0.0412,304.5018,707.282,0.0412
13.5261352,0.0408,304.5018,709.266,0.0408
13.5713785,0.04,304.5018,714.226,0.04
13.615987,0.0399,304.5018,713.234,0.0399
13.6622452,0.0394,304.5018,722.162,0.0394
13.7058307,0.0393,304.5018,722.162,0.0393
13.7985324,0.0361,302.5146,723.154,0.0361
13.841155,0.0355,303.5082,728.114,0.0355
13.886189,0.0355,302.5146,729.106,0.0355
13.9311558,0.0351,303.5082,729.106,0.0351
13.9764075,0.0344,304.5018,736.05,0.0344
14.0218315,0.0343,302.5146,736.05,0.0343
14.0662695,0.0338,302.5146,738.034,0.0338
14.1109367,0.0329,302.5146,744.978,0.0329
14.1563911,0.0327,302.5146,742.994,0.0327
14.2470506,0.0319,302.5146,749.938,0.0319
14.2916082,0.0316,301.521,753.906,0.0316
14.3379715,0.0309,302.5146,752.914,0.0309
14.3813931,0.03,303.5082,758.866,0.03
14.4264671,0.0297,302.5146,759.858,0.0297
14.4710068,0.029,302.5146,759.858,0.029
14.5161447,0.0279,302.5146,766.802,0.0279
14.5612,0.0277,303.5082,767.794,0.0277
14.6517771,0.0266,302.5146,773.746,0.0266
14.6957688,0.0262,302.5146,775.73,0.0262
14.7419033,0.0254,303.5082,774.738,0.0254
14.7867623,0.0243,302.5146,781.682,0.0243
14.8314604,0.0239,302.5146,783.666,0.0239
