Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
0.0063111,-0.0105,7.4154,11.89,-0.0105
0.051314,-0.0104,8.409,11.89,-0.0104
0.1410027,-0.0105,7.4154,11.89,-0.0105
0.1860225,-0.0105,7.4154,11.89,-0.0105
0.2315014,-0.0105,8.409,11.89,-0.0105
0.2762823,-0.0104,7.4154,11.89,-0.0104
0.3212109,-0.0104,7.4154,11.89,-0.0104
0.3661731,-0.0107,8.409,11.89,-0.0107
0.411446,-0.0105,7.4154,11.89,-0.0105
0.4570179,-0.0105,7.4154,11.89,-0.0105
0.5024369,-0.0105,7.4154,11.89,-0.0105
0.5914145,-0.0104,8.409,11.89,-0.0104
0.6364178,-0.0105,7.4154,11.89,-0.0105
0.6819218,-0.0104,7.4154,11.89,-0.0104
0.7268655,-0.0105,7.4154,11.89,-0.0105
0.7713752,-0.0105,8.409,11.89,-0.0105
0.8170504,-0.0106,8.409,11.89,-0.0106
0.8660284,-0.0105,8.409,11.89,-0.0105
0.9072107,-0.0107,6.4218,11.89,-0.0107
0.9512898,-0.0106,8.409,11.89,-0.0106
1.042014,-0.0105,7.4154,11.89,-0.0105
1.087116,-0.0105,7.4154,11.89,-0.0105
1.1319555,-0.0104,7.4154,11.89,-0.0104
1.1770483,-0.0109,302.5146,11.89,-0.0109
1.2213656,-0.0099,302.5146,11.89,-0.0099
1.2669378,-0.0083,301.521,11.89,-0.0083
1.3115861,-0.0083,302.5146,15.858,-0.0083
1.3572374,-0.0081,301.521,15.858,-0.0081
1.4476227,-0.0081,301.521,23.794,-0.0081
1.4920584,-0.008,302.5146,22.802,-0.008
1.537406,-0.0081,302.5146,23.794,-0.0081
1.5819372,-0.0081,301.521,30.738,-0.0081
1.6269021,-0.008,301.521,30.738,-0.008
1.6726905,-0.008,302.5146,29.746,-0.008
1.7166274,-0.0081,301.521,38.674,-0.0081
1.7622065,-0.0079,303.5082,37.682,-0.0079
1.8079388,-0.0078,301.521,45.618,-0.0078
1.851707,-0.0078,302.5146,45.618,-0.0078
1.943447,-0.0077,302.5146,45.618,-0.0077
1.9865428,-0.008,302.5146,52.562,-0.008
2.031568,-0.0078,301.521,52.562,-0.0078
2.076854,-0.0077,302.5146,53.554,-0.0077
2.1213081,-0.0077,303.5082,61.49,-0.0077
2.1666337,-0.0076,302.5146,59.506,-0.0076
2.2120947,-0.0076,302.5146,69.426,-0.0076
2.2563007,-0.0075,302.5146,69.426,-0.0075
2.30148,-0.0075,302.5146,69.426,-0.0075
2.3925197,-0.0076,301.521,76.37,-0.0076
2.4368628,-0.0074,302.5146,76.37,-0.0074
2.4820044,-0.0074,301.521,75.378,-0.0074
2.5265499,-0.0074,302.5146,83.314,-0.0074
2.5713627,-0.0074,303.5082,83.314,-0.0074
2.6170674,-0.0074,301.521,83.314,-0.0074
2.6609815,-0.0074,302.5146,90.258,-0.0074
2.7064852,-0.0072,301.521,90.258,-0.0072
2.7976063,-0.0072,302.5146,99.186,-0.0072
2.8417055,-0.0071,302.5146,98.194,-0.0071
2.8887851,-0.007,302.5146,98.194,-0.007
2.9314104,-0.007,302.5146,106.13,-0.007
2.9762811,-0.007,302.5146,105.138,-0.007
3.0223245,-0.007,301.521,106.13,-0.007
3.0664781,-0.0071,302.5146,114.066,-0.0071
3.1119064,-0.0069,301.521,114.066,-0.0069
3.1569803,-0.0069,301.521,122.002,-0.0069
3.2015412,-0.0067,302.5146,122.002,-0.0067
