Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
0.0010362,-0.0108,416.7786,11.89,-0.0108
0.0449024,-0.0108,417.7722,11.89,-0.0108
0.1360978,-0.0108,416.7786,11.89,-0.0108
0.179798,-0.0108,418.7658,11.89,-0.0108
0.2245675,-0.0107,417.7722,11.89,-0.0107
0.2698414,-0.011,417.7722,11.89,-0.011
0.3144554,-0.0108,417.7722,11.89,-0.0108
0.3598698,-0.0109,418.7658,11.89,-0.0109
0.4047562,-0.0109,416.7786,11.89,-0.0109
0.4499041,-0.0108,418.7658,11.89,-0.0108
0.5400675,-0.0108,417.7722,11.89,-0.0108
0.5848021,-0.0108,417.7722,11.89,-0.0108
0.6299689,-0.0109,417.7722,11.89,-0.0109
0.6746244,-0.0109,417.7722,11.89,-0.0109
0.7209262,-0.0108,418.7658,11.89,-0.0108
0.7694298,-0.0109,419.7594,11.89,-0.0109
0.8099068,-0.011,416.7786,11.89,-0.011
0.855274,-0.0109,418.7658,11.89,-0.0109
0.8996387,-0.0109,417.7722,11.89,-0.0109
0.9906517,-0.0108,418.7658,11.89,-0.0108
1.0351007,-0.0108,417.7722,11.89,-0.0108
1.079843,-0.0109,418.7658,11.89,-0.0109
1.1251652,-0.0109,418.7658,11.89,-0.0109
1.1699047,-0.0109,419.7594,11.89,-0.0109
1.2150774,-0.0109,418.7658,11.89,-0.0109
1.2606223,-0.0109,420.753,11.89,-0.0109
1.3050245,-0.0109,417.7722,11.89,-0.0109
1.3501776,-0.0108,419.7594,11.89,-0.0108
1.4409223,-0.0109,418.7658,11.89,-0.0109
1.484745,-0.011,419.7594,11.89,-0.011
1.5303873,-0.0109,418.7658,11.89,-0.0109
1.5748679,-0.0109,419.7594,11.89,-0.0109
1.6201502,-0.0108,423.7338,11.89,-0.0108
1.6649152,-0.0112,410.817,11.89,-0.0112
1.7107368,-0.0108,424.7274,11.89,-0.0108
1.7557458,-0.0109,414.7914,15.858,-0.0109
1.7997676,-0.011,431.6826,22.802,-0.011
1.8915362,-0.0108,425.721,22.802,-0.0108
1.9352168,-0.0109,433.6698,29.746,-0.0109
1.9808715,-0.0108,427.7082,29.746,-0.0108
2.0255143,-0.0109,435.657,37.682,-0.0109
2.0700006,-0.0109,424.7274,37.682,-0.0109
2.1153867,-0.0109,436.6506,44.626,-0.0109
2.160426,-0.011,422.7402,45.618,-0.011
2.2050289,-0.0108,435.657,52.562,-0.0108
2.2498514,-0.011,424.7274,61.49,-0.011
2.3416117,-0.0109,424.7274,60.498,-0.0109
2.3852884,-0.011,420.753,68.434,-0.011
2.4304262,-0.0109,419.7594,68.434,-0.0109
2.4757212,-0.0109,413.7978,75.378,-0.0109
2.5208698,-0.011,417.7722,76.37,-0.011
2.5649267,-0.0108,403.8618,83.314,-0.0108
2.609961,-0.0109,405.849,83.314,-0.0109
2.655593,-0.011,388.9578,90.258,-0.011
2.7003106,-0.0109,392.9322,99.186,-0.0109
2.7911015,-0.0109,371.073,99.186,-0.0109
2.8359892,-0.0109,351.201,99.186,-0.0109
2.8800889,-0.0108,335.3034,106.13,-0.0108
2.925958,-0.0109,322.3866,106.13,-0.0109
2.9701388,-0.011,306.489,113.074,-0.011
3.0148412,-0.011,303.5082,114.066,-0.011
3.060589,-0.0109,301.521,121.01,-0.0109
3.1059989,-0.0109,301.521,129.938,-0.0109
3.1507832,-0.0109,301.521,128.946,-0.0109
3.241281,-0.0108,301.521,136.882,-0.0108
