Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.005496800000400981,-0.0088,3.441,11.89
0.050725300003250595,-0.0088,3.441,11.89
0.0954691000006278,-0.0088,3.441,11.89
0.14084660000298754,-0.0088,3.441,11.89
0.18548160000136704,-0.0088,3.441,11.89
0.27633780000178376,-0.0087,3.441,11.89
0.3203423000013572,-0.0088,3.441,11.89
0.3660115000020596,-0.0087,3.441,11.89
0.41085730000122567,-0.0088,3.441,11.89
0.4561126000007789,-0.0088,3.441,11.89
0.5006346000009216,-0.0088,3.441,11.89
0.5456948000028206,-0.0087,3.441,11.89
0.5909265000009327,-0.0088,3.441,11.89
0.6355537000017648,-0.0088,3.441,11.89
0.7266896000000997,-0.0087,3.441,11.89
0.770831800000451,-0.0087,3.441,11.89
0.8157444000025862,-0.0087,3.441,11.89
0.8608782000010251,-0.0088,3.441,11.89
0.9059888000010687,-0.0087,3.441,11.89
0.9506832000006398,-0.0088,3.441,11.89
0.9958793000005244,-0.0088,3.441,11.89
1.0409667000021727,-0.0087,3.441,11.89
1.0859575000031327,-0.0087,3.441,11.89
1.1768273000016052,-0.0088,3.441,11.89
1.2208717000030447,-0.0088,3.441,11.89
1.265886799999862,-0.0088,3.441,11.89
1.3109542000020156,-0.0088,3.441,11.89
1.3563958000013372,-0.0088,3.441,11.89
1.4013712000014493,-0.0012,302.5146,11.89
1.4457931000033568,-0.0015,302.5146,11.89
1.491339700001845,-0.001,302.5146,15.858
1.5815956000005826,-0.0005,301.52099999999996,22.802
1.6261388000020816,-0.0002,302.5146,23.794
1.672310700003436,-0.0001,301.52099999999996,22.802
1.7165554000021075,-0.0,302.5146,30.738
1.7660742000007303,0.0003,302.5146,29.746000000000002
1.8064273000018147,0.0005,303.5082,38.674
1.8505531000009796,0.0007,303.5082,38.674
1.897256500000367,0.0007,302.5146,38.674
1.9409836000013456,0.0007,302.5146,46.61
2.032082800000353,0.0013,303.5082,52.562
2.0758044000031077,0.0013,302.5146,52.562
2.1210656000002928,0.0014,301.52099999999996,60.498
2.1666159000014886,0.0015,301.52099999999996,60.498
2.2113110999998753,0.0017,301.52099999999996,67.44200000000001
2.2568558000020857,0.0017,303.5082,68.434
2.3014530000000377,0.0019,303.5082,75.378
2.3462053000002925,0.0018,302.5146,76.37
2.390764499999932,0.002,302.5146,83.31400000000001
2.481812699999864,0.0022,302.5146,91.25
2.5261943000004976,0.0022,302.5146,91.25
2.5712724000004528,0.0024,303.5082,99.18599999999999
2.6164904000033857,0.0024,303.5082,99.18599999999999
2.6614981000020634,0.0024,302.5146,106.13
2.7061251000013726,0.0024,302.5146,106.13
2.751021000000037,0.0024,302.5146,113.074
2.7959864000004018,0.0024,301.52099999999996,113.074
2.8407971000015095,0.0025,302.5146,122.002
2.9318435000022873,0.0026,301.52099999999996,129.938
2.9771127000021806,0.0026,302.5146,128.946
3.021617200000037,0.0025,302.5146,136.882
3.0668743000023824,0.0025,303.5082,136.882
3.111302600002091,0.0026,302.5146,144.81799999999998
3.1561132000024372,0.0023,302.5146,144.81799999999998
3.201710200002708,0.0021,301.52099999999996,143.82600000000002
3.2458795000020473,0.0021,302.5146,152.75400000000002
3.291817000001174,0.0023,302.5146,158.70600000000002
3.3358506000004127,0.0021,302.5146,158.70600000000002
3.4268860000011045,0.0022,302.5146,166.642
3.471192600001814,0.002,303.5082,167.63400000000001
3.515631800000847,0.0019,301.52099999999996,173.586
3.5610580000029586,0.0018,302.5146,174.57799999999997
3.6060096000001067,0.0017,302.5146,182.514
3.6512862000017776,0.0016,302.5146,182.514
3.696258800002397,0.0015,302.5146,190.45
3.7417449000022316,0.0015,302.5146,196.402
3.7855589000027976,0.0014,303.5082,196.402
3.8768230000023323,0.0012,302.5146,204.33800000000002
3.9216126999999688,0.001,301.52099999999996,204.33800000000002
3.965873700002703,0.0008,302.5146,212.274
4.011744700001145,0.0006,303.5082,212.274
4.056509600002755,0.0004,302.5146,219.21800000000002
4.101332800000819,0.0002,302.5146,220.20999999999998
4.145879600000626,0.0001,302.5146,227.154
4.191869100002805,-0.0002,302.5146,235.08999999999997
4.236136300001817,-0.0003,302.5146,236.082
4.3265122000011615,-0.0005,302.5146,242.034
4.37109060000148,-0.0008,302.5146,243.026
4.415960000002087,-0.001,303.5082,249.96999999999997
4.461413000000903,-0.0011,301.52099999999996,250.962
4.505743800000346,-0.0014,302.5146,257.906
4.551999200000864,-0.0016,302.5146,257.906
4.5956903000005696,-0.0015,301.52099999999996,265.842
4.641186100001505,-0.0019,302.5146,272.786
4.685653300002741,-0.0019,302.5146,273.77799999999996
4.777142599999934,-0.0022,301.52099999999996,280.722
4.82139559999996,-0.0022,302.5146,280.722
4.866493700003048,-0.0025,301.52099999999996,288.65799999999996
4.911376500000188,-0.0026,302.5146,287.666
4.956422700000985,-0.0029,302.5146,295.602
5.001571400000103,-0.003,302.5146,296.594
5.04619620000085,-0.0031,302.5146,302.546
5.091107900003408,-0.0033,302.5146,311.474
5.136620200002653,-0.0032,301.52099999999996,310.48199999999997
5.2267259000000195,-0.0036,302.5146,318.418
5.270966300002328,-0.0036,302.5146,318.418
5.316220900000189,-0.0039,302.5146,325.36199999999997
5.360941500002809,-0.004,302.5146,326.354
5.4062479000021995,-0.0042,303.5082,333.298
5.452280500001507,-0.0043,302.5146,332.306
5.4958673000001,-0.0044,302.5146,341.234
5.542155099999945,-0.0047,302.5146,348.178
5.5864804000011645,-0.0047,302.5146,349.16999999999996
5.677466500001174,-0.0049,302.5146,357.106
5.721722000002046,-0.005,302.5146,357.106
5.766436900001281,-0.0052,302.5146,363.058
5.812466500003211,-0.0053,302.5146,364.05
5.855770200003462,-0.0055,302.5146,371.986
5.90148020000197,-0.0055,302.5146,371.986
5.946934300001885,-0.0057,301.52099999999996,370.99399999999997
5.9908819000011135,-0.0059,302.5146,379.92199999999997
6.082244100001844,-0.006,302.5146,386.866
6.125706400001945,-0.006,302.5146,385.87399999999997
6.170845900000131,-0.0061,301.52099999999996,387.858
6.2161217000029865,-0.0063,301.52099999999996,393.81
6.261906900002941,-0.0063,302.5146,394.80199999999996
6.305968900000153,-0.0065,301.52099999999996,402.738
6.351735300002474,-0.0065,302.5146,401.746
6.395914200002153,-0.0067,301.52099999999996,408.69
6.441089600000851,-0.0067,303.5082,417.618
6.485872799999925,-0.0067,302.5146,417.618
6.576473100001749,-0.0069,303.5082,424.562
6.621025700002065,-0.0069,302.5146,424.562
6.665919099999883,-0.0071,301.52099999999996,431.506
6.711961600001814,-0.0071,302.5146,432.498
6.756158300002426,-0.0074,303.5082,439.442
6.802234700000554,-0.0071,301.52099999999996,439.442
6.849659700001212,-0.0074,302.5146,446.38599999999997
6.936592699999892,-0.0074,301.52099999999996,455.31399999999996
6.980471800001396,-0.0074,301.52099999999996,455.31399999999996
7.027277300003334,-0.0074,301.52099999999996,455.31399999999996
7.0710350000008475,-0.0077,301.52099999999996,463.25
7.116728700002568,-0.0075,302.5146,463.25
7.161278500003391,-0.0079,302.5146,471.186
7.207147300003271,-0.0079,302.5146,470.19399999999996
7.251067300003342,-0.0081,302.5146,477.138
7.296648900002765,-0.0078,302.5146,477.138
7.340742800002772,-0.0083,303.5082,485.07399999999996
7.431546200001321,-0.0084,301.52099999999996,492.018
7.4756161000004795,-0.0083,302.5146,492.018
7.521165300000575,-0.0084,301.52099999999996,499.954
7.5658032999999705,-0.0087,302.5146,499.954
7.6114938000027905,-0.0088,301.52099999999996,506.89799999999997
7.655957500002842,-0.0089,301.52099999999996,506.89799999999997
7.7012376000020595,-0.009,302.5146,514.8340000000001
7.745851800002129,-0.0091,302.5146,514.8340000000001
