Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
0.0345023,-0.0088,302.5146,11.89,-0.0088
0.0794676,-0.0088,302.5146,11.89,-0.0088
0.1242559,-0.0088,301.521,11.89,-0.0088
0.1542611,-0.009,302.5146,11.89,-0.009
0.2146001,-0.0088,302.5146,11.89,-0.0088
0.2602364,-0.0088,302.5146,11.89,-0.0088
0.3057064,-0.0088,302.5146,11.89,-0.0088
0.3650604,-0.0089,302.5146,11.89,-0.0089
0.4094829,-0.0088,302.5146,11.89,-0.0088
0.4544479,-0.0089,301.521,11.89,-0.0089
0.5143169,-0.0088,301.521,11.89,-0.0088
0.5594135,-0.0089,302.5146,11.89,-0.0089
0.6044609,-0.0089,302.5146,11.89,-0.0089
0.6649609,-0.0088,301.521,11.89,-0.0088
0.7092456,-0.0088,301.521,11.89,-0.0088
0.7544875,-0.0089,303.5082,11.89,-0.0089
0.8147348,-0.0088,303.5082,11.89,-0.0088
0.8599632,-0.0088,302.5146,11.89,-0.0088
0.9048911,-0.0088,303.5082,11.89,-0.0088
0.9947577,-0.0089,302.5146,11.89,-0.0089
1.0246219,-0.0088,303.5082,11.89,-0.0088
1.0546169,-0.0087,302.5146,11.89,-0.0087
1.1144919,-0.0089,302.5146,11.89,-0.0089
1.1594415,-0.0089,302.5146,11.89,-0.0089
1.2042874,-0.0088,302.5146,11.89,-0.0088
1.2646475,-0.0089,302.5146,11.89,-0.0089
1.3096671,-0.0088,302.5146,11.89,-0.0088
1.354454,-0.0088,302.5146,11.89,-0.0088
1.4298119,-0.0089,302.5146,11.89,-0.0089
1.4742885,-0.0088,302.5146,11.89,-0.0088
1.5197779,-0.009,302.5146,11.89,-0.009
1.5644416,-0.0088,302.5146,11.89,-0.0088
1.6096562,-0.0088,301.521,11.89,-0.0088
1.6544066,-0.0087,303.5082,11.89,-0.0087
1.7445704,-0.0088,302.5146,11.89,-0.0088
1.789951,-0.0088,302.5146,11.89,-0.0088
1.8355741,-0.0088,302.5146,11.89,-0.0088
1.8799236,-0.0087,302.5146,11.89,-0.0087
1.9243086,-0.0089,302.5146,11.89,-0.0089
1.9693223,-0.0089,302.5146,11.89,-0.0089
2.0143877,-0.0088,302.5146,11.89,-0.0088
2.059959,-0.0088,301.521,11.89,-0.0088
2.1044461,-0.0089,301.521,11.89,-0.0089
2.1949891,-0.0089,302.5146,11.89,-0.0089
2.2396881,-0.0087,302.5146,11.89,-0.0087
2.2848219,-0.0089,302.5146,11.89,-0.0089
2.3297907,-0.0088,302.5146,11.89,-0.0088
2.3744727,-0.0089,302.5146,11.89,-0.0089
2.4193354,-0.0088,302.5146,11.89,-0.0088
2.4647608,-0.0088,303.5082,11.89,-0.0088
2.5101066,-0.0089,302.5146,11.89,-0.0089
2.55474,-0.0088,302.5146,11.89,-0.0088
2.6449137,-0.0088,302.5146,11.89,-0.0088
2.6895514,-0.0088,302.5146,11.89,-0.0088
2.7349125,-0.0089,301.521,11.89,-0.0089
2.779621,-0.0089,302.5146,11.89,-0.0089
2.824404,-0.0088,302.5146,11.89,-0.0088
2.8695271,-0.0089,302.5146,11.89,-0.0089
2.9145858,-0.0089,302.5146,11.89,-0.0089
2.9597766,-0.0088,302.5146,11.89,-0.0088
3.0047486,-0.0089,302.5146,11.89,-0.0089
3.0944918,-0.0088,302.5146,11.89,-0.0088
3.1396717,-0.0088,302.5146,11.89,-0.0088
3.1851047,-0.0088,302.5146,11.89,-0.0088
3.2302814,-0.0088,302.5146,11.89,-0.0088
3.2743747,-0.0089,301.521,11.89,-0.0089
3.3194638,-0.0089,303.5082,11.89,-0.0089
3.3645364,-0.0089,302.5146,11.89,-0.0089
3.4102741,-0.0088,303.5082,11.89,-0.0088
3.4547367,-0.0088,302.5146,11.89,-0.0088
3.5464838,-0.0087,301.521,11.89,-0.0087
3.5897513,-0.0088,301.521,11.89,-0.0088
3.6343737,-0.0089,302.5146,11.89,-0.0089
3.6797059,-0.0088,301.521,11.89,-0.0088
3.7249766,-0.0089,301.521,11.89,-0.0089
3.7696528,-0.0088,302.5146,11.89,-0.0088
