Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,-0.000162966,322.3866,6.5086674,-0.000162966
0.05,-0.000340752,321.393,6.5086674,-0.000340752
0.1,-0.000162966,321.393,4.5198066,-0.000162966
0.15,-0.000162966,321.393,6.5086674,-0.000162966
0.2,0.000192606,325.3674,6.5086674,0.000192606
0.25,1.48E-05,322.3866,4.5198066,1.48E-05
0.3,-0.000340752,321.393,8.4975282,-0.000340752
0.35,0.000370392,323.3802,4.5198066,0.000370392
0.4,-0.000162966,320.3994,6.5086674,-0.000162966
0.45,-0.000162966,322.3866,6.5086674,-0.000162966
0.5,0.000370392,323.3802,4.5198066,0.000370392
0.55,-0.000340752,322.3866,6.5086674,-0.000340752
0.603,1.48E-05,322.3866,4.5198066,1.48E-05
0.65,1.48E-05,323.3802,4.5198066,1.48E-05
0.7,-0.000162966,321.393,20.430693,-0.000162966
0.75,0.000192606,325.3674,20.430693,0.000192606
0.8,-0.000340752,318.4122,36.3415794,-0.000340752
0.85,-0.000162966,321.393,36.3415794,-0.000162966
0.9,1.48E-05,322.3866,50.263605,1.48E-05
0.953,1.48E-05,322.3866,50.263605,1.48E-05
1,-0.000162966,318.4122,64.1856306,-0.000162966
1.053,0.000192606,321.393,80.096517,0.000192606
1.1,0.000370392,321.393,80.096517,0.000370392
1.15,0.000192606,321.393,94.0185426,0.000192606
1.2,0.000725964,325.3674,94.0185426,0.000725964
1.25,0.000192606,320.3994,109.929429,0.000192606
1.3,0.000370392,322.3866,109.929429,0.000370392
1.35,0.000548178,322.3866,123.8514546,0.000548178
1.403,0.000725964,321.393,125.8403154,0.000725964
1.45,0.00090375,322.3866,139.762341,0.00090375
1.503,0.001259322,321.393,155.6732274,0.001259322
1.55,0.001437108,324.3738,155.6732274,0.001437108
1.6,0.001437108,321.393,169.595253,0.001437108
1.65,0.001614894,323.3802,169.595253,0.001614894
1.7,0.002148252,324.3738,183.5172786,0.002148252
1.75,0.002148252,323.3802,185.5061394,0.002148252
1.8,0.002503824,323.3802,199.428165,0.002503824
1.853,0.00268161,323.3802,199.428165,0.00268161
1.9,0.003037182,322.3866,213.3501906,0.003037182
1.953,0.003748326,324.3738,231.2499378,0.003748326
2,0.003926112,321.393,229.261077,0.003926112
2.05,0.004103898,323.3802,245.1719634,0.004103898
2.1,0.004281684,322.3866,245.1719634,0.004281684
2.15,0.004992828,323.3802,261.0828498,0.004992828
2.2,0.005526186,323.3802,261.0828498,0.005526186
2.25,0.006059544,323.3802,276.9937362,0.006059544
2.303,0.00623733,321.393,275.0048754,0.00623733
2.351,0.007481832,323.3802,288.926901,0.007481832
2.403,0.008192976,324.3738,304.8377874,0.008192976
2.45,0.008726334,322.3866,306.8266482,0.008726334
2.501,0.009437478,321.393,318.759813,0.009437478
2.55,0.010148622,322.3866,320.7486738,0.010148622
2.601,0.010859766,321.393,336.6595602,0.010859766
2.65,0.011748696,322.3866,332.6818386,0.011748696
2.701,0.012637626,323.3802,348.592725,0.012637626
2.753,0.01334877,324.3738,350.5815858,0.01334877
2.801,0.0142377,320.3994,366.4924722,0.0142377
