Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,-0.000162966,28.281,22.4195538,-0.000162966
0.05,-0.000162966,29.2746,20.430693,-0.000162966
0.1,1.48E-05,28.281,20.430693,1.48E-05
0.15,1.48E-05,30.2682,22.4195538,1.48E-05
0.2,1.48E-05,32.2554,22.4195538,1.48E-05
0.25,0.000192606,29.2746,20.430693,0.000192606
0.3,1.48E-05,31.2618,22.4195538,1.48E-05
0.35,0.000192606,29.2746,22.4195538,0.000192606
0.4,0.000192606,30.2682,20.430693,0.000192606
0.45,-0.000518538,27.2874,22.4195538,-0.000518538
0.5,1.48E-05,29.2746,20.430693,1.48E-05
0.55,0.000370392,322.3866,2.5309458,0.000370392
0.6,1.48E-05,323.3802,6.5086674,1.48E-05
0.65,-0.000162966,321.393,22.4195538,-0.000162966
0.7,1.48E-05,322.3866,22.4195538,1.48E-05
0.75,0.000192606,323.3802,34.3527186,0.000192606
0.8,1.48E-05,322.3866,34.3527186,1.48E-05
0.85,0.000192606,323.3802,50.263605,0.000192606
0.9,1.48E-05,321.393,48.2747442,1.48E-05
0.95,0.000370392,324.3738,64.1856306,0.000370392
1,0.000370392,320.3994,80.096517,0.000370392
1.05,0.000548178,323.3802,80.096517,0.000548178
1.1,0.000370392,321.393,82.0853778,0.000370392
1.15,0.000370392,321.393,94.0185426,0.000370392
1.2,0.001081536,323.3802,92.0296818,0.001081536
1.25,0.00090375,323.3802,109.929429,0.00090375
1.3,0.000725964,320.3994,109.929429,0.000725964
1.35,0.001259322,322.3866,123.8514546,0.001259322
1.403,0.00179268,325.3674,141.7512018,0.00179268
1.45,0.001970466,323.3802,139.762341,0.001970466
1.5,0.002148252,322.3866,155.6732274,0.002148252
1.55,0.00268161,324.3738,155.6732274,0.00268161
1.6,0.003037182,323.3802,171.5841138,0.003037182
1.65,0.003392754,321.393,171.5841138,0.003392754
1.7,0.004103898,324.3738,185.5061394,0.004103898
1.753,0.004103898,323.3802,185.5061394,0.004103898
1.801,0.004637256,320.3994,199.428165,0.004637256
1.853,0.005881758,324.3738,215.3390514,0.005881758
1.9,0.006592902,323.3802,215.3390514,0.006592902
1.95,0.007304046,320.3994,229.261077,0.007304046
2,0.00801519,324.3738,231.2499378,0.00801519
2.051,0.009081906,321.393,243.1831026,0.009081906
