Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,0.000192606,321.393,6.5086674,0.000192606
0.05,-0.000162966,318.4122,6.5086674,-0.000162966
0.1,0.000370392,325.3674,4.5198066,0.000370392
0.15,1.48E-05,323.3802,6.5086674,1.48E-05
0.2,0.000192606,323.3802,6.5086674,0.000192606
0.25,-0.000162966,324.3738,6.5086674,-0.000162966
0.3,-0.000162966,325.3674,8.4975282,-0.000162966
0.35,0.000192606,323.3802,6.5086674,0.000192606
0.4,1.48E-05,324.3738,6.5086674,1.48E-05
0.45,-0.000162966,320.3994,6.5086674,-0.000162966
0.5,0.000192606,324.3738,6.5086674,0.000192606
0.55,0.000370392,325.3674,6.5086674,0.000370392
0.6,0.000192606,325.3674,6.5086674,0.000192606
0.65,1.48E-05,325.3674,6.5086674,1.48E-05
0.7,0.000192606,324.3738,6.5086674,0.000192606
0.75,1.48E-05,324.3738,6.5086674,1.48E-05
0.8,0.000370392,324.3738,6.5086674,0.000370392
0.85,1.48E-05,322.3866,6.5086674,1.48E-05
0.9,1.48E-05,323.3802,6.5086674,1.48E-05
0.95,0.000192606,322.3866,4.5198066,0.000192606
1,0.000370392,323.3802,6.5086674,0.000370392
1.05,0.000370392,324.3738,4.5198066,0.000370392
1.1,0.000192606,323.3802,6.5086674,0.000192606
1.15,0.000192606,323.3802,6.5086674,0.000192606
1.2,0.000370392,322.3866,6.5086674,0.000370392
1.25,0.000192606,325.3674,6.5086674,0.000192606
1.3,-0.000162966,322.3866,8.4975282,-0.000162966
1.351,0.000548178,327.3546,6.5086674,0.000548178
1.401,0.000370392,325.3674,6.5086674,0.000370392
1.451,0.000192606,326.361,14.4641106,0.000192606
1.501,0.000192606,323.3802,20.430693,0.000192606
1.55,0.000370392,324.3738,20.430693,0.000370392
1.601,0.000192606,321.393,28.3861362,0.000192606
1.65,0.000370392,324.3738,28.3861362,0.000370392
1.701,0.000370392,324.3738,36.3415794,0.000370392
1.751,0.000370392,325.3674,38.3304402,0.000370392
1.801,0.000370392,324.3738,44.2970226,0.000370392
1.851,0.000548178,325.3674,42.3081618,0.000548178
1.901,0.000548178,325.3674,50.263605,0.000548178
1.951,0.000370392,323.3802,58.2190482,0.000370392
2.001,0.000370392,323.3802,60.207909,0.000370392
2.051,0.00090375,323.3802,64.1856306,0.00090375
2.101,0.00090375,325.3674,66.1744914,0.00090375
2.151,0.000725964,322.3866,74.1299346,0.000725964
2.201,0.000725964,323.3802,76.1187954,0.000725964
2.251,0.00090375,322.3866,82.0853778,0.00090375
2.301,0.001081536,326.361,80.096517,0.001081536
2.351,0.001081536,324.3738,90.040821,0.001081536
2.401,0.001614894,322.3866,94.0185426,0.001614894
2.451,0.001614894,324.3738,96.0074034,0.001614894
2.501,0.001970466,325.3674,101.9739858,0.001970466
2.551,0.00179268,324.3738,103.9628466,0.00179268
2.601,0.00179268,324.3738,111.9182898,0.00179268
2.651,0.001970466,323.3802,111.9182898,0.001970466
2.701,0.001970466,323.3802,119.873733,0.001970466
2.751,0.001970466,324.3738,115.8960114,0.001970466
2.801,0.00268161,325.3674,125.8403154,0.00268161
2.851,0.002503824,324.3738,133.7957586,0.002503824
2.901,0.003037182,326.361,133.7957586,0.003037182
2.951,0.003037182,325.3674,141.7512018,0.003037182
3.001,0.00357054,324.3738,141.7512018,0.00357054
3.051,0.00357054,325.3674,147.7177842,0.00357054
3.101,0.003748326,325.3674,147.7177842,0.003748326
3.151,0.003748326,323.3802,157.6620882,0.003748326
3.201,0.003926112,322.3866,157.6620882,0.003926112
3.251,0.004281684,324.3738,163.6286706,0.004281684
3.301,0.004992828,324.3738,171.5841138,0.004992828
3.351,0.004992828,323.3802,171.5841138,0.004992828
3.401,0.005170614,323.3802,177.5506962,0.005170614
3.451,0.005881758,325.3674,177.5506962,0.005881758
3.501,0.006059544,323.3802,185.5061394,0.006059544
3.551,0.006415116,324.3738,185.5061394,0.006415116
3.601,0.00623733,320.3994,191.4727218,0.00623733
3.651,0.006770688,324.3738,195.4504434,0.006770688
3.701,0.007481832,322.3866,199.428165,0.007481832
3.751,0.007481832,325.3674,201.4170258,0.007481832
3.801,0.00801519,324.3738,209.372469,0.00801519
3.851,0.008192976,324.3738,207.3836082,0.008192976
3.901,0.008548548,325.3674,217.3279122,0.008548548
3.951,0.00890412,323.3802,215.3390514,0.00890412
4.001,0.009615264,325.3674,221.3056338,0.009615264
4.051,0.009615264,325.3674,219.316773,0.009615264
4.102,0.010148622,323.3802,231.2499378,0.010148622
4.151,0.011215338,324.3738,235.2276594,0.011215338
4.201,0.011748696,323.3802,235.2276594,0.011748696
4.251,0.012104268,326.361,243.1831026,0.012104268
4.301,0.01245984,326.361,247.1608242,0.01245984
4.352,0.012815412,324.3738,253.1274066,0.012815412
4.401,0.013526556,324.3738,251.1385458,0.013526556
4.452,0.014059914,325.3674,261.0828498,0.014059914
4.502,0.0142377,323.3802,261.0828498,0.0142377
4.552,0.01512663,323.3802,267.0494322,0.01512663
4.602,0.015837774,323.3802,276.9937362,0.015837774
4.651,0.016371132,324.3738,275.0048754,0.016371132
4.702,0.017082276,323.3802,282.9603186,0.017082276
4.751,0.017260062,323.3802,284.9491794,0.017260062
4.802,0.018326778,324.3738,290.9157618,0.018326778
4.852,0.019037922,326.361,292.9046226,0.019037922
4.902,0.01957128,325.3674,298.871205,0.01957128
4.952,0.019749066,322.3866,296.8823442,0.019749066
5.002,0.020815782,323.3802,304.8377874,0.020815782
5.052,0.021704712,323.3802,314.7820914,0.021704712
