Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,1.48E-05,29.2746,20.430693,1.48E-05
0.05,1.48E-05,30.2682,20.430693,1.48E-05
0.1,1.48E-05,29.2746,20.430693,1.48E-05
0.15,-0.000162966,30.2682,22.4195538,-0.000162966
0.2,-0.000340752,29.2746,24.4084146,-0.000340752
0.25,0.000192606,31.2618,20.430693,0.000192606
0.3,1.48E-05,28.281,20.430693,1.48E-05
0.35,-0.000162966,29.2746,24.4084146,-0.000162966
0.4,-0.000340752,27.2874,22.4195538,-0.000340752
0.45,-0.000696324,27.2874,24.4084146,-0.000696324
0.5,-0.000162966,30.2682,22.4195538,-0.000162966
0.55,-0.000162966,28.281,22.4195538,-0.000162966
0.6,0.000192606,30.2682,20.430693,0.000192606
0.65,-0.000162966,28.281,22.4195538,-0.000162966
0.7,-0.000340752,29.2746,22.4195538,-0.000340752
0.751,1.48E-05,323.3802,4.5198066,1.48E-05
0.8,-0.000162966,323.3802,4.5198066,-0.000162966
0.85,0.000548178,325.3674,20.430693,0.000548178
0.9,-0.000162966,322.3866,36.3415794,-0.000162966
0.95,1.48E-05,323.3802,34.3527186,1.48E-05
1,1.48E-05,323.3802,48.2747442,1.48E-05
1.05,1.48E-05,324.3738,52.2524658,1.48E-05
1.1,-0.000340752,321.393,66.1744914,-0.000340752
1.15,0.000370392,324.3738,64.1856306,0.000370392
1.201,1.48E-05,323.3802,80.096517,1.48E-05
1.251,-0.000162966,322.3866,78.1076562,-0.000162966
1.301,0.000192606,325.3674,96.0074034,0.000192606
1.351,1.48E-05,321.393,109.929429,1.48E-05
1.4,-0.000162966,323.3802,111.9182898,-0.000162966
1.451,1.48E-05,323.3802,123.8514546,1.48E-05
1.5,1.48E-05,323.3802,125.8403154,1.48E-05
1.551,1.48E-05,324.3738,141.7512018,1.48E-05
1.6,1.48E-05,322.3866,139.762341,1.48E-05
1.651,1.48E-05,320.3994,155.6732274,1.48E-05
1.701,0.000192606,322.3866,153.6843666,0.000192606
1.751,-0.000162966,322.3866,173.5729746,-0.000162966
1.801,0.000548178,325.3674,185.5061394,0.000548178
1.851,0.000370392,324.3738,185.5061394,0.000370392
1.901,0.000370392,323.3802,201.4170258,0.000370392
1.951,0.000370392,322.3866,201.4170258,0.000370392
2.001,0.000548178,324.3738,215.3390514,0.000548178
2.051,0.000548178,321.393,215.3390514,0.000548178
2.101,0.00090375,323.3802,229.261077,0.00090375
2.151,0.00090375,323.3802,227.2722162,0.00090375
2.201,0.00090375,323.3802,243.1831026,0.00090375
2.251,0.001081536,322.3866,259.093989,0.001081536
2.301,0.001437108,324.3738,261.0828498,0.001437108
2.351,0.001259322,322.3866,275.0048754,0.001259322
2.401,0.001437108,322.3866,275.0048754,0.001437108
2.451,0.00179268,326.361,288.926901,0.00179268
2.501,0.001614894,323.3802,292.9046226,0.001614894
2.551,0.002148252,323.3802,302.8489266,0.002148252
2.601,0.002326038,324.3738,304.8377874,0.002326038
2.651,0.001970466,321.393,320.7486738,0.001970466
2.701,0.002148252,322.3866,336.6595602,0.002148252
2.751,0.002859396,322.3866,334.6706994,0.002859396
2.801,0.00268161,323.3802,352.5704466,0.00268161
2.851,0.003037182,323.3802,350.5815858,0.003037182
2.901,0.003037182,324.3738,366.4924722,0.003037182
2.951,0.003392754,322.3866,364.5036114,0.003392754
3.001,0.00357054,323.3802,380.4144978,0.00357054
3.051,0.003748326,322.3866,380.4144978,0.003748326
3.103,0.00357054,323.3802,398.314245,0.00357054
3.151,0.004103898,324.3738,394.3365234,0.004103898
3.201,0.003748326,323.3802,414.2251314,0.003748326
3.251,0.004281684,323.3802,412.2362706,0.004281684
3.301,0.004103898,322.3866,424.1694354,0.004103898
3.351,0.004992828,324.3738,424.1694354,0.004992828
3.401,0.00445947,322.3866,442.0691826,0.00445947
3.453,0.004637256,323.3802,444.0580434,0.004637256
3.501,0.004815042,321.393,454.0023474,0.004815042
3.553,0.005170614,324.3738,467.924373,0.005170614
3.601,0.005170614,324.3738,469.9132338,0.005170614
3.651,0.004992828,324.3738,483.8352594,0.004992828
3.701,0.005170614,321.393,483.8352594,0.005170614
3.751,0.004815042,323.3802,499.7461458,0.004815042
3.801,0.005526186,324.3738,497.757285,0.005526186
3.851,0.004815042,324.3738,509.6904498,0.004815042
3.904,0.005170614,322.3866,509.6904498,0.005170614
3.952,0.00445947,321.393,525.6013362,0.00445947
4.003,0.004281684,321.393,543.5010834,0.004281684
4.051,0.004637256,323.3802,541.5122226,0.004637256
4.101,0.004103898,322.3866,557.423109,0.004103898
4.151,0.00445947,323.3802,557.423109,0.00445947
4.201,0.003926112,324.3738,571.3451346,0.003926112
4.251,0.003926112,320.3994,569.3562738,0.003926112
4.302,0.00357054,322.3866,587.256021,0.00357054
4.354,0.003748326,321.393,587.256021,0.003748326
4.402,0.003392754,323.3802,601.1780466,0.003392754
4.453,0.003037182,323.3802,619.0777938,0.003037182
4.501,0.00357054,322.3866,619.0777938,0.00357054
4.552,0.00268161,324.3738,634.9886802,0.00268161
4.601,0.003214968,323.3802,634.9886802,0.003214968
4.652,0.00268161,323.3802,648.9107058,0.00268161
4.701,0.003037182,323.3802,646.921845,0.003037182
4.752,0.001970466,322.3866,664.8215922,0.001970466
4.804,0.00268161,323.3802,662.8327314,0.00268161
4.852,0.00179268,320.3994,676.754757,0.00179268
4.903,0.00179268,323.3802,694.6545042,0.00179268
4.952,0.002326038,323.3802,692.6656434,0.002326038
5.002,0.001081536,323.3802,710.5653906,0.001081536
5.052,0.001970466,322.3866,710.5653906,0.001970466
5.102,0.00090375,322.3866,726.476277,0.00090375
5.152,0.001259322,322.3866,728.4651378,0.001259322
5.202,0.000548178,323.3802,742.3871634,0.000548178
5.254,0.001259322,323.3802,742.3871634,0.001259322
5.302,0.000192606,321.393,754.3203282,0.000192606
5.353,0.000370392,324.3738,770.2312146,0.000370392
5.402,0.00090375,324.3738,770.2312146,0.00090375
5.452,0.000192606,323.3802,786.142101,0.000192606
5.502,0.000548178,322.3866,788.1309618,0.000548178
5.552,1.48E-05,321.393,800.0641266,1.48E-05
5.602,1.48E-05,323.3802,804.0418482,1.48E-05
5.652,1.48E-05,322.3866,802.0529874,1.48E-05
5.702,-0.000340752,323.3802,815.975013,-0.000340752
5.752,-0.000162966,322.3866,813.9861522,-0.000162966
5.802,-0.000162966,325.3674,833.8747602,-0.000162966
5.852,1.48E-05,345.2394,847.7967858,1.48E-05
5.902,-0.000162966,343.2522,849.7856466,-0.000162966
5.952,0.000192606,356.169,863.7076722,0.000192606
6.002,-0.000162966,353.1882,861.7188114,-0.000162966
6.052,1.48E-05,370.0794,879.6185586,1.48E-05
6.102,1.48E-05,368.0922,877.6296978,1.48E-05
6.152,1.48E-05,380.0154,891.5517234,1.48E-05
6.202,0.000192606,380.0154,889.5628626,0.000192606
6.252,1.48E-05,396.9066,909.4514706,1.48E-05
6.302,-0.000340752,410.817,927.3512178,-0.000340752
6.352,1.48E-05,412.8042,925.362357,1.48E-05
6.402,-0.000162966,426.7146,939.2843826,-0.000162966
6.452,1.48E-05,427.7082,939.2843826,1.48E-05
6.502,-0.000340752,442.6122,957.1841298,-0.000340752
6.552,1.48E-05,442.6122,959.1729906,1.48E-05
6.602,0.000548178,457.5162,969.1172946,0.000548178
6.652,-0.000340752,457.5162,971.1061554,-0.000340752
6.702,0.000370392,475.401,995.751273,0.000370392
6.752,1.48E-05,488.3178,1011.081244,1.48E-05
6.802,-0.000162966,488.3178,1012.997491,-0.000162966
6.852,1.48E-05,504.2154,1026.411215,1.48E-05
6.902,0.000192606,504.2154,1026.411215,0.000192606
