Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,-0.000340752,321.393,6.5086674,-0.000340752
0.05,-0.000162966,323.3802,4.5198066,-0.000162966
0.1,-0.000162966,321.393,4.5198066,-0.000162966
0.15,1.48E-05,322.3866,6.5086674,1.48E-05
0.2,1.48E-05,320.3994,2.5309458,1.48E-05
0.25,1.48E-05,322.3866,6.5086674,1.48E-05
0.3,-0.000162966,323.3802,6.5086674,-0.000162966
0.35,1.48E-05,322.3866,6.5086674,1.48E-05
0.4,1.48E-05,320.3994,6.5086674,1.48E-05
0.45,-0.000162966,322.3866,6.5086674,-0.000162966
0.5,0.000192606,323.3802,2.5309458,0.000192606
0.55,-0.000162966,321.393,4.5198066,-0.000162966
0.6,0.000192606,323.3802,4.5198066,0.000192606
0.65,1.48E-05,322.3866,6.5086674,1.48E-05
0.7,1.48E-05,324.3738,4.5198066,1.48E-05
0.75,1.48E-05,323.3802,6.5086674,1.48E-05
0.8,0.000370392,324.3738,4.5198066,0.000370392
0.85,0.000192606,322.3866,4.5198066,0.000192606
0.9,-0.000162966,322.3866,22.4195538,-0.000162966
0.95,1.48E-05,322.3866,20.430693,1.48E-05
1,1.48E-05,322.3866,22.4195538,1.48E-05
1.051,-0.000162966,324.3738,34.3527186,-0.000162966
1.1,-0.000162966,323.3802,34.3527186,-0.000162966
1.15,-0.000162966,322.3866,52.2524658,-0.000162966
1.2,0.000370392,323.3802,64.1856306,0.000370392
1.25,0.000192606,323.3802,66.1744914,0.000192606
1.3,0.000192606,323.3802,82.0853778,0.000192606
1.35,0.000192606,324.3738,80.096517,0.000192606
1.4,0.000192606,323.3802,96.0074034,0.000192606
1.45,0.000192606,321.393,96.0074034,0.000192606
1.501,0.000725964,324.3738,107.9405682,0.000725964
1.55,-0.000162966,318.4122,107.9405682,-0.000162966
1.6,0.000548178,321.393,125.8403154,0.000548178
1.651,0.000725964,323.3802,141.7512018,0.000725964
1.7,0.001437108,323.3802,139.762341,0.001437108
1.751,0.001081536,321.393,155.6732274,0.001081536
1.8,0.001437108,324.3738,155.6732274,0.001437108
1.851,0.00179268,322.3866,169.595253,0.00179268
1.9,0.00179268,323.3802,171.5841138,0.00179268
1.951,0.00179268,320.3994,183.5172786,0.00179268
2.001,0.002148252,323.3802,183.5172786,0.002148252
2.051,0.002148252,320.3994,199.428165,0.002148252
2.101,0.002859396,323.3802,215.3390514,0.002859396
2.151,0.003214968,324.3738,215.3390514,0.003214968
2.201,0.003392754,323.3802,231.2499378,0.003392754
2.251,0.003926112,323.3802,227.2722162,0.003926112
2.301,0.004103898,323.3802,247.1608242,0.004103898
2.351,0.004992828,323.3802,243.1831026,0.004992828
2.401,0.004992828,321.393,259.093989,0.004992828
2.451,0.005170614,322.3866,259.093989,0.005170614
2.501,0.00623733,323.3802,273.0160146,0.00623733
2.551,0.006770688,321.393,290.9157618,0.006770688
2.601,0.00712626,324.3738,292.9046226,0.00712626
2.651,0.007659618,323.3802,306.8266482,0.007659618
2.701,0.007837404,321.393,306.8266482,0.007837404
2.751,0.008548548,322.3866,320.7486738,0.008548548
2.801,0.008726334,322.3866,320.7486738,0.008726334
2.851,0.009081906,322.3866,334.6706994,0.009081906
2.901,0.009437478,320.3994,334.6706994,0.009437478
2.951,0.00979305,322.3866,348.592725,0.00979305
3.001,0.010504194,322.3866,366.4924722,0.010504194
3.051,0.010859766,322.3866,364.5036114,0.010859766
3.101,0.011037552,322.3866,382.4033586,0.011037552
3.151,0.011215338,320.3994,380.4144978,0.011215338
3.201,0.011393124,321.393,394.3365234,0.011393124
3.251,0.011748696,321.393,394.3365234,0.011748696
3.301,0.011748696,320.3994,410.2474098,0.011748696
3.351,0.01157091,321.393,408.258549,0.01157091
3.401,0.011748696,322.3866,426.1582962,0.011748696
3.451,0.012104268,322.3866,442.0691826,0.012104268
3.501,0.012104268,323.3802,440.0803218,0.012104268
3.551,0.01157091,320.3994,442.0691826,0.01157091
3.601,0.011393124,321.393,457.980069,0.011393124
3.651,0.011926482,324.3738,455.9912082,0.011926482
3.701,0.011215338,321.393,471.9020946,0.011215338
3.753,0.01157091,324.3738,471.9020946,0.01157091
3.801,0.011037552,322.3866,483.8352594,0.011037552
3.852,0.011037552,322.3866,499.7461458,0.011037552
3.901,0.010859766,321.393,499.7461458,0.010859766
3.951,0.010326408,321.393,511.6793106,0.010326408
4.001,0.00979305,320.3994,513.6681714,0.00979305
4.051,0.009615264,325.3674,527.590197,0.009615264
4.101,0.00890412,322.3866,527.590197,0.00890412
4.151,0.008548548,322.3866,543.5010834,0.008548548
4.203,0.00801519,322.3866,541.5122226,0.00801519
4.252,0.007481832,321.393,559.4119698,0.007481832
4.302,0.007837404,324.3738,571.3451346,0.007837404
4.351,0.007304046,322.3866,571.3451346,0.007304046
4.401,0.00712626,324.3738,585.2671602,0.00712626
4.451,0.006592902,321.393,587.256021,0.006592902
4.501,0.006415116,323.3802,601.1780466,0.006415116
4.551,0.00623733,323.3802,603.1669074,0.00623733
4.601,0.005703972,322.3866,621.0666546,0.005703972
4.653,0.005881758,324.3738,617.088933,0.005881758
4.702,0.005526186,323.3802,632.9998194,0.005526186
4.752,0.005170614,322.3866,648.9107058,0.005170614
4.801,0.004815042,321.393,648.9107058,0.004815042
4.852,0.004637256,321.393,664.8215922,0.004637256
4.901,0.00445947,322.3866,662.8327314,0.00445947
4.952,0.003926112,322.3866,680.7324786,0.003926112
5.001,0.003748326,320.3994,680.7324786,0.003748326
5.052,0.003214968,321.393,696.643365,0.003214968
5.103,0.003214968,322.3866,694.6545042,0.003214968
5.152,0.003037182,322.3866,710.5653906,0.003037182
5.202,0.002503824,321.393,724.4874162,0.002503824
5.252,0.003037182,322.3866,724.4874162,0.003037182
5.302,0.002326038,321.393,742.3871634,0.002326038
5.352,0.002326038,322.3866,740.3983026,0.002326038
5.402,0.002326038,323.3802,756.309189,0.002326038
5.452,0.001970466,322.3866,756.309189,0.001970466
5.502,0.001614894,322.3866,772.2200754,0.001614894
5.553,0.001614894,322.3866,770.2312146,0.001614894
5.602,0.001437108,323.3802,786.142101,0.001437108
5.652,0.00090375,323.3802,802.0529874,0.00090375
5.702,0.001259322,325.3674,800.0641266,0.001259322
5.752,0.000548178,322.3866,817.9638738,0.000548178
5.802,0.000548178,323.3802,819.9527346,0.000548178
5.852,0.000192606,320.3994,831.8858994,0.000192606
5.902,0.000548178,322.3866,831.8858994,0.000548178
5.952,-0.000162966,322.3866,849.7856466,-0.000162966
6.002,0.000370392,319.4058,845.807925,0.000370392
6.052,1.48E-05,322.3866,847.7967858,1.48E-05
6.102,1.48E-05,322.3866,863.7076722,1.48E-05
6.152,-0.000162966,321.393,877.6296978,-0.000162966
6.202,0.000192606,323.3802,877.6296978,0.000192606
6.252,-0.000162966,321.393,893.5405842,-0.000162966
6.302,0.000192606,323.3802,891.5517234,0.000192606
6.352,-0.000162966,323.3802,911.4403314,-0.000162966
6.402,-0.000518538,329.3418,909.4514706,-0.000518538
6.452,-0.000162966,352.1946,923.3734962,-0.000162966
6.502,-0.000340752,356.169,925.362357,-0.000340752
6.552,-0.000340752,375.0474,939.2843826,-0.000340752
6.602,-0.000162966,392.9322,957.1841298,-0.000162966
6.652,-0.000162966,396.9066,957.1841298,-0.000162966
6.702,-0.000162966,411.8106,973.0950162,-0.000162966
6.752,-0.000162966,413.7978,971.1061554,-0.000162966
6.802,-0.000162966,432.6762,999.5837658,-0.000162966
6.852,-0.000162966,434.6634,999.5837658,-0.000162966
6.902,1.48E-05,449.5674,1009.164998,1.48E-05
6.952,-0.000518538,451.5546,1011.081244,-0.000518538
7.003,1.48E-05,466.4586,1026.411215,1.48E-05
7.052,-0.000162966,468.4458,1028.327462,-0.000162966
7.102,1.48E-05,483.3498,1041.741187,1.48E-05
7.152,-0.000162966,484.3434,1041.741187,-0.000162966
7.202,-0.000162966,499.2474,1057.071158,-0.000162966
7.252,1.48E-05,499.2474,1055.154911,1.48E-05
7.302,-0.000162966,515.145,1072.401129,-0.000162966
7.353,-0.000162966,514.1514,1074.317375,-0.000162966
7.403,-0.000340752,527.0682,1087.7311,-0.000340752
7.453,0.000192606,541.9722,1099.228579,0.000192606
7.502,0.000192606,541.9722,1103.061071,0.000192606
7.552,-0.000340752,556.8762,1114.55855,-0.000340752
7.602,-0.000162966,555.8826,1118.391043,-0.000162966
7.652,-0.000340752,568.7994,1131.804767,-0.000340752
7.702,-0.000162966,567.8058,1135.63726,-0.000162966
7.752,-0.000340752,580.7226,1149.050985,-0.000340752
7.803,-0.000162966,578.7354,1147.134739,-0.000162966
7.853,1.48E-05,589.665,1162.46471,1.48E-05
7.903,-0.000340752,604.569,1177.794681,-0.000340752
7.952,-0.000162966,602.5818,1175.878435,-0.000162966
8.003,1.48E-05,613.5114,1195.040899,1.48E-05
8.052,-0.000162966,612.5178,1193.124652,-0.000162966
8.103,-0.000518538,625.4346,1212.287116,-0.000518538
8.152,-0.000162966,622.4538,1206.538377,-0.000162966
8.203,0.000192606,633.3834,1219.952102,0.000192606
8.253,-0.000162966,632.3898,1221.868348,-0.000162966
8.303,-0.000696324,644.313,1237.198319,-0.000696324
8.353,1.48E-05,655.2426,1252.528291,1.48E-05
8.403,-0.000340752,654.249,1252.528291,-0.000340752
8.453,1.48E-05,664.185,1265.942015,1.48E-05
8.503,-0.000162966,663.1914,1267.858262,-0.000162966
8.553,-0.000162966,661.2042,1267.858262,-0.000162966
8.603,-0.000162966,672.1338,1281.271987,-0.000162966
8.653,-0.000340752,670.1466,1283.188233,-0.000340752
8.703,-0.000162966,683.0634,1296.601958,-0.000162966
8.753,-0.000162966,681.0762,1296.601958,-0.000162966
8.803,-0.000340752,692.9994,1311.931929,-0.000340752
8.853,1.48E-05,702.9354,1327.2619,1.48E-05
8.903,-0.000162966,701.9418,1327.2619,-0.000162966
8.953,-0.000162966,711.8778,1344.508118,-0.000162966
9.003,-0.000162966,710.8842,1346.424364,-0.000162966
9.053,-0.000340752,720.8202,1359.838089,-0.000340752
9.103,-0.000340752,719.8266,1363.670582,-0.000340752
9.153,1.48E-05,729.7626,1371.335567,1.48E-05
9.203,-0.000340752,727.7754,1373.251814,-0.000340752
9.253,-0.000340752,726.7818,1373.251814,-0.000340752
9.303,-0.000162966,711.8778,1359.838089,-0.000162966
9.353,-0.000162966,712.8714,1357.921843,-0.000162966
9.403,-0.000340752,700.9482,1344.508118,-0.000340752
9.453,-0.000518538,701.9418,1344.508118,-0.000518538
9.503,-0.000340752,690.0186,1329.178147,-0.000340752
9.553,-0.000518538,691.0122,1329.178147,-0.000518538
9.603,-0.000162966,679.089,1315.764422,-0.000162966
9.653,-0.000340752,679.089,1310.015683,-0.000340752
9.703,1.48E-05,668.1594,1298.518204,1.48E-05
9.753,-0.000162966,657.2298,1283.188233,-0.000162966
9.803,-0.000162966,657.2298,1281.271987,-0.000162966
9.853,0.000192606,646.3002,1265.942015,0.000192606
9.903,-0.000162966,649.281,1265.942015,-0.000162966
9.953,-0.000162966,637.3578,1252.528291,-0.000162966
10.003,-0.000162966,639.345,1252.528291,-0.000162966
10.053,0.000192606,626.4282,1235.282073,0.000192606
10.103,-0.000162966,629.409,1237.198319,-0.000162966
10.153,-0.000340752,617.4858,1221.868348,-0.000340752
10.203,-0.000340752,606.5562,1210.37087,-0.000340752
10.253,-0.000162966,606.5562,1208.454623,-0.000162966
10.303,-0.000340752,596.6202,1193.124652,-0.000340752
10.353,-0.000162966,597.6138,1193.124652,-0.000162966
10.403,-0.000340752,586.6842,1179.710927,-0.000340752
10.453,-0.000162966,586.6842,1175.878435,-0.000162966
10.504,-0.000340752,575.7546,1160.548463,-0.000340752
10.553,-0.000340752,576.7482,1162.46471,-0.000340752
10.603,1.48E-05,565.8186,1147.134739,1.48E-05
10.653,-0.000340752,553.8954,1133.721014,-0.000340752
10.703,-0.000162966,554.889,1133.721014,-0.000162966
10.753,1.48E-05,543.9594,1116.474796,1.48E-05
10.803,-0.000162966,544.953,1118.391043,-0.000162966
10.853,-0.000162966,532.0362,1103.061071,-0.000162966
10.903,-0.000162966,535.017,1103.061071,-0.000162966
10.954,1.48E-05,522.1002,1087.7311,1.48E-05
11.003,-0.000162966,523.0938,1087.7311,-0.000162966
11.054,1.48E-05,511.1706,1072.401129,1.48E-05
11.103,-0.000340752,513.1578,1074.317375,-0.000340752
11.154,1.48E-05,501.2346,1057.071158,1.48E-05
11.203,-0.000162966,502.2282,1058.987404,-0.000162966
11.254,-0.000162966,489.3114,1043.657433,-0.000162966
11.303,-0.000518538,492.2922,1043.657433,-0.000518538
11.354,-0.000162966,480.369,1030.243708,-0.000162966
11.404,-0.000162966,479.3754,1024.494969,-0.000162966
11.454,1.48E-05,466.4586,1009.164998,1.48E-05
11.504,1.48E-05,456.5226,997.6675194,1.48E-05
11.554,-0.000518538,458.5098,999.5837658,-0.000518538
11.604,-0.000162966,459.5034,999.5837658,-0.000162966
11.654,0.000192606,445.593,969.1172946,0.000192606
11.704,-0.000162966,445.593,971.1061554,-0.000162966
11.754,-0.000162966,434.6634,955.195269,-0.000162966
11.804,1.48E-05,434.6634,955.195269,1.48E-05
11.854,1.48E-05,422.7402,941.2732434,1.48E-05
11.904,-0.000340752,423.7338,939.2843826,-0.000340752
11.954,-0.000162966,410.817,925.362357,-0.000162966
12.004,1.48E-05,398.8938,909.4514706,1.48E-05
