Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.041100700036622584,-0.0633,300.5274,105.138
0.16400969994720072,-0.0633,299.5338,105.138
0.18863620003685355,-0.0633,299.5338,106.13
0.22479310003109276,-0.0633,299.5338,106.13
0.2471095999935642,-0.0633,299.5338,106.13
0.31212320004124194,-0.0632,300.5274,106.13
0.38964960002340376,-0.0633,299.5338,105.138
0.420561800012365,-0.0632,300.5274,106.13
0.44765330001246184,-0.0634,299.5338,106.13
0.4932253999868408,-0.0633,300.5274,106.13
0.5706653000088409,-0.0632,299.5338,106.13
0.6325207999907434,-0.0633,300.5274,106.13
0.6747625999851152,-0.0633,299.5338,106.13
0.6944077999796718,-0.0632,299.5338,106.13
0.762179399956949,-0.0633,300.5274,106.13
0.845388300018385,-0.0632,299.5338,105.138
0.9181726999813691,-0.0634,299.5338,106.13
0.9887310999911278,-0.0633,300.5274,106.13
1.0056240999838337,-0.0633,300.5274,106.13
1.024673099978827,-0.0632,300.5274,105.138
1.0493145999498665,-0.0633,300.5274,106.13
1.07477549999021,-0.0634,298.54019999999997,106.13
1.1673240000382066,-0.0633,299.5338,107.122
1.268607100006193,-0.0633,299.5338,106.13
1.3041321999626234,-0.0633,299.5338,106.13
1.3643118999898434,-0.0633,300.5274,106.13
1.3847143999300897,-0.0632,300.5274,106.13
1.4095767999533564,-0.0633,300.5274,107.122
1.435259799938649,-0.0633,300.5274,106.13
1.4820971000008285,-0.0633,299.5338,106.13
1.5583434000145644,-0.0632,299.5338,105.138
1.590147899929434,-0.0633,299.5338,105.138
1.6623740999493748,-0.0634,299.5338,106.13
1.7470537000335753,-0.0633,300.5274,106.13
1.7868580999784172,-0.0633,300.5274,106.13
1.8130685000214726,-0.0635,300.5274,106.13
1.8425233999732882,-0.0635,300.5274,105.138
1.8848798000253737,-0.0632,299.5338,105.138
1.930105899926275,-0.0634,300.5274,106.13
1.9751176999416202,-0.0633,299.5338,106.13
2.0203108999412507,-0.0632,299.5338,106.13
2.1113094999454916,-0.0634,299.5338,106.13
2.197353299940005,-0.0633,299.5338,107.122
2.2748780000256374,-0.0633,299.5338,105.138
2.333141400013119,-0.0633,300.5274,107.122
2.3938173999777064,-0.0633,299.5338,106.13
2.4234107999363914,-0.0634,299.5338,106.13
2.448722600005567,-0.0634,300.5274,105.138
2.4578619999811053,-0.0632,300.5274,106.13
2.4795648999279365,-0.0631,299.5338,107.122
2.559812600025907,-0.0634,300.5274,106.13
2.605271099950187,-0.0633,300.5274,106.13
2.6514015999855474,-0.0632,299.5338,106.13
2.73767509998288,-0.0633,299.5338,105.138
2.8039832999929786,-0.0634,299.5338,106.13
2.84344389999751,-0.0633,300.5274,106.13
2.859662599978037,-0.0632,299.5338,105.138
2.8845404000021517,-0.0633,299.5338,106.13
2.919913599966094,-0.0632,300.5274,106.13
3.012545199948363,-0.0633,300.5274,106.13
3.0948495999909937,-0.0634,300.5274,106.13
3.142469899961725,-0.0634,299.5338,105.138
3.172639299998991,-0.0635,299.5338,106.13
3.2013536000158638,-0.0634,300.5274,105.138
3.2348582999547943,-0.0634,299.5338,106.13
3.2822972999420017,-0.0633,299.5338,106.13
3.3661666000261903,-0.0632,298.54019999999997,106.13
3.4359121000161394,-0.0634,299.5338,106.13
3.5018380000256,-0.0633,300.5274,107.122
