Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.013767500058747828,-0.0633,4.4346,11.89
0.07017370010726154,-0.0633,4.4346,11.89
0.11095560004469007,-0.0634,4.4346,11.89
0.14891139999963343,-0.0635,4.4346,11.89
0.19380210002418607,-0.0634,4.4346,11.89
0.2389554000692442,-0.0634,5.4282,11.89
0.3291115000611171,-0.0633,4.4346,11.89
0.38097150006797165,-0.0632,5.4282,11.89
0.4485747000435367,-0.0633,4.4346,11.89
0.5245715000201017,-0.0633,4.4346,11.89
0.5667712000431493,-0.0633,4.4346,11.89
0.6088035000720993,-0.0634,4.4346,11.89
0.6413568001007661,-0.0633,4.4346,11.89
0.6680353000992909,-0.0633,4.4346,11.89
0.7005849000997841,-0.0633,4.4346,11.89
0.7806436000391841,-0.0632,4.4346,11.89
0.8678576000966132,-0.0633,4.4346,11.89
0.911132000037469,-0.0634,5.4282,11.89
0.9342393000843003,-0.0634,4.4346,11.89
0.9638038000557572,-0.0633,4.4346,11.89
1.0036601000465453,-0.0632,5.4282,11.89
1.0490000999998301,-0.0632,4.4346,11.89
1.0948969000019133,-0.0633,4.4346,11.89
1.1825764001114294,-0.0633,5.4282,11.89
1.2662187000969425,-0.0632,4.4346,11.89
1.3044486000435427,-0.0633,4.4346,11.89
1.341591100092046,-0.0633,4.4346,11.89
1.3704559000907466,-0.0634,4.4346,11.89
1.408543199999258,-0.0632,5.4282,11.89
1.4562772000208497,-0.0633,4.4346,11.89
1.5594880999997258,-0.0632,4.4346,11.89
1.5876566000515595,-0.0633,4.4346,11.89
1.625543100060895,-0.0634,4.4346,11.89
1.678550700074993,-0.0633,4.4346,11.89
1.7266780000645667,-0.0634,4.4346,11.89
1.8181238000979647,-0.0633,4.4346,11.89
1.836477000033483,-0.0633,4.4346,11.89
1.881818100111559,-0.0634,4.4346,11.89
1.9217999000102282,-0.0635,5.4282,11.89
1.9560384000651538,-0.0634,4.4346,11.89
1.9957899000728503,-0.0633,4.4346,11.89
2.0620124000124633,-0.0633,4.4346,11.89
2.128691300051287,-0.0633,4.4346,11.89
2.1761306000407785,-0.0634,5.4282,11.89
2.2633137000957504,-0.0634,4.4346,11.89
2.2994688000762835,-0.0633,4.4346,11.89
2.3349712000926957,-0.0633,4.4346,11.89
2.364411300048232,-0.0635,4.4346,11.89
2.4001146000809968,-0.0634,4.4346,11.89
2.454953300068155,-0.0633,4.4346,11.89
2.4886525000911206,-0.0633,5.4282,11.89
2.5812340000411496,-0.0632,4.4346,11.89
2.6629148001084104,-0.0633,4.4346,11.89
2.6995624999981374,-0.0632,4.4346,11.89
2.7233571000397205,-0.0633,4.4346,11.89
2.7588610000675544,-0.0633,5.4282,11.89
2.8060566000640392,-0.0633,4.4346,11.89
2.8909576000878587,-0.0632,4.4346,11.89
2.9443706000456586,-0.0633,4.4346,11.89
2.971061500022188,-0.0634,5.4282,11.89
3.0309437001124024,-0.0634,4.4346,11.89
3.108302300097421,-0.0634,5.4282,11.89
3.138765800045803,-0.0634,4.4346,11.89
3.1657912000082433,-0.0633,4.4346,11.89
3.2089339001104236,-0.0633,4.4346,11.89
3.2543730000033975,-0.0634,4.4346,11.89
3.2990342000266537,-0.0633,4.4346,11.89
3.3443598001031205,-0.0634,4.4346,11.89
3.389115700032562,-0.0631,4.4346,11.89
3.4797376000788063,-0.0632,5.4282,11.89
3.5513160000555217,-0.0633,4.4346,11.89
3.596293600043282,-0.0633,4.4346,11.89
3.6257069000275806,-0.0633,4.4346,11.89
3.6591144000412896,-0.0634,4.4346,11.89
3.7038417001022026,-0.0633,4.4346,11.89
3.7488351000938565,-0.0635,4.4346,11.89
3.794068400049582,-0.0632,4.4346,11.89
3.839011100004427,-0.0632,4.4346,11.89
3.9299488000106066,-0.0632,5.4282,11.89
4.021569300093688,-0.0632,4.4346,11.89
4.030835600104183,-0.0633,4.4346,11.89
4.124701000051573,-0.0634,4.4346,11.89
4.146942700026557,-0.0634,4.4346,11.89
4.177401700057089,-0.0633,5.4282,11.89
