Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.009059099946171045,-0.0619,301.52099999999996,106.13
0.05415519990492612,-0.0618,299.5338,106.13
0.14404049993027002,-0.0619,301.52099999999996,106.13
0.1895659000147134,-0.0617,300.5274,107.122
0.25282769999466836,-0.0618,300.5274,106.13
0.32252569997217506,-0.0618,299.5338,106.13
0.3854709999868646,-0.0619,300.5274,105.138
0.4462180999107659,-0.0619,299.5338,107.122
0.45944799995049834,-0.0618,301.52099999999996,105.138
0.480089099961333,-0.062,301.52099999999996,106.13
0.5084472999442369,-0.0619,300.5274,106.13
0.5942020999500528,-0.0619,299.5338,106.13
0.6393004999263212,-0.0619,301.52099999999996,107.122
0.684368799906224,-0.0618,300.5274,106.13
0.7296609999611974,-0.062,300.5274,105.138
0.7744999999413267,-0.062,301.52099999999996,105.138
0.8194960999535397,-0.0619,299.5338,106.13
0.8649717000080273,-0.0617,300.5274,106.13
0.9092929000034928,-0.0619,299.5338,106.13
0.9547654999187216,-0.0618,299.5338,106.13
1.046465199906379,-0.0621,299.5338,106.13
1.141350399935618,-0.0618,300.5274,106.13
1.176840899977833,-0.0619,300.5274,106.13
1.19915190001484,-0.0619,300.5274,107.122
1.2296402999199927,-0.062,300.5274,106.13
1.2714550999226049,-0.062,300.5274,106.13
1.3443080999422818,-0.0619,301.52099999999996,106.13
1.3752838999498636,-0.0619,299.5338,105.138
1.4040788999991491,-0.0619,299.5338,106.13
1.496128199971281,-0.062,300.5274,106.13
1.5764990999596193,-0.0618,300.5274,106.13
1.6280083999736235,-0.0618,301.52099999999996,106.13
1.6578573000151664,-0.0619,300.5274,106.13
1.6916331999236718,-0.0619,301.52099999999996,106.13
1.7193010000046343,-0.0619,300.5274,106.13
1.7640265999361873,-0.0618,299.5338,105.138
1.8088380999397486,-0.0619,300.5274,106.13
1.8545833999523893,-0.0619,301.52099999999996,106.13
1.9463405999122187,-0.0618,300.5274,106.13
2.036683899932541,-0.062,299.5338,107.122
2.0613353999797255,-0.0619,300.5274,106.13
2.0951361999614164,-0.0618,299.5338,106.13
2.124470999930054,-0.0618,299.5338,107.122
2.171670199953951,-0.0619,299.5338,106.13
2.269088599947281,-0.0619,300.5274,105.138
2.291212899959646,-0.0619,300.5274,105.138
2.321528899949044,-0.062,299.5338,105.138
2.3940007999772206,-0.0619,300.5274,106.13
2.4390556999715045,-0.0619,299.5338,106.13
2.484388199984096,-0.062,300.5274,106.13
2.5291943999473006,-0.0619,300.5274,105.138
2.574458499904722,-0.062,300.5274,106.13
2.6191657999297604,-0.0619,300.5274,106.13
2.664454899961129,-0.0617,300.5274,106.13
2.7091906999703497,-0.062,300.5274,106.13
2.7544398999307305,-0.0619,300.5274,106.13
2.8471268999855965,-0.0619,299.5338,106.13
2.927726099966094,-0.062,299.5338,105.138
2.976510199951008,-0.0619,300.5274,106.13
2.9997078999876976,-0.0619,299.5338,107.122
3.0237133000046015,-0.0621,300.5274,106.13
3.0718864999944344,-0.0619,300.5274,107.122
3.158714299905114,-0.0618,299.5338,106.13
3.229132700012997,-0.0619,299.5338,105.138
3.2667790999403223,-0.062,300.5274,106.13
3.2993319999659434,-0.062,300.5274,106.13
3.3395182999083772,-0.0618,300.5274,106.13
3.383815999957733,-0.0619,299.5338,105.138
3.4297899999655783,-0.0618,300.5274,106.13
3.4746443999465555,-0.0618,300.5274,106.13
3.519039599923417,-0.0619,300.5274,106.13
3.564319900004193,-0.0619,300.5274,106.13
3.60935669997707,-0.0619,299.5338,107.122
3.6545299999415874,-0.0619,301.52099999999996,106.13
3.7456640999298543,-0.0619,299.5338,106.13
3.838968599913642,-0.0621,301.52099999999996,107.122
3.8732720999978483,-0.062,300.5274,106.13
3.947631699964404,-0.0618,299.5338,106.13
4.025056199985556,-0.062,299.5338,106.13
4.0571947999997064,-0.0621,300.5274,106.13
4.11420630000066,-0.0618,299.5338,107.122
4.138011600007303,-0.0618,300.5274,106.13
4.17088170000352,-0.062,300.5274,106.13
4.204287200002,-0.0619,301.52099999999996,107.122
4.2395267999963835,-0.0619,300.5274,106.13
4.2841249000048265,-0.0619,300.5274,106.13
4.329395200009458,-0.062,300.5274,106.13
4.3804717999883,-0.0619,299.5338,106.13
4.447574399993755,-0.062,300.5274,106.13
4.498767199926078,-0.0618,300.5274,105.138
4.523734299931675,-0.062,300.5274,106.13
4.554071999969892,-0.0619,300.5274,106.13
4.646232999977656,-0.0619,299.5338,106.13
4.735099199926481,-0.0618,299.5338,106.13
4.803122199955396,-0.0619,299.5338,105.138
4.8241661000065506,-0.062,300.5274,106.13
4.844977299915627,-0.0618,299.5338,105.138
4.870706100016832,-0.0619,301.52099999999996,107.122
4.915423099999316,-0.062,300.5274,105.138
4.991255900007673,-0.0619,299.5338,106.13
5.036670899949968,-0.062,300.5274,106.13
5.096306099905632,-0.0617,300.5274,106.13
5.174055299954489,-0.062,300.5274,106.13
5.203562799957581,-0.062,300.5274,106.13
5.229076899937354,-0.062,299.5338,106.13
5.274085099925287,-0.0618,300.5274,105.138
5.319180299993604,-0.0619,300.5274,106.13
5.3643311999039724,-0.0618,300.5274,105.138
5.4093907999340445,-0.062,300.5274,105.138
5.454396400018595,-0.0619,299.5338,106.13
5.545094999950379,-0.0619,300.5274,106.13
5.621903599938378,-0.0619,299.5338,106.13
5.6876295999391004,-0.0617,300.5274,106.13
5.729798799962737,-0.0619,299.5338,106.13
5.759544599917717,-0.0618,300.5274,106.13
5.784307499998249,-0.062,300.5274,105.138
5.8141969999996945,-0.0619,300.5274,106.13
5.858915799995884,-0.0618,300.5274,106.13
5.90389239997603,-0.062,300.5274,106.13
5.995838099974208,-0.0619,299.5338,106.13
6.087366399937309,-0.0618,300.5274,106.13
6.106561299995519,-0.0618,299.5338,106.13
6.139777799951844,-0.0619,299.5338,105.138
6.174397900002077,-0.062,300.5274,106.13
6.221133799990639,-0.0618,300.5274,106.13
6.301764399977401,-0.062,300.5274,106.13
6.331994200008921,-0.0619,300.5274,107.122
6.3596995999105275,-0.062,299.5338,107.122
6.446506900014356,-0.0619,299.5338,106.13
6.543785199988633,-0.062,300.5274,106.13
6.570966599974781,-0.062,300.5274,106.13
6.606446099933237,-0.0619,301.52099999999996,106.13
6.63462869997602,-0.0618,301.52099999999996,106.13
6.669425999978557,-0.0619,300.5274,105.138
6.716407399973832,-0.0618,300.5274,106.13
6.814742799964733,-0.0619,300.5274,106.13
6.834528699982911,-0.0618,300.5274,106.13
6.8973265999229625,-0.0619,300.5274,106.13
6.994348099920899,-0.0619,300.5274,105.138
7.011689099948853,-0.0619,300.5274,106.13
7.04267009999603,-0.062,300.5274,106.13
7.0738915000110865,-0.0618,299.5338,106.13
7.1189450999954715,-0.062,300.5274,107.122
7.165802699979395,-0.062,299.5338,106.13
7.265983699937351,-0.0619,299.5338,106.13
7.301398699986748,-0.0618,299.5338,107.122
7.373726699966937,-0.0619,300.5274,106.13
7.404079700005241,-0.0618,299.5338,106.13
7.434270799974911,-0.0619,299.5338,107.122
7.479134799912572,-0.0618,300.5274,106.13
7.52420240000356,-0.0618,301.52099999999996,106.13
7.575567299965769,-0.0618,300.5274,106.13
7.653102500014938,-0.0618,300.5274,106.13
7.696547799976543,-0.0619,300.5274,106.13
7.72278670000378,-0.0619,300.5274,106.13
7.7957861999748275,-0.0619,298.54019999999997,107.122
7.88975540001411,-0.0619,300.5274,105.138
7.9034519999986514,-0.0619,300.5274,106.13
7.933665599906817,-0.0619,299.5338,105.138
7.973797300015576,-0.062,300.5274,106.13
8.018687199917622,-0.0619,300.5274,106.13
8.066570399911143,-0.0619,300.5274,106.13
8.165583699941635,-0.0618,300.5274,105.138
8.182526199962012,-0.0618,301.52099999999996,106.13
8.24581449991092,-0.0618,300.5274,106.13
8.330930799944326,-0.0618,300.5274,106.13
8.362175899907015,-0.0619,299.5338,106.13
8.389088699943386,-0.0619,300.5274,106.13
8.424802599940449,-0.062,300.5274,106.13
8.468741999939084,-0.062,300.5274,106.13
8.516067899996415,-0.062,300.5274,106.13
8.590135899954475,-0.0619,300.5274,107.122
8.621485100011341,-0.0619,300.5274,106.13
8.696484499960206,-0.0619,300.5274,106.13
8.801425599958748,-0.0619,299.5338,105.138
8.822320799925365,-0.0618,300.5274,106.13
8.876993699930608,-0.0618,298.54019999999997,106.13
8.914072599960491,-0.0619,299.5338,106.13
8.967189699993469,-0.0619,299.5338,105.138
8.98944119992666,-0.0622,300.5274,105.138
9.024100999929942,-0.062,300.5274,106.13
9.054360499954782,-0.062,299.5338,106.13
9.146281699999236,-0.0621,300.5274,106.13
9.231473699910566,-0.0621,299.5338,106.13
9.283584399963729,-0.062,299.5338,106.13
9.335013899952173,-0.0621,300.5274,106.13
9.364275299943984,-0.0621,299.5338,106.13
9.386859599966556,-0.062,299.5338,106.13
9.414619399933144,-0.062,299.5338,106.13
9.461028499994427,-0.062,299.5338,106.13
9.537712899968028,-0.062,300.5274,106.13
9.593715299968608,-0.062,300.5274,105.138
9.639185299980454,-0.062,298.54019999999997,106.13
9.68410249997396,-0.0621,300.5274,107.122
9.729243299923837,-0.0619,300.5274,105.138
9.774216199992225,-0.0621,300.5274,106.13
9.819232599926181,-0.062,300.5274,105.138
