Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.028143399977125227,-0.0632,3.441,11.89
0.15431819995865226,-0.0633,3.441,11.89
0.18259219999890774,-0.0633,3.441,11.89
0.21654090005904436,-0.0634,3.441,11.89
0.24750449997372925,-0.0632,3.441,11.89
0.2797722000395879,-0.0632,3.441,11.89
0.32390389998909086,-0.0632,3.441,11.89
0.38418040005490184,-0.0632,3.441,11.89
0.42919990001246333,-0.0632,3.441,11.89
0.47773569996934384,-0.0632,3.441,11.89
0.5352505999617279,-0.0633,3.441,11.89
0.5847319000167772,-0.0633,3.441,11.89
0.6242384000215679,-0.0632,4.4346,11.89
0.6842489000409842,-0.0633,3.441,11.89
0.7293034000322223,-0.0631,4.4346,11.89
0.7749560000374913,-0.0634,3.441,11.89
0.8347256999695674,-0.0634,3.441,11.89
0.8825818999903277,-0.0632,4.4346,11.89
0.925699400017038,-0.0632,3.441,11.89
0.9853422000305727,-0.0633,3.441,11.89
1.064316299976781,-0.0631,4.4346,11.89
1.1145160000305623,-0.0634,3.441,11.89
1.1557801000308245,-0.0632,3.441,11.89
1.1840476000215858,-0.0632,4.4346,11.89
1.2261138999601826,-0.0633,3.441,11.89
1.2972975999582559,-0.0632,3.441,11.89
1.3321744999848306,-0.0632,4.4346,11.89
1.376244500046596,-0.0633,3.441,11.89
1.4734354000538588,-0.0633,4.4346,11.89
1.5066009999718517,-0.0632,4.4346,11.89
1.5355561999604106,-0.0632,3.441,11.89
1.6166837000055239,-0.0631,3.441,11.89
1.7071789000183344,-0.0632,3.441,11.89
1.7291714999591932,-0.0632,3.441,11.89
1.7615802000509575,-0.0631,3.441,11.89
1.7937887000152841,-0.0632,3.441,11.89
1.8411765999626368,-0.0633,4.4346,11.89
1.9245584000600502,-0.0632,3.441,11.89
1.953838099958375,-0.0632,3.441,11.89
1.982088700053282,-0.0632,3.441,11.89
2.064022099948488,-0.0631,3.441,11.89
2.1153427000390366,-0.0632,3.441,11.89
2.1771970000118017,-0.0631,3.441,11.89
2.2343930000206456,-0.0632,4.4346,11.89
2.2684921000618488,-0.0633,3.441,11.89
2.298216999974102,-0.0632,3.441,11.89
