Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
0,1.48E-05,311.457,4.5198066,1.48E-05
0.05,1.48E-05,309.4698,6.5086674,1.48E-05
0.1,1.48E-05,308.4762,4.5198066,1.48E-05
0.15,0.000192606,310.4634,6.5086674,0.000192606
0.2,0.000192606,309.4698,2.5309458,0.000192606
0.25,1.48E-05,309.4698,6.5086674,1.48E-05
0.3,1.48E-05,308.4762,6.5086674,1.48E-05
0.35,1.48E-05,309.4698,4.5198066,1.48E-05
0.4,0.000370392,311.457,6.5086674,0.000370392
0.45,1.48E-05,308.4762,4.5198066,1.48E-05
0.5,1.48E-05,310.4634,6.5086674,1.48E-05
0.55,0.000192606,309.4698,6.5086674,0.000192606
0.6,0.000192606,309.4698,4.5198066,0.000192606
0.65,-0.000162966,307.4826,4.5198066,-0.000162966
0.7,-0.000162966,307.4826,4.5198066,-0.000162966
0.75,-0.000162966,309.4698,6.5086674,-0.000162966
0.8,1.48E-05,308.4762,20.430693,1.48E-05
0.85,1.48E-05,309.4698,22.4195538,1.48E-05
0.9,0.000192606,307.4826,34.3527186,0.000192606
0.95,0.000192606,309.4698,36.3415794,0.000192606
1,1.48E-05,309.4698,52.2524658,1.48E-05
1.05,1.48E-05,308.4762,54.2413266,1.48E-05
1.102,0.000370392,309.4698,50.263605,0.000370392
1.151,0.000370392,308.4762,64.1856306,0.000370392
1.201,0.000370392,309.4698,80.096517,0.000370392
1.25,0.000548178,310.4634,82.0853778,0.000548178
1.301,0.000725964,308.4762,96.0074034,0.000725964
1.35,0.00090375,310.4634,94.0185426,0.00090375
1.401,0.000725964,310.4634,109.929429,0.000725964
1.45,0.001081536,311.457,107.9405682,0.001081536
1.5,0.001081536,309.4698,107.9405682,0.001081536
1.551,0.001437108,309.4698,121.8625938,0.001437108
1.601,0.001259322,309.4698,121.8625938,0.001259322
1.651,0.001614894,309.4698,137.7734802,0.001614894
1.701,0.001970466,310.4634,139.762341,0.001970466
1.751,0.001437108,309.4698,141.7512018,0.001437108
1.801,0.00179268,310.4634,155.6732274,0.00179268
1.851,0.002503824,310.4634,151.6955058,0.002503824
1.901,0.001970466,310.4634,155.6732274,0.001970466
1.951,0.001970466,307.4826,169.595253,0.001970466
2.002,0.001970466,307.4826,171.5841138,0.001970466
2.051,0.00268161,305.4954,183.5172786,0.00268161
2.101,0.002859396,310.4634,183.5172786,0.002859396
2.151,0.002859396,310.4634,201.4170258,0.002859396
2.201,0.003214968,310.4634,199.428165,0.003214968
2.251,0.003214968,307.4826,213.3501906,0.003214968
2.301,0.003214968,308.4762,217.3279122,0.003214968
2.351,0.00357054,309.4698,229.261077,0.00357054
2.401,0.003926112,307.4826,229.261077,0.003926112
2.452,0.003926112,308.4762,227.2722162,0.003926112
2.501,0.004103898,309.4698,245.1719634,0.004103898
2.551,0.004815042,310.4634,259.093989,0.004815042
2.601,0.005170614,308.4762,259.093989,0.005170614
2.651,0.004992828,308.4762,275.0048754,0.004992828
2.701,0.0053484,310.4634,275.0048754,0.0053484
2.751,0.005703972,311.457,273.0160146,0.005703972
2.801,0.005526186,309.4698,290.9157618,0.005526186
2.851,0.00623733,308.4762,288.926901,0.00623733
2.901,0.00623733,306.489,302.8489266,0.00623733
2.951,0.00623733,308.4762,304.8377874,0.00623733
3.001,0.006770688,310.4634,318.759813,0.006770688
3.051,0.006948474,309.4698,320.7486738,0.006948474
3.101,0.006948474,310.4634,334.6706994,0.006948474
3.151,0.007304046,309.4698,336.6595602,0.007304046
3.201,0.007304046,307.4826,348.592725,0.007304046
3.251,0.007659618,309.4698,348.592725,0.007659618
3.301,0.007659618,311.457,366.4924722,0.007659618
3.351,0.007837404,308.4762,366.4924722,0.007837404
3.401,0.00801519,308.4762,362.5147506,0.00801519
3.451,0.00801519,308.4762,382.4033586,0.00801519
3.501,0.008192976,309.4698,396.3253842,0.008192976
3.551,0.008548548,310.4634,396.3253842,0.008548548
3.601,0.008370762,308.4762,410.2474098,0.008370762
3.651,0.00890412,310.4634,408.258549,0.00890412
3.701,0.00890412,309.4698,412.2362706,0.00890412
3.751,0.008726334,310.4634,412.2362706,0.008726334
3.802,0.008726334,307.4826,422.1805746,0.008726334
3.851,0.008726334,306.489,426.1582962,0.008726334
3.901,0.009259692,309.4698,438.091461,0.009259692
3.951,0.009081906,309.4698,455.9912082,0.009081906
4.001,0.009437478,308.4762,454.0023474,0.009437478
4.051,0.009259692,309.4698,469.9132338,0.009259692
4.101,0.009615264,309.4698,469.9132338,0.009615264
4.151,0.009437478,309.4698,483.8352594,0.009437478
4.201,0.00979305,311.457,485.8241202,0.00979305
4.252,0.009615264,309.4698,499.7461458,0.009615264
4.301,0.009437478,308.4762,499.7461458,0.009437478
4.352,0.00979305,309.4698,509.6904498,0.00979305
4.402,0.009970836,309.4698,523.6124754,0.009970836
4.451,0.010504194,310.4634,523.6124754,0.010504194
4.502,0.009970836,310.4634,539.5233618,0.009970836
4.551,0.010148622,307.4826,539.5233618,0.010148622
4.602,0.009970836,310.4634,555.4342482,0.009970836
4.651,0.009970836,309.4698,557.423109,0.009970836
4.702,0.009437478,305.4954,561.4008306,0.009437478
4.752,0.009970836,308.4762,569.3562738,0.009970836
4.802,0.00979305,308.4762,585.2671602,0.00979305
4.852,0.010326408,310.4634,587.256021,0.010326408
4.902,0.009615264,309.4698,605.1557682,0.009615264
4.952,0.010148622,309.4698,603.1669074,0.010148622
5.002,0.010326408,312.4506,601.1780466,0.010326408
5.052,0.009970836,308.4762,617.088933,0.009970836
5.102,0.010148622,309.4698,617.088933,0.010148622
5.152,0.009437478,306.489,634.9886802,0.009437478
5.202,0.010148622,309.4698,632.9998194,0.010148622
5.252,0.009615264,310.4634,648.9107058,0.009615264
5.302,0.00979305,309.4698,646.921845,0.00979305
5.352,0.009615264,309.4698,662.8327314,0.009615264
5.402,0.009615264,309.4698,660.8438706,0.009615264
5.452,0.009437478,309.4698,678.7436178,0.009437478
5.502,0.009437478,309.4698,678.7436178,0.009437478
5.552,0.009259692,310.4634,678.7436178,0.009259692
5.602,0.00890412,308.4762,692.6656434,0.00890412
5.652,0.008548548,305.4954,692.6656434,0.008548548
5.702,0.008192976,309.4698,712.5542514,0.008192976
5.752,0.008548548,310.4634,708.5765298,0.008548548
5.802,0.007837404,311.457,710.5653906,0.007837404
5.852,0.007481832,309.4698,724.4874162,0.007481832
5.902,0.00712626,308.4762,724.4874162,0.00712626
5.952,0.00623733,308.4762,740.3983026,0.00623733
6.002,0.005881758,309.4698,740.3983026,0.005881758
6.052,0.005170614,307.4826,752.3314674,0.005170614
6.102,0.004815042,307.4826,754.3203282,0.004815042
6.152,0.003926112,308.4762,772.2200754,0.003926112
6.202,0.003748326,307.4826,784.1532402,0.003748326
6.252,0.00357054,308.4762,786.142101,0.00357054
6.302,0.003392754,310.4634,788.1309618,0.003392754
6.352,0.002503824,308.4762,804.0418482,0.002503824
6.402,0.003037182,309.4698,802.0529874,0.003037182
6.452,0.002326038,309.4698,815.975013,0.002326038
6.502,0.002148252,307.4826,817.9638738,0.002148252
6.552,0.001970466,307.4826,815.975013,0.001970466
6.602,0.00179268,309.4698,831.8858994,0.00179268
6.652,0.001081536,310.4634,849.7856466,0.001081536
6.702,0.001437108,310.4634,847.7967858,0.001437108
6.752,0.000725964,311.457,865.696533,0.000725964
6.802,0.00090375,309.4698,861.7188114,0.00090375
6.852,0.000725964,310.4634,863.7076722,0.000725964
6.902,0.000192606,309.4698,879.6185586,0.000192606
6.952,0.000548178,310.4634,875.640837,0.000548178
7.002,1.48E-05,306.489,877.6296978,1.48E-05
7.052,-0.000162966,308.4762,893.5405842,-0.000162966
7.102,0.000370392,309.4698,905.473749,0.000370392
7.152,-0.000162966,311.457,909.4514706,-0.000162966
7.202,1.48E-05,310.4634,909.4514706,1.48E-05
7.252,1.48E-05,309.4698,925.362357,1.48E-05
7.302,-0.000340752,309.4698,925.362357,-0.000340752
7.352,-0.000162966,326.361,939.2843826,-0.000162966
7.403,-0.000162966,327.3546,937.2955218,-0.000162966
7.453,1.48E-05,328.3482,935.306661,1.48E-05
7.503,-0.000162966,347.2266,955.195269,-0.000162966
7.553,-0.000162966,364.1178,971.1061554,-0.000162966
7.602,-0.000162966,366.105,969.1172946,-0.000162966
7.653,-0.000162966,382.9962,997.6675194,-0.000162966
7.702,1.48E-05,384.9834,995.751273,1.48E-05
7.752,-0.000340752,385.977,997.6675194,-0.000340752
7.803,0.000192606,400.881,1009.164998,0.000192606
7.853,1.48E-05,401.8746,1007.248751,1.48E-05
7.903,0.000192606,418.7658,1024.494969,0.000192606
7.953,-0.000162966,434.6634,1041.741187,-0.000162966
8.003,1.48E-05,436.6506,1039.82494,1.48E-05
8.053,-0.000162966,437.6442,1043.657433,-0.000162966
8.103,0.000192606,454.5354,1055.154911,0.000192606
8.153,1.48E-05,455.529,1055.154911,1.48E-05
8.203,1.48E-05,470.433,1070.484883,1.48E-05
8.253,-0.000340752,471.4266,1072.401129,-0.000340752
8.303,-0.000162966,486.3306,1083.898607,-0.000162966
8.353,-0.000162966,488.3178,1087.7311,-0.000162966
8.403,1.48E-05,504.2154,1101.144825,1.48E-05
8.453,0.000192606,504.2154,1101.144825,0.000192606
8.503,-0.000340752,521.1066,1116.474796,-0.000340752
8.553,1.48E-05,521.1066,1114.55855,1.48E-05
8.603,-0.000162966,535.017,1131.804767,-0.000162966
8.653,1.48E-05,535.017,1129.888521,1.48E-05
8.703,1.48E-05,549.921,1145.218492,1.48E-05
8.753,-0.000340752,549.921,1145.218492,-0.000340752
8.803,1.48E-05,564.825,1158.632217,1.48E-05
8.853,-0.000162966,579.729,1175.878435,-0.000162966
8.903,0.000192606,578.7354,1173.962188,0.000192606
8.953,1.48E-05,578.7354,1175.878435,1.48E-05
9.003,1.48E-05,593.6394,1191.208406,1.48E-05
9.053,-0.000340752,593.6394,1195.040899,-0.000340752
9.103,1.48E-05,606.5562,1204.622131,1.48E-05
9.153,0.000192606,605.5626,1204.622131,0.000192606
9.203,1.48E-05,618.4794,1219.952102,1.48E-05
9.253,-0.000162966,617.4858,1219.952102,-0.000162966
9.303,1.48E-05,633.3834,1237.198319,1.48E-05
9.353,-0.000162966,645.3066,1252.528291,-0.000162966
9.403,0.000192606,643.3194,1250.612044,0.000192606
9.453,1.48E-05,641.3322,1248.695798,1.48E-05
9.503,-0.000162966,656.2362,1267.858262,-0.000162966
9.553,-0.000162966,654.249,1269.774508,-0.000162966
9.603,-0.000162966,664.185,1283.188233,-0.000162966
9.653,-0.000162966,663.1914,1277.439494,-0.000162966
9.703,1.48E-05,676.1082,1298.518204,1.48E-05
9.753,-0.000162966,688.0314,1311.931929,-0.000162966
9.803,1.48E-05,685.0506,1310.015683,1.48E-05
9.853,-0.000162966,696.9738,1327.2619,-0.000162966
9.903,-0.000518538,695.9802,1329.178147,-0.000518538
9.953,-0.000340752,707.9034,1344.508118,-0.000340752
10.003,1.48E-05,703.929,1344.508118,1.48E-05
10.053,-0.000162966,714.8586,1359.838089,-0.000162966
10.103,-0.000162966,712.8714,1359.838089,-0.000162966
10.153,-0.000162966,709.8906,1356.005596,-0.000162966
10.203,-0.000162966,720.8202,1373.251814,-0.000162966
10.253,1.48E-05,717.8394,1369.419321,1.48E-05
10.303,-0.000162966,716.8458,1371.335567,-0.000162966
10.353,-0.000162966,700.9482,1357.921843,-0.000162966
10.403,1.48E-05,698.961,1359.838089,1.48E-05
10.453,1.48E-05,698.961,1359.838089,1.48E-05
10.504,-0.000162966,686.0442,1344.508118,-0.000162966
10.554,-0.000340752,685.0506,1340.675625,-0.000340752
10.604,-0.000162966,671.1402,1329.178147,-0.000162966
10.653,0.000192606,670.1466,1323.429407,0.000192606
10.704,-0.000162966,657.2298,1308.099436,-0.000162966
10.753,-0.000162966,658.2234,1311.931929,-0.000162966
10.803,-0.000162966,660.2106,1313.848175,-0.000162966
10.854,-0.000162966,647.2938,1300.434451,-0.000162966
10.903,-0.000340752,649.281,1300.434451,-0.000340752
10.954,1.48E-05,649.281,1294.685711,1.48E-05
11.004,-0.000162966,635.3706,1281.271987,-0.000162966
11.057,0.000192606,637.3578,1279.35574,0.000192606
11.104,-0.000340752,626.4282,1269.774508,-0.000340752
11.154,-0.000162966,610.5306,1252.528291,-0.000162966
11.204,-0.000162966,612.5178,1250.612044,-0.000162966
11.254,1.48E-05,613.5114,1252.528291,1.48E-05
11.304,1.48E-05,601.5882,1235.282073,1.48E-05
11.354,-0.000162966,604.569,1239.114566,-0.000162966
11.404,-0.000162966,605.5626,1237.198319,-0.000162966
11.454,-0.000162966,592.6458,1223.784595,-0.000162966
11.504,1.48E-05,592.6458,1219.952102,1.48E-05
11.554,-0.000162966,580.7226,1208.454623,-0.000162966
11.604,-0.000340752,582.7098,1208.454623,-0.000340752
11.654,1.48E-05,583.7034,1206.538377,1.48E-05
11.704,-0.000162966,570.7866,1191.208406,-0.000162966
11.754,-0.000162966,571.7802,1191.208406,-0.000162966
