Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.03023849999954109,0.0074,266,1187
0.0755762999997387,0.0076,267,1189
0.12011160000020027,0.0076,267,1190
0.21065490000000864,0.0075,267,1190
0.2557735000000321,0.0074,267,1191
0.30030100000021775,0.0075,266,1188
0.34552199999961886,0.0071,268,1192
0.3900818000001891,0.0072,266,1189
0.4358190000002651,0.0073,267,1188
0.48034459999962564,0.0073,266,1190
0.5274104000000079,0.0075,267,1189
0.5708623000000443,0.0075,266,1189
0.6605115000002115,0.0076,266,1190
0.7058822999997574,0.0075,266,1192
0.7502310999998372,0.0076,267,1187
0.7956019000002925,0.0075,266,1189
0.8402426000002379,0.0073,267,1188
0.885741500000222,0.0072,267,1188
0.9302943000002415,0.0073,266,1190
0.9752037999996901,0.0075,266,1188
1.020065099999556,0.0075,266,1189
1.1103975999994873,0.0076,266,1191
1.1553378999997221,0.0076,267,1192
1.2003899999999703,0.0075,267,1188
1.2457862999999634,0.0075,266,1188
1.2901166000001467,0.0073,265,1188
1.3352397999997265,0.0072,268,1194
1.3801518000000215,0.0075,266,1189
1.425343900000371,0.0075,266,1187
1.4702129999996032,0.0075,266,1188
1.560134399999697,0.0075,267,1190
1.6053552000003037,0.0074,267,1192
1.6503136000001177,0.0076,267,1188
1.695517999999538,0.0075,267,1188
1.7408124000003227,0.0072,266,1189
1.7853704999997717,0.0072,266,1188
1.8304219000001467,0.0074,266,1188
1.8917840000003707,0.0076,267,1187
1.920970899999702,0.0074,265,1188
2.0104316999995717,0.0076,266,1192
2.055242999999791,0.0076,267,1192
2.1003615999998146,0.0075,268,1189
2.1452822999999626,0.0075,267,1188
2.190237900000284,0.0072,266,1188
2.23533899999984,0.0073,266,1189
2.2804212999999436,0.0074,265,1188
2.325559500000054,0.0074,268,1192
2.3701632000002064,0.0077,265,1187
2.461905199999819,0.0075,267,1190
2.5055027999997037,0.0075,266,1191
2.5504291999995985,0.0075,267,1189
2.5953066000001854,0.0076,266,1188
2.64049950000026,0.0072,266,1189
2.6855560000003607,0.0073,266,1188
2.730834400000276,0.0076,267,1191
2.775283400000262,0.009,266,0
2.8204704999998285,0.0082,267,0
2.9106031000001167,0.0079,265,12
2.9559818999996423,0.0078,266,13
3.000836700000036,0.0077,267,12
3.0457162000002427,0.0076,267,26
3.092360099999496,0.0075,265,26
3.135821799999576,0.0075,265,26
3.180208099999618,0.0077,267,40
3.225794400000268,0.0077,266,41
3.3158622000000832,0.0077,266,57
3.360603600000104,0.0077,269,56
3.405937100000301,0.0076,266,57
3.4502991999997903,0.0078,267,69
3.4958095000001776,0.0079,267,68
3.5412263999996867,0.0076,268,70
3.585365300000376,0.0075,266,83
3.631034500000169,0.0079,266,83
3.6758634999996502,0.0079,266,96
3.7202838000002885,0.008,266,96
3.811080200000106,0.0081,266,96
3.855819700000211,0.0082,267,111
3.9009618000000046,0.0082,267,112
3.946473799999694,0.0081,266,113
3.990501199999926,0.0077,266,126
4.035982800000056,0.008,266,125
4.080966800000169,0.0083,266,141
4.125710100000106,0.0085,267,140
4.170633699999598,0.0085,266,139
4.261073300000135,0.0087,267,153
4.305817499999648,0.0086,266,152
4.350866200000382,0.0086,269,152
4.395488000000114,0.0086,266,168
4.440881300000001,0.0086,266,169
4.486091900000247,0.0087,266,170
4.530421000000388,0.0092,266,181
4.57552620000024,0.0093,267,181
4.6655863999994835,0.0095,266,198
4.710432900000342,0.0097,267,198
4.7561445999999705,0.0096,267,198
4.8006280999998125,0.0097,267,209
4.846092099999623,0.0099,268,209
4.8958221000002595,0.01,265,209
4.935428499999944,0.0103,267,226
4.980366699999649,0.0105,268,225
5.025827599999502,0.0109,266,238
5.070351600000322,0.0112,267,238
5.160895799999707,0.0111,265,238
5.206014399999731,0.0115,267,253
5.250879799999893,0.0117,266,251
5.296119200000248,0.0118,267,253
5.340712799999892,0.0116,268,269
5.3860844000000725,0.0122,266,267
5.430656900000031,0.013,266,283
5.476034499999514,0.0132,266,282
5.520697500000097,0.0131,266,282
5.610742699999719,0.0137,266,296
5.656139400000029,0.0139,265,295
5.700833199999579,0.014,266,296
5.745380100000148,0.0143,267,309
5.7904200000002675,0.0148,265,309
5.836197800000264,0.0148,266,309
5.880599999999504,0.0155,266,324
5.925847800000156,0.0157,266,322
6.016234800000348,0.0166,266,341
6.060542000000169,0.0169,267,340
6.106323699999848,0.0171,265,340
6.150275500000134,0.0178,267,352
6.195720400000027,0.0179,266,351
6.241001800000049,0.0176,267,352
6.285571800000071,0.0185,265,367
6.330556199999592,0.019,268,367
6.3763097999999445,0.0198,266,380
6.466124399999899,0.02,266,380
6.511017199999515,0.0202,266,381
6.555497199999991,0.0211,266,397
6.600878600000215,0.0215,267,396
6.645805199999813,0.0213,266,396
6.690704900000128,0.0218,266,409
6.735569299999952,0.022,266,408
6.780978300000243,0.0231,267,424
6.825319700000364,0.0233,266,423
6.915927400000328,0.0235,266,424
6.960219499999766,0.0242,267,437
7.006225899999663,0.0244,265,436
7.051013000000239,0.0243,266,436
7.095632499999738,0.025,266,453
7.141008900000088,0.0252,266,451
7.185965099999521,0.0253,267,452
7.230120999999599,0.0261,266,465
7.275731800000358,0.0264,265,463
7.365706599999612,0.0266,268,481
7.410913099999561,0.0273,267,480
7.456235399999969,0.0269,266,480
7.5003310000001875,0.0277,267,494
7.546064600000136,0.0278,267,493
7.590727199999492,0.0277,266,493
7.6359167999999045,0.0282,267,509
7.682902399999875,0.0285,267,508
7.726218499999959,0.0288,266,522
7.815688200000295,0.0291,267,522
7.861277299999529,0.0288,266,522
7.905448800000158,0.0292,267,536
7.950920899999801,0.029,267,533
7.99631909999971,0.0291,266,535
8.040688099999898,0.029,266,550
8.085583799999768,0.0292,267,548
8.13106929999958,0.0294,267,565
8.176045299999714,0.0295,267,564
8.266076599999906,0.0291,266,565
8.31071460000021,0.0293,267,580
8.356091200000265,0.0289,268,579
8.400820400000157,0.029,266,577
8.445571100000052,0.0286,265,595
8.490395900000294,0.0288,266,593
8.535793299999568,0.0284,266,593
8.580515900000137,0.0285,266,605
8.626122699999542,0.0283,267,606
8.71586699999989,0.0282,266,624
8.760631699999976,0.0277,266,623
8.805965900000047,0.0277,267,625
8.850136699999894,0.0273,267,636
8.895468200000323,0.0272,267,635
8.940864799999872,0.0265,266,636
8.985353299999588,0.0263,265,651
9.030797000000348,0.0259,267,649
9.076126199999635,0.0256,266,665
