Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.014141900000140595,0.0002,277,1212
0.07360440000047674,0.0001,276,1211
0.10378200000013749,-0.0001,276,1209
0.16358100000070408,0.0002,277,1212
0.20847279999998136,-0.0,278,1210
0.25350479999997333,-0.0,277,1209
0.3135052000006908,0.0001,277,1211
0.3588679000004049,-0.0,277,1211
0.40354040000056557,-0.0001,278,1209
0.46349890000055893,0.0001,277,1212
0.5086733000007371,-0.0001,277,1211
0.5534756000006382,0.0001,277,1208
0.6163030000006984,0.0002,278,1216
0.6589958000004117,-0.0001,277,1210
0.7036950000001525,-0.0002,277,1209
0.7638848000005964,0.0002,277,1211
0.8084854000007908,-0.0,277,1216
0.8535015000006752,-0.0001,278,1210
0.9139296000003014,0.0002,276,1212
0.9586962000003041,-0.0,276,1212
1.003716500000337,0.0001,277,1208
1.063639800000601,0.0003,277,1212
1.1085485000003246,-0.0001,276,1212
1.1534891999999672,-0.0,278,1209
1.215994099999989,0.0001,277,1209
1.2587370000001101,0.0001,277,1212
1.3039447999999538,-0.0001,278,1208
1.363876500000515,0.0003,278,1211
1.408505200000036,-0.0,277,1213
1.4536209000007148,-0.0001,277,1208
1.5139598000005208,0.0001,278,1211
1.5739528000003702,-0.0001,276,1209
1.6186310000002777,-0.0002,276,1210
1.664039799999955,0.0003,276,1208
1.7084929000002376,0.0002,276,1208
1.753451600000517,0.0004,277,1208
1.84359300000051,0.0002,278,1215
1.8885361000002376,0.0003,277,1210
1.9335300000002462,0.0003,278,1209
1.978504000000612,0.0002,277,1208
2.0237114999999903,-0.0001,276,1209
2.0685825999998997,-0.0,276,1209
2.1135426000000734,0.0002,276,1210
2.1585229000002073,0.0002,278,1208
2.203550500000347,0.0003,277,1210
2.2959975000003396,0.0003,277,1211
2.339133500000571,0.0001,277,1211
2.384092100000089,0.0003,278,1208
2.4287498000003325,0.0003,278,1209
2.473652800000309,0.0001,277,1210
2.5186803000005966,-0.0002,277,1209
2.564178300000094,0.0003,277,1208
2.6116713000001255,0.0003,277,1208
2.6984768000002077,0.0002,277,1210
2.7435255999998844,0.0002,276,1213
2.78854180000053,0.0002,277,1211
2.8338346000000456,0.0001,278,1212
2.878610600000684,0.0002,277,1208
2.9236593000005087,-0.0001,276,1209
2.968647100000453,-0.0001,277,1208
3.0159794999999576,0.0002,278,1209
3.0587217000002056,0.0001,277,1209
3.1485722000006717,0.0003,277,1210
3.1936186000002635,0.0002,277,1212
3.2384282000002713,0.0002,276,1211
3.2836905000003753,0.0001,277,1209
3.3289509000005637,0.0002,277,1208
3.373856600000181,-0.0001,276,1208
3.4187243000005765,-0.0,277,1208
3.4635800000005474,0.0003,277,1208
3.5089270000007673,0.0003,277,1209
3.599141700000473,0.0003,276,1209
3.6436461000002964,0.0002,277,1210
3.6886833000007755,0.0003,277,1210
3.7335167000001093,0.0001,278,1208
3.7787177000000156,0.0003,277,1208
3.8235530000001745,-0.0002,279,1215
3.8687360000003537,-0.0001,278,1208
3.913708800000677,0.0001,276,1208
3.9590648000003057,0.0004,277,1209
4.048657800000001,0.0002,277,1210
4.093881300000248,0.0004,276,1211
4.139343700000609,0.0002,277,1211
4.184173399999963,-0.0004,278,1209
4.229138100000455,0.0003,278,1207
4.273510400000305,0.0001,277,1208
4.318751200000406,-0.0001,276,1209
4.36384580000049,0.0002,276,1209
4.408608700000514,0.0001,276,1208
4.499145800000406,0.0003,276,1209
4.54384040000059,0.0003,276,1211
4.588876400000117,0.0003,277,1209
4.633659699999953,0.0001,278,1208
4.678755300000375,0.0003,277,1208
4.723615900000368,-0.0002,278,1209
4.768543800000771,-0.0,276,1209
4.814450500000021,0.0003,278,1213
4.859567400000742,0.0002,277,1209
4.948657800000547,0.0009,8,23
4.993606800000634,0.0006,8,23
5.03885850000006,0.0005,8,22
5.083811600000445,0.0005,8,22
5.130983600000036,0.0004,9,23
5.174218300000575,0.0002,7,23
5.2187598000000435,-0.0,8,24
5.264174700000694,0.0003,8,23
5.308702100000119,0.0003,7,23
5.3991319000006115,0.0004,7,24
5.443703900000401,0.0002,8,22
5.488911800000096,0.0003,8,23
5.533965300000091,0.0001,8,24
5.578943100000288,0.0003,8,23
5.624177700000473,-0.0001,8,23
5.669271600000684,-0.0001,7,22
5.714028600000347,0.0002,7,23
5.75872260000051,0.0002,7,23
5.8489948000005825,0.0002,7,24
5.893463800000063,0.0002,8,23
5.939237200000207,0.0003,8,23
5.983666900000571,0.0003,9,23
6.028598100000636,0.0001,7,22
6.073493700000654,0.0001,8,23
6.118568300000334,-0.0,8,23
6.163638100000753,0.0002,7,24
6.208532900000137,0.0002,8,23
6.301334100000531,0.0002,8,23
6.343610800000533,0.0002,8,23
6.388721600000281,0.0003,7,23
6.433596700000635,0.0002,8,22
6.4785623000007035,0.0002,8,23
6.523627600000509,-0.0,8,23
6.568995000000541,-0.0001,8,23
6.614061900000706,0.0001,7,23
6.658616700000493,0.0002,7,23
6.74924590000046,0.0002,8,24
6.793548300000111,0.0002,7,23
6.838402600000336,0.0004,8,24
6.88351590000002,0.0002,8,23
6.928771200000483,0.0002,8,22
6.9736021000007895,-0.0001,6,23
7.01894590000029,-0.0,8,24
7.063719200000378,0.0004,8,24
7.108513600000151,0.0003,8,22
7.198774100000264,0.0001,9,22
7.243990700000722,0.0003,8,23
7.289077000000361,0.0001,8,23
7.333503000000746,0.0002,8,22
7.379069000000527,0.0002,8,23
7.424227299999984,-0.0,8,23
7.468903400000272,-0.0,8,24
7.5138004000000365,0.0001,8,22
7.559199100000114,0.0002,8,23
7.649291400000038,0.0003,8,23
7.693813000000773,0.0003,7,23
7.7385360000007495,0.0003,7,23
7.78359780000028,0.0002,8,23
7.828747500000645,0.0002,8,24
7.873827299999903,-0.0001,8,23
7.919126000000688,-0.0001,7,24
7.965179100000569,0.0003,8,23
8.008717900000192,0.0003,8,23
8.101190600000336,0.0001,8,24
8.143777799999953,0.0002,8,22
8.188790700000027,0.0002,8,22
8.233714100000725,0.0002,8,23
8.278654800000368,0.0002,8,23
8.325999500000762,-0.0001,8,23
8.371899300000223,-0.0,8,23
8.413769700000557,0.0002,8,23
8.458588500000587,0.0002,8,23
8.548870800000259,0.0002,8,23
8.594203600000583,0.0003,8,22
8.638812700000017,0.0002,8,23
8.684721000000536,0.0002,8,23
8.729025800000272,0.0002,7,22
8.773604599999999,-0.0,8,24
8.819048500000463,-0.0001,8,23
8.86365240000032,0.0003,8,22
8.908554100000401,0.0002,8,22
8.998772500000086,0.0002,7,23
9.043910100000176,0.0002,8,22
9.091409999999996,0.0002,7,24
9.133790800000497,0.0002,7,24
9.178680700000768,0.0001,8,23
9.223630100000264,-0.0,7,23
9.269107400000394,-0.0,8,23
9.31356660000074,0.0002,8,23
9.358660100000634,0.0001,8,22
9.449038600000677,0.0003,8,23
9.493902500000331,0.0003,8,22
9.539251800000784,0.0002,7,22
9.583793300000252,0.0002,8,23
9.628684300000714,0.0002,8,22
9.673561700000391,-0.0,8,23
9.718544300000758,-0.0001,7,23
9.76346090000061,0.0002,7,23
9.808797900000172,0.0002,8,24
9.900249900000745,0.0003,9,23
9.944178600000669,0.0002,8,23
9.989269900000181,0.0003,8,23
10.033994500000517,0.0003,7,22
10.07870180000009,0.0002,8,23
10.12385710000035,-0.0,7,23
10.168552600000112,-0.0001,8,23
10.213592800000697,0.0002,7,23
10.258950200000072,0.0003,8,23
10.34891300000072,0.0002,7,23
10.394002600000022,0.0002,8,23
10.441461700000218,0.0003,7,23
10.486834000000272,0.0001,8,24
10.528684700000667,0.0002,8,22
10.573761000000559,-0.0,7,23
10.621322500000133,-0.0001,8,23
10.66377840000041,0.0003,7,22
10.708994900000107,0.0002,8,23
10.798987600000146,0.0001,8,22
10.84403790000033,0.0003,8,23
10.889027300000635,0.0002,8,22
10.934002800000599,0.0002,7,23
10.97858030000043,-0.0,7,23
11.023818600000595,-0.0,7,23
11.068788300000051,-0.0001,8,24
11.113548199999968,0.0002,7,23
11.158649300000434,0.0002,7,22
11.248994000000494,0.0002,7,23
11.293828200000462,0.0004,7,23
11.338579400000526,0.0003,8,22
11.383917699999984,0.0002,8,23
11.428852400000324,0.0001,7,22
11.473896700000296,-0.0,8,22
11.51856560000033,0.0001,7,23
11.56429079999998,0.0003,7,23
11.608678399999917,0.0002,7,23
11.699170900000354,0.0003,7,22
11.743585100000018,0.0002,7,22
11.788804400000117,0.0002,8,22
11.834075600000688,0.0002,8,22
11.878779800000302,0.0001,8,21
11.923629200000505,0.0001,8,24
11.968609300000026,-0.0,8,23
12.013759600000412,0.0003,7,23
12.058578200000738,0.0002,8,23
12.148646600000575,0.0003,7,23
12.19353140000021,0.0002,8,23
12.238615500000378,0.0001,8,23
12.283959600000344,0.0003,8,23
12.328690900000765,-0.0,8,21
12.3737727000007,0.0001,7,23
12.418837500000336,-0.0,7,22
12.4637158000005,0.0002,8,23
12.508813299999929,0.0001,7,24
12.599278100000447,0.0002,7,23
12.644082400000116,0.0002,7,23
12.688691600000311,0.0002,9,22
12.733942800000477,0.0002,7,22
12.779352900000049,0.0001,8,24
12.823638300000312,-0.0,9,23
12.86863810000068,-0.0001,7,21
12.913535700000466,0.0002,8,22
12.958511400000134,0.0003,8,22
13.048986400000103,0.0001,8,23
13.093625400000747,0.0002,7,22
13.138695200000257,0.0002,8,24
13.183574300000146,0.0002,7,23
13.228630900000098,-0.0,8,22
13.273806700000023,-0.0,8,23
13.31861360000039,0.0001,7,23
13.36382440000034,0.0003,8,22
13.408753100000467,0.0002,8,22
