Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
0.0634727,-0.00087411,3.441,11.89,-0.00087411
0.1078902,-0.000696324,3.441,11.89,-0.000696324
0.1520469,-0.000696324,3.441,11.89,-0.000696324
0.196574,-0.000696324,3.441,11.89,-0.000696324
0.2420966,-0.000696324,3.441,11.89,-0.000696324
0.2867688,-0.00087411,3.441,11.89,-0.00087411
0.3325332,-0.000518538,3.441,11.89,-0.000518538
0.3772524,-0.000518538,3.441,11.89,-0.000518538
0.4227921,-0.000696324,3.441,11.89,-0.000696324
0.5133921,-0.000696324,3.441,11.89,-0.000696324
0.557041,-0.000518538,3.441,11.89,-0.000518538
0.6027199,-0.000518538,3.441,11.89,-0.000518538
0.6488259,-0.000696324,3.441,11.89,-0.000696324
0.6924886,-0.00087411,3.441,11.89,-0.00087411
0.7376958,-0.000696324,3.441,11.89,-0.000696324
0.7825315,-0.000696324,3.441,11.89,-0.000696324
0.8281678,-0.000518538,3.441,11.89,-0.000518538
0.8730502,-0.000696324,3.441,11.89,-0.000696324
0.9635265,-0.000162966,304.5018,11.89,-0.000162966
1.0084625,-0.000340752,304.5018,11.89,-0.000340752
1.0533405,-0.000162966,304.5018,15.858,-0.000162966
1.1416315,-0.000340752,304.5018,14.866,-0.000340752
1.153959,-0.000340752,303.5082,22.802,-0.000340752
1.1874972,-0.000518538,304.5018,23.794,-0.000518538
1.2335885,-0.000162966,305.4954,30.738,-0.000162966
1.2788439,-0.000162966,303.5082,38.674,-0.000162966
1.3225586,0.000370392,304.5018,37.682,0.000370392
1.4133896,1.48E-05,304.5018,45.618,1.48E-05
1.4578084,-0.000162966,305.4954,46.61,-0.000162966
1.5026116,0.000192606,303.5082,52.562,0.000192606
1.548747,1.48E-05,304.5018,52.562,1.48E-05
1.5934418,0.000192606,305.4954,60.498,0.000192606
1.6383431,0.000548178,303.5082,60.498,0.000548178
1.6827259,0.000370392,303.5082,69.426,0.000370392
1.7280833,0.000548178,304.5018,76.37,0.000548178
1.7728185,0.000725964,303.5082,76.37,0.000725964
1.8634979,0.000548178,304.5018,83.314,0.000548178
1.9093429,0.00090375,303.5082,83.314,0.00090375
1.952751,0.001081536,304.5018,91.25,0.001081536
1.9982799,0.001259322,305.4954,90.258,0.001259322
2.0426051,0.001259322,304.5018,99.186,0.001259322
2.0880109,0.001259322,303.5082,99.186,0.001259322
2.1324608,0.001614894,303.5082,106.13,0.001614894
2.1777609,0.002148252,303.5082,114.066,0.002148252
2.2229989,0.002148252,304.5018,113.074,0.002148252
2.3136636,0.002326038,304.5018,122.002,0.002326038
2.3586626,0.002503824,304.5018,122.994,0.002503824
2.4025587,0.002503824,303.5082,129.938,0.002503824
2.4478319,0.002859396,303.5082,129.938,0.002859396
2.4927811,0.003392754,304.5018,136.882,0.003392754
2.5386077,0.003037182,304.5018,137.874,0.003037182
2.5826771,0.003748326,304.5018,144.818,0.003748326
2.6288646,0.004281684,304.5018,152.754,0.004281684
2.6720874,0.004281684,304.5018,151.762,0.004281684
2.7642063,0.00445947,304.5018,152.754,0.00445947
2.8080734,0.004815042,303.5082,158.706,0.004815042
2.8540158,0.004815042,303.5082,159.698,0.004815042
2.8981042,0.0053484,303.5082,166.642,0.0053484
2.9434175,0.005526186,303.5082,165.65,0.005526186
2.9877568,0.00623733,303.5082,174.578,0.00623733
3.0337054,0.006770688,304.5018,175.57,0.006770688
3.0772216,0.006770688,304.5018,182.514,0.006770688
3.1232431,0.007304046,304.5018,183.506,0.007304046
3.2134978,0.007659618,304.5018,190.45,0.007659618
3.2581275,0.008192976,304.5018,189.458,0.008192976
3.3032639,0.008370762,304.5018,198.386,0.008370762
3.348604,0.009081906,304.5018,196.402,0.009081906
3.3928026,0.009437478,304.5018,204.338,0.009437478
3.4387233,0.009970836,304.5018,205.33,0.009970836
3.482979,0.01068198,304.5018,213.266,0.01068198
3.5283021,0.01157091,304.5018,220.21,0.01157091
3.5720722,0.012104268,304.5018,220.21,0.012104268
3.6643981,0.012104268,304.5018,220.21,0.012104268
3.7076205,0.012637626,303.5082,228.146,0.012637626
3.7525295,0.01334877,304.5018,227.154,0.01334877
3.7974472,0.014059914,304.5018,236.082,0.014059914
3.8421772,0.014771058,305.4954,236.082,0.014771058
3.887595,0.015482202,304.5018,243.026,0.015482202
3.9324176,0.015837774,303.5082,243.026,0.015837774
3.9779487,0.01690449,304.5018,249.97,0.01690449
4.0682931,0.017971206,303.5082,257.906,0.017971206
