Time (s),Channel 1 (mV),Channel 2 (mV)
0.014679400017485023,1,2
0.05899920011870563,1,1
0.11936650006100535,1,1
0.16407759999856353,1,1
0.20921170013025403,1,2
0.26914059999398887,1,2
0.3148425000254065,1,2
0.35907040000893176,1,1
0.41934670018963516,1,2
0.4640610001515597,1,2
0.5090885001700372,1,2
0.5693610000889748,1,2
0.6141535001806915,1,1
0.6590700000524521,1,2
0.7190563001204282,1,1
0.764273300068453,1,2
0.8091289000585675,1,2
0.8690496000926942,1,1
0.9144675000570714,1,1
0.9590488001704216,1,2
1.0191994002088904,1,2
1.0642923000268638,1,2
1.1091737002134323,1,2
1.1692034001462162,1,1
1.2148166000843048,1,1
1.2741210001986474,1,1
1.3192384000867605,1,2
1.3641662001609802,1,2
1.4243689000140876,1,2
1.4691711000632495,0,2
1.5142960001248866,1,1
1.5741999000310898,1,1
1.6191004000138491,1,2
1.6641123001463711,1,1
1.7090894000139087,1,2
1.7990311000030488,1,2
1.844380100024864,1,1
1.8891304000280797,1,1
1.9341251000296324,1,2
1.9793393001891673,1,1
2.0239266001153737,1,2
2.0691800999920815,1,1
2.1143682000692934,1,1
