Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.06661790004000068,1,2,1
0.11172319995239377,1,1,1
0.1385149999987334,1,2,1
0.18656990001909435,1,1,1
0.23144719982519746,1,2,1
0.27673799986951053,1,1,1
0.3368559000082314,1,2,1
0.38189159985631704,1,1,1
0.44177729985676706,1,1,1
0.48665830004028976,2,1,1
0.5318578998558223,1,2,1
0.5765521998982877,1,1,0
0.63655069982633,1,2,1
0.6815235000103712,1,1,1
0.7417615000158548,1,1,1
0.7868635999038815,1,1,1
0.831806099973619,0,1,1
0.891635499894619,1,1,1
0.9366611000150442,1,2,1
0.9818992998916656,2,1,1
1.0416536000557244,1,2,1
1.0866886998992413,1,1,1
1.131717599928379,1,2,1
1.1920029998291284,1,0,1
1.2368377998936921,1,2,1
1.28174680005759,1,1,1
1.3419154998846352,2,2,1
1.3866186998784542,1,0,1
1.461869099875912,1,2,1
1.5069987999740988,1,1,1
1.5520664998330176,1,2,1
1.5966934999451041,1,1,1
1.6416167998686433,1,2,1
1.6865336999762803,1,1,1
1.7315709998365492,1,2,1
1.8216401999816298,1,1,1
1.8664555000141263,1,2,1
1.9115728999022394,1,1,1
1.9565917998552322,1,1,1
2.001778099918738,1,1,1
2.046656999969855,1,1,1
2.0918676999863237,1,0,1
2.136604500003159,1,2,1
2.181643099989742,1,1,1
2.2717714000027627,1,2,1
2.316655399976298,1,1,1
2.3616515998728573,0,2,1
2.4066393999382854,1,1,1
2.4516981998458505,0,2,1
2.496822400018573,1,1,1
2.5424255998805165,1,2,1
2.586667399853468,1,1,1
2.6316358998883516,1,2,2
2.72171189985238,1,1,1
2.7666299999691546,1,2,1
2.8118521999567747,1,1,1
2.8567033000290394,1,2,1
2.901633899891749,1,1,1
2.946720599895343,1,2,1
2.9918128000572324,1,1,1
3.0367403000127524,1,2,1
3.0817692999262363,1,1,1
3.171592699829489,1,2,1
3.2166720998939127,2,0,1
3.2625372998882085,1,2,1
3.3068929999135435,1,0,1
3.351692199939862,1,2,1
3.396742699900642,2,1,1
3.4419380000326782,1,2,1
3.4868516998831183,1,1,2
3.5317038998473436,1,2,1
3.6219509998336434,1,1,1
3.666675499873236,1,4,1
