Time,VG (mV),IDS (mA),VDS (mV)
0.0,9.0,0.0029,1527.0
0.07763953738742405,20.0,0.0031,1957.0
0.1552790747748481,32.0,0.0032,1978.0
0.23291861216227214,43.0,0.0032,2035.0
0.3105581495496962,55.0,0.0035,2057.0
0.3881976869371202,66.0,0.0033,2070.0
0.4658372243245443,76.0,0.0033,2081.0
0.5434767617119683,88.0,0.0035,2085.0
0.6211162990993924,98.0,0.0038,2094.0
0.6987558364868164,111.0,0.004,2104.0
0.7763953738742404,121.0,0.0036,2110.0
0.8540349112616645,132.0,0.0039,2108.0
0.9316744486490885,143.0,0.0043,2110.0
1.0093139860365126,154.0,0.0048,2125.0
1.0869535234239367,165.0,0.0048,2125.0
1.1645930608113606,177.0,0.005,2129.0
1.2422325981987847,188.0,0.0053,2134.0
1.3198721355862089,200.0,0.006,2139.0
1.3975116729736328,210.0,0.0066,2144.0
1.475151210361057,222.0,0.0068,2146.0
1.5527907477484808,234.0,0.0072,2145.0
1.630430285135905,245.0,0.008,2147.0
1.708069822523329,257.0,0.0089,2157.0
1.785709359910753,266.0,0.0094,2160.0
1.863348897298177,278.0,0.0101,2163.0
1.9409884346856012,290.0,0.0109,2160.0
2.018627972073025,301.0,0.012,2166.0
2.096267509460449,312.0,0.0129,2170.0
2.1739070468478734,322.0,0.0136,2177.0
2.2515465842352973,333.0,0.0148,2173.0
2.329186121622721,346.0,0.0158,2173.0
2.4068256590101456,356.0,0.0171,2185.0
2.4844651963975695,368.0,0.0179,2181.0
2.5621047337849934,377.0,0.0189,2186.0
2.6397442711724177,390.0,0.0198,2181.0
2.7173838085598416,402.0,0.0208,2186.0
2.7950233459472655,414.0,0.0217,2188.0
2.87266288333469,425.0,0.0218,2196.0
2.950302420722114,436.0,0.0225,2188.0
3.0279419581095377,449.0,0.0227,2184.0
3.1055814954969616,459.0,0.0229,2194.0
3.183221032884386,468.0,0.0228,2189.0
3.26086057027181,479.0,0.0223,2189.0
3.3385001076592338,491.0,0.022,2183.0
3.416139645046658,501.0,0.0218,2186.0
3.493779182434082,513.0,0.0212,2190.0
3.571418719821506,522.0,0.0204,2185.0
3.6490582572089303,535.0,0.0197,2182.0
3.726697794596354,547.0,0.019,2179.0
3.804337331983778,560.0,0.0178,2180.0
3.8819768693712025,571.0,0.0168,2181.0
3.9596164067586264,580.0,0.0159,2177.0
4.03725594414605,596.0,0.0145,2170.0
4.114895481533474,605.0,0.0138,2172.0
4.192535018920898,619.0,0.0125,2171.0
4.270174556308323,627.0,0.0099,2148.0
4.347814093695747,640.0,0.0062,2135.0
4.425453631083171,651.0,0.0057,2126.0
4.503093168470595,662.0,0.0054,2124.0
4.5807327058580185,672.0,0.0046,2122.0
4.658372243245442,682.0,0.0042,2112.0
4.736011780632867,694.0,0.0041,2100.0
4.813651318020291,707.0,0.0042,2100.0
4.891290855407715,715.0,0.004,2099.0
4.968930392795139,727.0,0.0033,2092.0
5.046569930182563,741.0,0.0033,2089.0
5.124209467569987,753.0,0.0034,2076.0
5.201849004957411,766.0,0.0036,2066.0
5.2794885423448354,775.0,0.0031,2049.0
5.357128079732259,787.0,0.0031,2015.0
5.434767617119683,802.0,0.0029,1897.0
5.512407154507107,813.0,0.0033,1538.0
5.590046691894531,823.0,0.003,912.0
5.667686229281955,831.0,0.003,728.0
5.74532576666938,844.0,0.003,749.0
5.822965304056804,855.0,0.003,872.0
5.900604841444228,866.0,0.0033,993.0
5.9782443788316515,875.0,0.0029,1160.0
6.055883916219075,886.0,0.0028,1398.0
6.133523453606499,899.0,0.0029,1666.0
6.211162990993923,909.0,0.0033,1931.0
6.288802528381348,923.0,0.0033,1991.0
6.366442065768772,931.0,0.0029,1979.0
6.444081603156196,948.0,0.0028,1856.0
6.52172114054362,960.0,0.0031,1605.0
6.599360677931044,971.0,0.0032,1367.0
6.6770002153184675,979.0,0.003,1155.0
6.754639752705892,992.0,0.0029,986.0
6.832279290093316,1006.0,0.0029,963.0
6.90991882748074,1016.0,0.0033,945.0
6.987558364868164,1025.0,0.0031,969.0
7.065197902255588,1034.0,0.003,1070.0
7.142837439643012,1044.0,0.003,1298.0
7.220476977030437,1057.0,0.0032,1584.0
7.298116514417861,1072.0,0.0033,1868.0
7.3757560518052845,1079.0,0.0027,1995.0
7.453395589192708,1095.0,0.0029,1987.0
7.531035126580132,1110.0,0.003,1876.0
7.608674663967556,1122.0,0.0029,1677.0
7.68631420135498,1132.0,0.003,1438.0
7.763953738742405,1142.0,0.003,1181.0
7.841593276129829,1157.0,0.0027,1029.0
7.919232813517253,1169.0,0.0033,1012.0
7.996872350904677,1177.0,0.0032,1009.0
8.0745118882921,1183.0,0.0029,1061.0
8.152151425679525,1195.0,0.0029,1217.0
8.229790963066948,1209.0,0.0031,1511.0
8.307430500454373,1221.0,0.0034,1804.0
8.385070037841796,1228.0,0.0028,1981.0
8.462709575229221,1244.0,0.003,1991.0
8.540349112616646,1260.0,0.003,1907.0
8.617988650004069,1272.0,0.0033,1678.0
8.695628187391494,1283.0,0.0031,1421.0
8.773267724778917,1292.0,0.0029,1153.0
8.850907262166341,1309.0,0.0029,946.0
8.928546799553764,1318.0,0.0032,905.0
9.00618633694119,1331.0,0.0032,873.0
9.083825874328614,1334.0,0.0029,859.0
9.161465411716037,1348.0,0.0029,956.0
9.239104949103462,1359.0,0.003,1183.0
9.316744486490885,1368.0,0.0032,1440.0
9.39438402387831,1356.0,0.0031,1762.0
9.472023561265734,1345.0,0.0029,1981.0
9.549663098653157,1341.0,0.0029,1958.0
9.627302636040582,1332.0,0.0033,1791.0
9.704942173428005,1321.0,0.0031,1535.0
9.78258171081543,1306.0,0.0027,1285.0
9.860221248202853,1300.0,0.003,1041.0
9.937860785590278,1286.0,0.0032,1024.0
10.015500322977703,1274.0,0.0033,1024.0
10.093139860365126,1260.0,0.0029,1053.0
10.17077939775255,1245.0,0.0029,1149.0
10.248418935139973,1233.0,0.003,1400.0
10.326058472527398,1222.0,0.0033,1702.0
10.403698009914821,1208.0,0.0031,1941.0
10.481337547302246,1197.0,0.003,1994.0
10.558977084689671,1193.0,0.0028,1968.0
10.636616622077094,1182.0,0.0033,1816.0
10.714256159464519,1170.0,0.0031,1564.0
10.791895696851942,1156.0,0.0029,1312.0
10.869535234239367,1148.0,0.0029,1111.0
10.947174771626791,1137.0,0.003,1102.0
11.024814309014214,1124.0,0.0034,1087.0
11.10245384640164,1106.0,0.0029,1102.0
11.180093383789062,1095.0,0.0031,1171.0
11.257732921176487,1085.0,0.003,1369.0
11.33537245856391,1072.0,0.0034,1653.0
11.413011995951335,1059.0,0.0029,1868.0
11.49065153333876,1048.0,0.0026,1999.0
11.568291070726183,1040.0,0.003,1990.0
11.645930608113607,1029.0,0.0033,1944.0
11.72357014550103,1020.0,0.0033,1765.0
11.801209682888455,1007.0,0.0029,1546.0
11.878849220275878,996.0,0.0028,1269.0
