Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
0,0.000192606,960.2778,20.430693,0.05,20
0.05,-0.000162966,956.3034,20.430693,0.05,20
0.1,1.48E-05,956.3034,20.430693,0.05,20
0.15,0.000192606,956.3034,18.4418322,0.05,20
0.2,0.000192606,959.2842,18.4418322,0.05,20
0.25,0.000370392,956.3034,18.4418322,0.05,20
0.3,-0.000162966,957.297,20.430693,0.05,20
0.35,0.000370392,955.3098,18.4418322,0.05,20
0.4,-0.000340752,961.2714,22.4195538,0.05,20
0.45,1.48E-05,954.3162,18.4418322,0.05,20
0.5,0.000370392,957.297,16.4529714,0.05,20
0.55,0.000370392,956.3034,16.4529714,0.05,20
0.6,1.48E-05,959.2842,18.4418322,0.05,20
0.65,0.000192606,957.297,20.430693,0.05,20
0.7,1.48E-05,959.2842,22.4195538,0.05,20
0.75,0.000192606,958.2906,20.430693,0.05,20
0.8,0.000192606,958.2906,18.4418322,0.05,20
0.85,0.000192606,960.2778,24.4084146,0.051,19.60784314
0.901,0.000370392,959.2842,18.4418322,0.049,20.40816327
0.95,0.000192606,958.2906,18.4418322,0.05,20
1,0.000370392,960.2778,18.4418322,0.051,19.60784314
1.051,-0.000162966,957.297,18.4418322,0.05,20
1.101,0.000192606,959.2842,18.4418322,0.049,20.40816327
1.15,0.000192606,958.2906,18.4418322,0.051,19.60784314
1.201,0.000370392,962.265,18.4418322,0.05,20
1.251,0.000192606,959.2842,20.430693,0.049,20.40816327
1.3,0.000192606,961.2714,20.430693,0.05,20
1.35,0.000192606,958.2906,20.430693,0.05,20
1.4,0.000370392,960.2778,18.4418322,0.05,20
1.45,0.000192606,957.297,20.430693,0.05,20
1.5,0.000192606,960.2778,18.4418322,0.05,20
1.55,1.48E-05,959.2842,22.4195538,0.051,19.60784314
1.601,0.000192606,962.265,22.4195538,0.05,20
1.651,0.000192606,956.3034,18.4418322,0.05,20
1.701,0.000370392,961.2714,18.4418322,0.05,20
1.751,0.000370392,958.2906,20.430693,0.05,20
1.801,0.000370392,958.2906,18.4418322,0.05,20
1.851,0.000370392,957.297,20.430693,0.05,20
1.901,0.000192606,960.2778,18.4418322,0.05,20
1.951,1.48E-05,959.2842,22.4195538,0.05,20
2.001,1.48E-05,959.2842,20.430693,0.05,20
2.051,0.000192606,961.2714,20.430693,0.05,20
2.101,1.48E-05,960.2778,18.4418322,0.05,20
2.151,1.48E-05,957.297,20.430693,0.05,20
2.201,0.000370392,959.2842,20.430693,0.05,20
2.251,0.000192606,959.2842,20.430693,0.05,20
2.301,0.000370392,960.2778,18.4418322,0.05,20
2.351,0.000370392,957.297,20.430693,0.05,20
2.401,0.000370392,958.2906,18.4418322,0.05,20
2.451,0.000192606,958.2906,20.430693,0.05,20
2.501,0.000192606,958.2906,18.4418322,0.05,20
2.551,0.000192606,959.2842,20.430693,0.05,20
2.601,0.000192606,957.297,16.4529714,0.05,20
2.651,0.000192606,960.2778,20.430693,0.05,20
2.701,0.000192606,961.2714,18.4418322,0.05,20
2.751,1.48E-05,960.2778,22.4195538,0.05,20
2.801,0.000192606,958.2906,18.4418322,0.05,20
2.851,1.48E-05,957.297,20.430693,0.05,20
2.901,0.000192606,961.2714,18.4418322,0.05,20
2.951,1.48E-05,958.2906,20.430693,0.05,20
3.001,1.48E-05,959.2842,18.4418322,0.05,20
3.051,0.000192606,959.2842,18.4418322,0.05,20
3.101,0.000192606,957.297,18.4418322,0.05,20
3.151,0.000192606,958.2906,18.4418322,0.05,20
3.201,-0.000162966,959.2842,22.4195538,0.05,20
3.251,0.000370392,958.2906,18.4418322,0.05,20
3.301,0.000192606,960.2778,20.430693,0.05,20
3.351,0.000192606,957.297,18.4418322,0.05,20
3.401,0.000192606,960.2778,20.430693,0.05,20
3.451,0.000192606,958.2906,20.430693,0.05,20
3.501,-0.000162966,35.2362,18.4418322,0.05,20
3.551,-0.000162966,33.249,20.430693,0.05,20
3.601,1.48E-05,35.2362,20.430693,0.05,20
3.651,1.48E-05,35.2362,20.430693,0.05,20
3.701,0.000192606,72.993,18.4418322,0.05,20
3.751,-0.000162966,98.8266,22.4195538,0.05,20
3.801,-0.000340752,113.7306,18.4418322,0.05,20
3.851,0.000192606,126.6474,18.4418322,0.05,20
3.901,1.48E-05,134.5962,18.4418322,0.05,20
3.951,1.48E-05,142.545,18.4418322,0.05,20
4.001,-0.000162966,149.5002,18.4418322,0.05,20
4.051,-0.000162966,156.4554,22.4195538,0.05,20
4.101,-0.000162966,160.4298,20.430693,0.05,20
4.151,1.48E-05,166.3914,20.430693,0.05,20
4.201,0.000192606,170.3658,18.4418322,0.05,20
4.251,0.000192606,174.3402,18.4418322,0.05,20
4.301,-0.000162966,177.321,18.4418322,0.051,19.60784314
4.352,-0.000340752,180.3018,18.4418322,0.05,20
4.402,1.48E-05,182.289,18.4418322,0.049,20.40816327
4.451,1.48E-05,185.2698,20.430693,0.05,20
4.501,1.48E-05,187.257,20.430693,0.05,20
4.551,1.48E-05,189.2442,18.4418322,0.05,20
4.601,0.000192606,190.2378,18.4418322,0.05,20
4.651,1.48E-05,192.225,20.430693,0.051,19.60784314
4.702,0.000192606,193.2186,18.4418322,0.05,20
4.752,1.48E-05,196.1994,20.430693,0.05,20
4.802,1.48E-05,197.193,20.430693,0.05,20
4.852,1.48E-05,199.1802,20.430693,0.05,20
4.902,1.48E-05,199.1802,18.4418322,0.05,20
4.952,-0.000162966,201.1674,20.430693,0.05,20
5.002,0.000192606,202.161,18.4418322,0.05,20
5.052,-0.000340752,202.161,20.430693,0.05,20
5.102,-0.000162966,202.161,20.430693,0.05,20
5.152,1.48E-05,205.1418,20.430693,0.05,20
5.202,-0.000162966,205.1418,18.4418322,0.05,20
5.252,-0.000162966,205.1418,18.4418322,0.05,20
5.302,-0.000162966,206.1354,20.430693,0.05,20
5.352,1.48E-05,207.129,20.430693,0.05,20
5.402,1.48E-05,206.1354,16.4529714,0.05,20
5.452,1.48E-05,208.1226,18.4418322,0.05,20
5.502,1.48E-05,208.1226,18.4418322,0.05,20
5.552,-0.000162966,208.1226,20.430693,0.05,20
5.602,-0.000162966,209.1162,20.430693,0.05,20
5.652,-0.000162966,210.1098,20.430693,0.05,20
5.702,1.48E-05,208.1226,16.4529714,0.05,20
5.752,0.000192606,209.1162,16.4529714,0.05,20
5.802,1.48E-05,210.1098,20.430693,0.05,20
5.852,-0.000340752,211.1034,20.430693,0.05,20
5.902,-0.000162966,211.1034,20.430693,0.05,20
5.952,0.000192606,210.1098,18.4418322,0.05,20
6.002,1.48E-05,210.1098,18.4418322,0.05,20
6.052,1.48E-05,212.097,18.4418322,0.05,20
6.102,1.48E-05,212.097,20.430693,0.05,20
6.152,-0.000162966,212.097,18.4418322,0.05,20
6.202,1.48E-05,211.1034,18.4418322,0.05,20
6.252,1.48E-05,213.0906,20.430693,0.05,20
6.302,-0.000162966,213.0906,20.430693,0.05,20
6.352,1.48E-05,213.0906,18.4418322,0.05,20
6.402,1.48E-05,213.0906,18.4418322,0.05,20
6.452,1.48E-05,214.0842,18.4418322,0.05,20
6.502,1.48E-05,213.0906,20.430693,0.05,20
6.552,1.48E-05,215.0778,20.430693,0.05,20
6.602,1.48E-05,214.0842,20.430693,0.05,20
6.652,-0.000162966,215.0778,20.430693,0.05,20
6.702,0.000192606,213.0906,18.4418322,0.05,20
6.752,0.000192606,215.0778,20.430693,0.05,20
6.802,1.48E-05,214.0842,20.430693,0.05,20
6.852,1.48E-05,215.0778,18.4418322,0.05,20
6.902,-0.000162966,216.0714,20.430693,0.05,20
6.952,-0.000162966,218.0586,20.430693,0.05,20
7.002,1.48E-05,216.0714,20.430693,0.05,20
7.052,1.48E-05,218.0586,18.4418322,0.05,20
7.102,-0.000162966,217.065,20.430693,0.05,20
7.152,-0.000162966,218.0586,22.4195538,0.05,20
7.202,1.48E-05,217.065,20.430693,0.05,20
7.252,1.48E-05,218.0586,18.4418322,0.05,20
7.302,0.000192606,217.065,18.4418322,0.05,20
7.352,1.48E-05,218.0586,20.430693,0.05,20
7.402,1.48E-05,217.065,18.4418322,0.05,20
7.452,1.48E-05,217.065,16.4529714,0.051,19.60784314
7.503,1.48E-05,218.0586,18.4418322,0.05,20
7.553,1.48E-05,220.0458,18.4418322,0.049,20.40816327
7.602,1.48E-05,219.0522,20.430693,0.05,20
7.652,1.48E-05,219.0522,20.430693,0.05,20
7.702,-0.000340752,219.0522,20.430693,0.05,20
7.752,1.48E-05,220.0458,20.430693,0.05,20
7.802,1.48E-05,219.0522,18.4418322,0.051,19.60784314
7.853,1.48E-05,219.0522,20.430693,0.05,20
7.903,-0.000162966,219.0522,18.4418322,0.05,20
7.953,-0.000162966,220.0458,20.430693,0.05,20
8.003,1.48E-05,219.0522,18.4418322,0.05,20
8.053,1.48E-05,220.0458,20.430693,0.05,20
8.103,-0.000162966,219.0522,20.430693,0.05,20
8.153,1.48E-05,220.0458,20.430693,0.05,20
8.203,-0.000162966,219.0522,20.430693,0.05,20
8.253,-0.000162966,220.0458,18.4418322,0.05,20
8.303,0.000370392,218.0586,16.4529714,0.05,20
8.353,-0.000162966,219.0522,18.4418322,0.05,20
8.403,1.48E-05,219.0522,18.4418322,0.05,20
8.453,-0.000162966,218.0586,18.4418322,0.05,20
8.503,1.48E-05,1253.3898,20.430693,0.05,20
8.553,0.000192606,1288.1658,18.4418322,0.05,20
8.603,1.48E-05,1291.1466,18.4418322,0.05,20
8.653,1.48E-05,1295.121,20.430693,0.05,20
8.703,0.000192606,1295.121,20.430693,0.05,20
8.753,1.48E-05,1295.121,18.4418322,0.05,20
8.803,0.000548178,1294.1274,18.4418322,0.05,20
8.853,1.48E-05,1296.1146,20.430693,0.05,20
8.903,0.000192606,1295.121,20.430693,0.05,20
8.953,1.48E-05,1296.1146,20.430693,0.05,20
9.003,0.000370392,1296.1146,20.430693,0.05,20
9.053,0.000192606,1296.1146,20.430693,0.05,20
9.103,0.000370392,1296.1146,18.4418322,0.05,20
9.153,0.000192606,1296.1146,18.4418322,0.05,20
9.203,0.000192606,1297.1082,20.430693,0.05,20
9.253,1.48E-05,1297.1082,22.4195538,0.05,20
9.303,0.000192606,1296.1146,18.4418322,0.05,20
9.353,0.000192606,1296.1146,18.4418322,0.05,20
9.403,0.000370392,1296.1146,18.4418322,0.05,20
9.453,0.000192606,1298.1018,22.4195538,0.05,20
9.503,0.000192606,1298.1018,20.430693,0.05,20
9.553,0.000192606,1297.1082,20.430693,0.05,20
